Meter S/N:, "0484C15R"
Sensor, Thermo, Single, ENB075, PM-Pro 150 LP
Date, 6/4/2015 2:41:46 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 0.529773652553558, 0, 0, 0, 0
1.6E-06, 0.053450983017683, 1, 0, 0, 0
3.2E-06, -0.0764552056789398, 2, 0, 0, 0
4.8E-06, 0.789586067199707, 3, 0, 0, 0
6.4E-06, 0.919492244720459, 4, 0, 0, 0
8E-06, 1.56902325153351, 5, 0, 0, 0
9.6E-06, 1.56902325153351, 6, 0, 0, 0
1.12E-05, 1.00609636306763, 7, 0, 0, 0
1.28E-05, 0.789586067199707, 8, 0, 0, 0
1.44E-05, 1.82883560657501, 9, 0, 0, 0
1.6E-05, 1.48241901397705, 10, 0, 0, 0
1.76E-05, 0.919492244720459, 11, 0, 0, 0
1.92E-05, 0.183357164263725, 12, 0, 0, 0
2.08E-05, 1.13600254058838, 13, 0, 0, 0
2.24E-05, 1.22260665893555, 14, 0, 0, 0
2.4E-05, 1.8721376657486, 15, 0, 0, 0
2.56E-05, 0.183357164263725, 16, 0, 0, 0
2.72E-05, 1.22260665893555, 17, 0, 0, 0
2.88E-05, 0.486471593379974, 18, 0, 0, 0
3.04E-05, 1.309210896492, 19, 0, 0, 0
3.2E-05, 2.52166843414307, 20, 0, 0, 0
3.36E-05, 1.82883560657501, 21, 0, 0, 0
3.52E-05, 0.529773652553558, 22, 0, 0, 0
3.68E-05, 0.832888126373291, 23, 0, 0, 0
3.84E-05, 0.616377770900726, 24, 0, 0, 0
4E-05, 0.962794303894043, 25, 0, 0, 0
4.16E-05, 0.616377770900726, 26, 0, 0, 0
4.32E-05, 0.486471593379974, 27, 0, 0, 0
4.48E-05, 0.659679889678955, 28, 0, 0, 0
4.64E-05, 0.746283948421478, 29, 0, 0, 0
4.8E-05, 0.702981948852539, 30, 0, 0, 0
4.96E-05, 2.30515837669373, 31, 0, 0, 0
5.12E-05, 2.56497049331665, 32, 0, 0, 0
5.28E-05, 1.26590871810913, 33, 0, 0, 0
5.44E-05, 1.22260665893555, 34, 0, 0, 0
5.6E-05, 1.95874166488647, 35, 0, 0, 0
5.76E-05, 1.61232531070709, 36, 0, 0, 0
5.92E-05, 1.39581489562988, 37, 0, 0, 0
6.08E-05, 1.78553354740143, 38, 0, 0, 0
6.24E-05, 1.00609636306763, 39, 0, 0, 0
6.4E-05, 1.91543960571289, 40, 0, 0, 0
6.56E-05, 2.08864784240723, 41, 0, 0, 0
6.72E-05, 0.573075771331787, 42, 0, 0, 0
6.88E-05, 0.87619012594223, 43, 0, 0, 0
7.04E-05, 1.56902325153351, 44, 0, 0, 0
7.2E-05, 1.26590871810913, 45, 0, 0, 0
7.36E-05, 1.309210896492, 46, 0, 0, 0
7.52E-05, 1.13600254058838, 47, 0, 0, 0
7.68E-05, 0.832888126373291, 48, 0, 0, 0
7.84E-05, 0.486471593379974, 49, 0, 0, 0
8E-05, 1.04939842224121, 50, 0, 0, 0
8.16E-05, 1.48241901397705, 51, 0, 0, 0
8.32E-05, 0.702981948852539, 52, 0, 0, 0
8.48E-05, 1.52572107315063, 53, 0, 0, 0
8.64E-05, 1.74223136901855, 54, 0, 0, 0
8.8E-05, 0.183357164263725, 55, 0, 0, 0
8.96E-05, 1.13600254058838, 56, 0, 0, 0
9.12E-05, 1.00609636306763, 57, 0, 0, 0
9.28E-05, 1.91543960571289, 58, 0, 0, 0
9.44E-05, 1.69892930984497, 59, 0, 0, 0
9.6E-05, 0.962794303894043, 60, 0, 0, 0
9.76E-05, 0.702981948852539, 61, 0, 0, 0
9.92E-05, 1.00609636306763, 62, 0, 0, 0
0.0001008, 1.78553354740143, 63, 0, 0, 0
0.0001024, 1.95874166488647, 64, 0, 0, 0
0.000104, 1.17930459976196, 65, 0, 0, 0
0.0001056, 1.26590871810913, 66, 0, 0, 0
0.0001072, 0.87619012594223, 67, 0, 0, 0
0.0001088, 1.82883560657501, 68, 0, 0, 0
0.0001104, 1.48241901397705, 69, 0, 0, 0
0.000112, 2.21855425834656, 70, 0, 0, 0
0.0001136, 1.52572107315063, 71, 0, 0, 0
0.0001152, 1.61232531070709, 72, 0, 0, 0
0.0001168, 1.61232531070709, 73, 0, 0, 0
0.0001184, 1.17930459976196, 74, 0, 0, 0
0.00012, 2.00204372406006, 75, 0, 0, 0
0.0001216, 1.3525128364563, 76, 0, 0, 0
0.0001232, 1.43911695480347, 77, 0, 0, 0
0.0001248, 1.309210896492, 78, 0, 0, 0
0.0001264, 1.95874166488647, 79, 0, 0, 0
0.000128, 2.26185631752014, 80, 0, 0, 0
0.0001296, 2.60827279090881, 81, 0, 0, 0
0.0001312, 2.34846019744873, 82, 0, 0, 0
0.0001328, 2.08864784240723, 83, 0, 0, 0
0.0001344, 1.48241901397705, 84, 0, 0, 0
0.000136, 2.17525219917297, 85, 0, 0, 0
0.0001376, 1.69892930984497, 86, 0, 0, 0
0.0001392, 1.65562725067139, 87, 0, 0, 0
0.0001408, 1.61232531070709, 88, 0, 0, 0
0.0001424, 1.78553354740143, 89, 0, 0, 0
0.000144, 0.702981948852539, 90, 0, 0, 0
0.0001456, 1.61232531070709, 91, 0, 0, 0
0.0001472, 1.22260665893555, 92, 0, 0, 0
0.0001488, 1.61232531070709, 93, 0, 0, 0
0.0001504, 0.919492244720459, 94, 0, 0, 0
0.000152, 0.573075771331787, 95, 0, 0, 0
0.0001536, 0.616377770900726, 96, 0, 0, 0
0.0001552, 1.91543960571289, 97, 0, 0, 0
0.0001568, 1.09270048141479, 98, 0, 0, 0
0.0001584, 2.4350643157959, 99, 0, 0, 0
0.00016, 1.74223136901855, 100, 0, 0, 0
0.0001616, 1.04939842224121, 101, 0, 0, 0
0.0001632, 0.789586067199707, 102, 0, 0, 0
0.0001648, 1.69892930984497, 103, 0, 0, 0
0.0001664, 1.69892930984497, 104, 0, 0, 0
0.000168, 2.52166843414307, 105, 0, 0, 0
0.0001696, 2.6515748500824, 106, 0, 0, 0
0.0001712, 2.08864784240723, 107, 0, 0, 0
0.0001728, 1.48241901397705, 108, 0, 0, 0
0.0001744, 1.91543960571289, 109, 0, 0, 0
0.000176, 2.26185631752014, 110, 0, 0, 0
0.0001776, 1.61232531070709, 111, 0, 0, 0
0.0001792, 1.52572107315063, 112, 0, 0, 0
0.0001808, 2.21855425834656, 113, 0, 0, 0
0.0001824, 1.82883560657501, 114, 0, 0, 0
0.000184, 2.21855425834656, 115, 0, 0, 0
0.0001856, 1.3525128364563, 116, 0, 0, 0
0.0001872, 1.17930459976196, 117, 0, 0, 0
0.0001888, 1.78553354740143, 118, 0, 0, 0
0.0001904, 1.13600254058838, 119, 0, 0, 0
0.000192, 1.39581489562988, 120, 0, 0, 0
0.0001936, 0.919492244720459, 121, 0, 0, 0
0.0001952, 0.702981948852539, 122, 0, 0, 0
0.0001968, 1.43911695480347, 123, 0, 0, 0
0.0001984, 1.82883560657501, 124, 0, 0, 0
0.0002, 1.00609636306763, 125, 0, 0, 0
0.0002016, 1.22260665893555, 126, 0, 0, 0
0.0002032, 0.313263356685638, 127, 0, 0, 0
0.0002048, 0.529773652553558, 128, 0, 0, 0
0.0002064, 1.48241901397705, 129, 0, 0, 0
0.000208, 1.09270048141479, 130, 0, 0, 0
0.0002096, 0.659679889678955, 131, 0, 0, 0
0.0002112, 1.61232531070709, 132, 0, 0, 0
0.0002128, 1.04939842224121, 133, 0, 0, 0
0.0002144, 0.486471593379974, 134, 0, 0, 0
0.000216, 0.789586067199707, 135, 0, 0, 0
0.0002176, 2.08864784240723, 136, 0, 0, 0
0.0002192, 1.04939842224121, 137, 0, 0, 0
0.0002208, 0.789586067199707, 138, 0, 0, 0
0.0002224, 0.919492244720459, 139, 0, 0, 0
0.000224, 1.00609636306763, 140, 0, 0, 0
0.0002256, 0.44316953420639, 141, 0, 0, 0
0.0002272, -0.206361383199692, 142, 0, 0, 0
0.0002288, 0.44316953420639, 143, 0, 0, 0
0.0002304, -0.37956964969635, 144, 0, 0, 0
0.000232, 1.13600254058838, 145, 0, 0, 0
0.0002336, 1.04939842224121, 146, 0, 0, 0
0.0002352, 1.43911695480347, 147, 0, 0, 0
0.0002368, 0.87619012594223, 148, 0, 0, 0
0.0002384, 1.309210896492, 149, 0, 0, 0
0.00024, 1.65562725067139, 150, 0, 0, 0
0.0002416, 0.789586067199707, 151, 0, 0, 0
0.0002432, 0.746283948421478, 152, 0, 0, 0
0.0002448, 0.44316953420639, 153, 0, 0, 0
0.0002464, -0.119757272303104, 154, 0, 0, 0
0.000248, 0.659679889678955, 155, 0, 0, 0
0.0002496, 1.13600254058838, 156, 0, 0, 0
0.0002512, 1.56902325153351, 157, 0, 0, 0
0.0002528, 0.919492244720459, 158, 0, 0, 0
0.0002544, 1.26590871810913, 159, 0, 0, 0
0.000256, 1.09270048141479, 160, 0, 0, 0
0.0002576, -0.0764552056789398, 161, 0, 0, 0
0.0002592, 0.053450983017683, 162, 0, 0, 0
0.0002608, -0.249663457274437, 163, 0, 0, 0
0.0002624, 0.226659223437309, 164, 0, 0, 0
0.000264, 0.573075771331787, 165, 0, 0, 0
0.0002656, 0.486471593379974, 166, 0, 0, 0
0.0002672, 1.39581489562988, 167, 0, 0, 0
0.0002688, 0.053450983017683, 168, 0, 0, 0
0.0002704, 1.69892930984497, 169, 0, 0, 0
0.000272, 1.65562725067139, 170, 0, 0, 0
0.0002736, 2.6515748500824, 171, 0, 0, 0
0.0002752, 1.22260665893555, 172, 0, 0, 0
0.0002768, -0.0764552056789398, 173, 0, 0, 0
0.0002784, 2.21855425834656, 174, 0, 0, 0
0.00028, 1.22260665893555, 175, 0, 0, 0
0.0002816, 1.78553354740143, 176, 0, 0, 0
0.0002832, 1.26590871810913, 177, 0, 0, 0
0.0002848, 0.702981948852539, 178, 0, 0, 0
0.0002864, 0.702981948852539, 179, 0, 0, 0
0.000288, -0.0331531427800655, 180, 0, 0, 0
0.0002896, 1.04939842224121, 181, 0, 0, 0
0.0002912, 0.702981948852539, 182, 0, 0, 0
0.0002928, 0.0967530459165573, 183, 0, 0, 0
0.0002944, 0.919492244720459, 184, 0, 0, 0
0.000296, 0.399867504835129, 185, 0, 0, 0
0.0002976, -0.206361383199692, 186, 0, 0, 0
0.0002992, 0.87619012594223, 187, 0, 0, 0
0.0003008, 0.573075771331787, 188, 0, 0, 0
0.0003024, 0.269961267709732, 189, 0, 0, 0
0.000304, 0.87619012594223, 190, 0, 0, 0
0.0003056, 0.573075771331787, 191, 0, 0, 0
0.0003072, 1.17930459976196, 192, 0, 0, 0
0.0003088, 1.48241901397705, 193, 0, 0, 0
0.0003104, 0.962794303894043, 194, 0, 0, 0
0.000312, 0.962794303894043, 195, 0, 0, 0
0.0003136, 0.183357164263725, 196, 0, 0, 0
0.0003152, 1.22260665893555, 197, 0, 0, 0
0.0003168, 0.573075771331787, 198, 0, 0, 0
0.0003184, 0.0967530459165573, 199, 0, 0, 0
0.00032, 1.13600254058838, 200, 0, 0, 0
0.0003216, -0.0331531427800655, 201, 0, 0, 0
