Meter S/N: Not_Serialized,
Sensor S/N: 1068,
MON JUL  8 11:11:04 2013,
Measurement,PulsePeriod(usec)
+4.0492084E-02,         0
+5.2075077E-02,         0
+6.2191620E-02,         0
+7.0833832E-02,         0
+7.7991620E-02,         0
+8.3755620E-02,         0
+8.8261299E-02,         0
+9.1710053E-02,         0
+9.4223574E-02,         0
+9.6044518E-02,         0
+9.7204894E-02,         0
+9.7943112E-02,         0
+9.8433197E-02,         0
+9.8769128E-02,         0
+9.9000104E-02,         0
+9.9193349E-02,         0
+9.9216998E-02,         0
+9.6512221E-02,         0
+8.9336768E-02,         0
+7.9011582E-02,         0
+6.7681342E-02,         0
+5.6560449E-02,         0
+4.6428576E-02,         0
+3.7609588E-02,         0
+3.0185880E-02,         0
+2.4031980E-02,         0
+1.9048026E-02,         0
+1.5043197E-02,         0
+1.1857579E-02,         0
+9.2966333E-03,         0
+7.3693492E-03,         0
+7.3920647E-03,         0
+1.2499529E-02,         0
+2.1914963E-02,         0
+3.3393912E-02,         0
+4.5116659E-02,         0
+5.6107402E-02,         0
+6.5715738E-02,         0
+7.3760256E-02,         0
+8.0375530E-02,         0
+8.5580863E-02,         0
+8.9569867E-02,         0
+9.2502423E-02,         0
+9.4614267E-02,         0
+9.6079983E-02,         0
+9.7143605E-02,         0
+9.7864859E-02,         0
+9.8361745E-02,         0
+9.7056426E-02,         0
+9.1181330E-02,         0
+8.1672996E-02,         0
+7.0532061E-02,         0
+5.9342660E-02,         0
+4.8957206E-02,         0
+3.9815538E-02,         0
+3.2006651E-02,         0
+2.5545649E-02,         0
+2.0253440E-02,         0
+1.5969051E-02,         0
+1.2551239E-02,         0
+9.8807858E-03,         0
+7.7353022E-03,         0
+6.0691913E-03,         0
+4.7589880E-03,         0
+1.9477675E-02,         0
+1.7617237E-02,         0
+1.4913292E-02,         0
+1.8389113E-02,         0
+2.6769361E-02,         0
+3.7479106E-02,         0
+4.1610606E-02,         0
+4.7000896E-02,         0
+6.0708355E-02,         0
+7.1364418E-02,         0
+7.9228163E-02,         0
+8.4996298E-02,         0
+8.9215353E-02,         0
+9.2259616E-02,         0
+9.4470792E-02,         0
+9.6102938E-02,         0
+9.7190812E-02,         0
+9.6803516E-02,         0
+9.1953121E-02,         0
+8.3060682E-02,         0
+7.2243974E-02,         0
+6.1029904E-02,         0
+5.0519686E-02,         0
+4.1182619E-02,         0
+3.3181936E-02,         0
+2.6491009E-02,         0
+2.1075930E-02,         0
+1.6627220E-02,         0
+1.3115871E-02,         0
+1.0324595E-02,         0
+8.1551941E-03,         0
+7.3561347E-03,         0
+1.1281386E-02,         0
+2.0065680E-02,         0
+3.1640906E-02,         0
+4.3630674E-02,         0
+5.2054439E-02,         0
+5.4532602E-02,         0
+5.2208107E-02,         0
+4.7088593E-02,         0
+4.0616535E-02,         0
+3.4324799E-02,         0
+2.8296361E-02,         0
+2.2955891E-02,         0
+1.8466752E-02,         0
+1.6098173E-02,         0
+1.8318502E-02,         0
+2.2111278E-02,         0
+2.4001811E-02,         0
+2.3686951E-02,         0
+2.1826770E-02,         0
+1.9209130E-02,         0
+2.0282123E-02,         0
+1.8597582E-02,         0
+1.4244028E-02,         0
+1.0783657E-02,         0
+9.6045714E-03,         0
+1.3227298E-02,         0
+1.8509189E-02,         0
+2.1670287E-02,         0
+2.2210535E-02,         0
+2.0937197E-02,         0
+1.8705288E-02,         0
+1.8017523E-02,         0
+2.1968303E-02,         0
+2.6809040E-02,         0
+2.9099466E-02,         0
+2.8595040E-02,         0
+2.6277568E-02,         0
+2.3041921E-02,         0
+1.9559545E-02,         0
+1.6239760E-02,         0
+1.3208109E-02,         0
+1.0630704E-02,         0
+8.4612835E-03,         0
+6.6509685E-03,         0
+5.1958561E-03,         0
+4.0307264E-03,         0
+3.1082702E-03,         0
+2.3725114E-03,         0
+1.8136500E-03,         0
+1.3676874E-03,         0
+1.0342279E-03,         0
+7.5981166E-04,         0
+5.5327773E-04,         0
+3.7782369E-04,         0
+2.4580752E-04,         0
+1.5517049E-04,         0
+6.4636428E-05,         0
+1.2248785E-05,         0
-4.0591043E-05,         0
-7.6641685E-05,         0
+1.9008330E-03,         0
+1.6956864E-03,         0
+1.1776995E-03,         0
+8.0878159E-04,         0
+4.9870764E-04,         0
+2.9253057E-04,         0
+1.6980512E-04,         0
+6.1589395E-05,         0
-1.1716948E-05,         0
-5.5514902E-05,         0
-1.1568802E-04,         0
-1.5783825E-04,         0
-1.7007095E-04,         0
-2.0505718E-04,         0
-2.1816298E-04,         0
+1.3399075E-04,         0
+9.5866169E-05,         0
+1.3372016E-05,         0
-5.2475916E-05,         0
-1.2388109E-04,         0
-1.2986593E-04,         0
-1.3006177E-04,         0
-1.6639080E-04,         0
-1.8507653E-04,         0
-1.6931169E-04,         0
-1.8959437E-04,         0
-1.6214412E-04,         0
-1.9661176E-04,         0
-1.6798958E-04,         0
-1.5939937E-04,         0
-1.6233815E-04,         0
-1.2991024E-04,         0
