Meter S/N:," ""0479F14R""",,,,,,,
Sensor, THERMO,,,,,,,
Date, 7/1/2014 4:01:24 PM,,,,,,,
Units, W,,,,,,,
Timestamp, Measurement, Flags (interpreted),,,,,,
0.0002224,29.91812325,0,,,,,,
0.000224,28.26983452,0,,,,,,
0.0002256,26.70889473,0,,,,,,
0.0002272,25.2185421,0,,,,,,
0.0002288,23.83725548,0,,,,,,
0.0002304,22.52183533,0,,,,,,
0.000232,21.26543617,0,,,,,,
0.0002336,20.10818672,0,,,,,,
0.0002352,18.98139191,0,,,,,,
0.0002368,17.90842247,0,,,,,,
0.0002384,16.92799568,0,,,,,,
0.00024,15.98274422,0,,,,,,
0.0002416,15.08470821,0,,,,,,
0.0002432,14.24285793,0,,,,,,
0.0002448,13.41918564,0,,,,,,
0.0002464,12.63965988,0,,,,,,
0.000248,11.88751984,0,,,,,,
0.0002496,11.19274521,0,,,,,,
0.0002512,10.54447842,0,,,,,,
0.0002528,9.949800491,0,,,,,,
0.0002544,9.386993408,0,,,,,,
0.000256,8.876832008,0,,,,,,
0.0002576,8.402553558,0,,,,,,
0.0002592,7.891447067,0,,,,,,
0.0002608,7.41622448,0,,,,,,
0.0002624,6.979954243,0,,,,,,
0.000264,6.571069241,0,,,,,,
0.0002656,6.187680721,0,,,,,,
0.0002672,5.810902119,0,,,,,,
0.0002688,5.436720371,0,,,,,,
0.0002704,5.07481432,0,,,,,,
0.000272,4.685523987,0,,,,,,
0.0002736,4.300482273,0,,,,,,
0.0002752,3.920634747,0,,,,,,
0.0002768,3.538662434,0,,,,,,
0.0002784,3.160467386,0,,,,,,
0.00028,2.835389614,0,,,,,,
0.0002816,2.523532152,0,,,,,,
0.0002832,2.251335621,0,,,,,,
0.0002848,2.003926992,0,,,,,,
0.0002864,1.803733945,0,,,,,,
0.000288,1.640604854,0,,,,,,
0.0002896,1.502263784,0,,,,,,
0.0002912,1.376198769,0,,,,,,
0.0002928,1.292627573,0,,,,,,
0.0002944,1.201974154,0,,,,,,
0.000296,1.132803559,0,,,,,,
0.0002976,1.079686284,0,,,,,,
0.0002992,1.053481817,0,,,,,,
0.0003008,1.002725244,0,,,,,,
0.0003024,0.969674528,0,,,,,,
0.000304,0.965661168,0,,,,,,
0.0003056,0.927652836,0,,,,,,
0.0003072,0.905933738,0,,,,,,
0.0003088,0.876660228,0,,,,,,
0.0003104,0.869813979,0,,,,,,
0.000312,0.869577944,0,,,,,,
0.0003136,0.843609452,0,,,,,,
0.0003152,0.835582852,0,,,,,,
0.0003168,0.816696703,0,,,,,,
0.0003184,0.797102332,0,,,,,,
