Meter S/N:, "serial number"
Sensor, PYRO,NOSPEC, 443
Date, 9/23/2014 5:11:18 PM
Units, J
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period, Binary Data
0, 0.000171465071616694, 0, 0, 0, 100001, 4ecb3339 0000 00000000 a1860100 
5.12E-05, 0.000171929699718021, 1, 0, 0, 100001, 07483439 0000 01000000 a1860100 
0.0001024, 0.000171641309862025, 2, 0, 0, 100001, 9dfa3339 0000 02000000 a1860100 
0.0001536, 0.000172041851328686, 3, 0, 0, 100001, 22663439 0000 03000000 a1860100 
0.0002048, 0.000172073894646019, 4, 0, 0, 100001, bc6e3439 0000 04000000 a1860100 
0.000256, 0.000171689374838024, 5, 0, 0, 100001, 84073439 0000 05000000 a1860100 
0.0003072, 0.000172266154550016, 6, 0, 0, 100001, 58a23439 0000 06000000 a1860100 
0.0003584, 0.000172073894646019, 7, 0, 0, 100001, bc6e3439 0000 07000000 a1860100 
0.0004096, 0.000172121959622018, 8, 0, 0, 100001, a37b3439 0000 08000000 a1860100 
0.0004608, 0.000172025829670019, 9, 0, 0, 100001, d5613439 0000 09000000 a1860100 
0.000512, 0.00017175346147269, 10, 0, 0, 100001, b8183439 0000 0a000000 a1860100 
0.0005632, 0.000172057872987352, 11, 0, 0, 100001, 6f6a3439 0000 0b000000 a1860100 
0.0006144, 0.000171769483131357, 12, 0, 0, 100001, 051d3439 0000 0c000000 a1860100 
0.0006656, 0.000171801526448689, 13, 0, 0, 100001, 9f253439 0000 0d000000 a1860100 
0.0007168, 0.000171833569766022, 14, 0, 0, 100001, 392e3439 0000 0e000000 a1860100 
0.000768, 0.00017175346147269, 15, 0, 0, 100000, b8183439 0000 0f000000 a0860100 
0.0008192, 0.000171865613083355, 16, 0, 0, 100001, d3363439 0000 10000000 a1860100 
0.0008704, 0.000172073894646019, 17, 0, 0, 100001, bc6e3439 0000 11000000 a1860100 
0.0009216, 0.000171913678059354, 18, 0, 0, 100001, ba433439 0000 12000000 a1860100 
0.0009728, 0.000171849591424689, 19, 0, 0, 100001, 86323439 0000 13000000 a1860100 
0.001024, 0.000172105937963352, 20, 0, 0, 100001, 56773439 0000 14000000 a1860100 
0.0010752, 0.000171897656400688, 21, 0, 0, 100001, 6d3f3439 0000 15000000 a1860100 
0.0011264, 0.000171993786352687, 22, 0, 0, 100001, 3b593439 0000 16000000 a1860100 
0.0011776, 0.000171673353179358, 23, 0, 0, 100001, 37033439 0000 17000000 a1860100 
0.0012288, 0.000171705396496691, 24, 0, 0, 100001, d10b3439 0000 18000000 a1860100 
0.00128, 0.000172410349478014, 25, 0, 0, 100001, 0dc93439 0000 19000000 a1860100 
