1	0	0
100	5	5
137	6	6
336	16	16
379	18	18
587	29	29
837	41	41
1089	54	54
1340	66	66
1591	79	79
1611	80	80
1841	92	92
2093	104	104
2344	117	117
2595	129	129
2846	142	142
3097	154	154
3121	156	156
3348	167	167
3600	180	180
3850	192	192
4102	205	205
4353	217	217
4604	230	230
4630	231	231
4854	242	242
5106	255	255
5357	267	267
5608	280	280
5859	292	292
6110	305	305
6132	306	306
6361	318	318
6612	330	330
6863	343	343
7114	355	355
7365	368	368
7619	380	380
7641	382	382
7867	393	393
8118	405	405
8369	418	418
8620	430	430
8871	443	443
9122	456	456
9142	457	457
9373	468	468
9624	481	481
9875	493	493
10126	506	506
10377	518	518
10628	531	531
10650	532	532
10879	543	543
11130	556	556
11381	569	569
11632	581	581
11883	594	594
12134	606	606
12154	607	607
12385	619	3
12635	631	15
12887	644	28
13138	656	40
13389	669	53
13640	681	65
13663	683	67
13891	694	78
14142	707	91
14393	719	103
14644	732	116
14895	744	128
15146	757	141
15166	758	142
15397	769	153
15648	782	166
15899	794	178
16150	807	191
16400	820	204
16652	832	216
16673	833	217
16903	845	229
17157	857	241
17405	870	254
17656	882	266
17907	895	279
18157	907	291
18179	908	292
18409	920	304
18660	932	316
18911	945	329
19161	958	342
19413	970	354
19664	983	367
19684	984	368
19915	995	379
20166	1008	392
20416	1020	404
20668	1033	417
20919	1045	429
21169	1058	442
21190	1059	443
21421	1071	455
21672	1083	467
21923	1096	480
22173	1108	492
22425	1121	505
22676	1133	517
22697	1134	518
22927	1146	530
23177	1158	542
23429	1171	555
23680	1183	567
23931	1196	580
24182	1209	593
24202	1210	594
24433	1221	605
24684	1234	2
24935	1246	14
25185	1259	27
25438	1271	39
25688	1284	52
25708	1285	53
25943	1297	65
26190	1309	77
26441	1322	90
26692	1334	102
26942	1347	115
27194	1359	127
27216	1360	128
27445	1372	140
27696	1384	152
27946	1397	165
28198	1409	177
28449	1422	190
28700	1435	203
28782	1439	207
28950	1447	215
