Meter S/N:, None
Sensor, None, None, , 
Date, 3/4/2015 3:56:16 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period, Binary Data
0.0347648, -7.167914E+000, 34764, 0, 0, 0, 8d5fe5c0 0000 cc870000 
0.0352768, -7.161564E+000, 35276, 0, 0, 0, 882be5c0 0000 cc890000 
0.0357888, -7.170168E+000, 35788, 0, 0, 0, 0572e5c0 0000 cc8b0000 
0.0363008, -7.173947E+000, 36300, 0, 0, 0, f990e5c0 0000 cc8d0000 
0.0368128, -7.184266E+000, 36812, 0, 0, 0, 82e5e5c0 0000 cc8f0000 
0.0373248, -7.177757E+000, 37324, 0, 0, 0, 30b0e5c0 0000 cc910000 
0.0378368, -7.176963E+000, 37836, 0, 0, 0, afa9e5c0 0000 cc930000 
0.0383488, -7.178678E+000, 38348, 0, 0, 0, bbb7e5c0 0000 cc950000 
0.0388608, -7.178360E+000, 38860, 0, 0, 0, 21b5e5c0 0000 cc970000 
0.0393728, -7.169280E+000, 39372, 0, 0, 0, bd6ae5c0 0000 cc990000 
0.0398848, -7.183822E+000, 39884, 0, 0, 0, dee1e5c0 0000 cc9b0000 
0.0403968, -7.167628E+000, 40396, 0, 0, 0, 365de5c0 0000 cc9d0000 
0.0409088, -7.173947E+000, 40908, 0, 0, 0, f990e5c0 0000 cc9f0000 
0.0414208, -7.178487E+000, 41420, 0, 0, 0, 2bb6e5c0 0000 cca10000 
0.0419328, -7.169025E+000, 41932, 0, 0, 0, a868e5c0 0000 cca30000 
0.0424448, -7.167819E+000, 42444, 0, 0, 0, c65ee5c0 0000 cca50000 
0.0429568, -7.183472E+000, 42956, 0, 0, 0, 01dfe5c0 0000 cca70000 
0.0434688, -7.184806E+000, 43468, 0, 0, 0, eee9e5c0 0000 cca90000 
0.0439808, -7.176805E+000, 43980, 0, 0, 0, 62a8e5c0 0000 ccab0000 
0.0444928, -7.174645E+000, 44492, 0, 0, 0, b296e5c0 0000 ccad0000 
0.0450048, -7.176074E+000, 45004, 0, 0, 0, 66a2e5c0 0000 ccaf0000 
0.0455168, -7.166962E+000, 45516, 0, 0, 0, c057e5c0 0000 ccb10000 
0.0460288, -7.171756E+000, 46028, 0, 0, 0, 067fe5c0 0000 ccb30000 
0.0465408, -7.177027E+000, 46540, 0, 0, 0, 34aae5c0 0000 ccb50000 
0.0470528, -7.170645E+000, 47052, 0, 0, 0, ec75e5c0 0000 ccb70000 
0.0475648, -7.182234E+000, 47564, 0, 0, 0, dcd4e5c0 0000 ccb90000 
0.0480768, -7.174931E+000, 48076, 0, 0, 0, 0999e5c0 0000 ccbb0000 
0.0485888, -7.176805E+000, 48588, 0, 0, 0, 62a8e5c0 0000 ccbd0000 
