Meter S/N:," ""REV-DA_7""",,,,,,
Sensor, THERMO,QUAD, x1,,,,
Date, 10/20/2014 6:39:05 PM,,,,,,
Units, W,,,,,,
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
9.5,0.151691452,-2.40551281,0.157803848,9500000,0,0,0
9.6,0.152721211,-1.953829408,-0.725831866,9600010,0,0,0
9.7,0.155657217,-1.399136543,-1.697153091,9700010,0,0,0
9.8,0.145003438,-0.878049254,-2.056725979,9800010,0,0,0
9.9,0.145402908,-0.826380312,-2.360847235,9900000,0,0,0
10,0.142698035,-0.819848299,-2.511867046,10000000,0,0,0
10.1,0.139796793,-0.959373832,-2.251115799,10100000,0,0,0
10.2,0.137784272,-1.098876834,-1.970512867,10200010,0,0,0
10.3,0.13523984,-1.126238346,-1.582695246,10300000,0,0,0
10.4,0.135040358,-0.790308595,-0.640464067,10400000,0,0,0
10.5,0.142801344,-0.48680535,0.650352418,10500000,0,0,0
10.6,0.144706771,0.262302697,2.079669237,10600010,0,0,0
10.7,0.15155369,1.095294237,2.858299494,10700000,0,0,0
10.8,0.150046989,1.509855509,2.963832378,10800000,0,0,0
10.9,0.141576663,1.648007512,2.625758886,10900010,0,0,0
11,0.128316596,1.905030131,1.872157574,11000010,0,0,0
11.1,0.11926154,1.778648615,2.003685951,11100000,0,0,0
11.2,0.112751968,1.298032403,1.285610914,11200010,0,0,0
11.3,0.104369067,1.648163199,1.355782747,11300000,0,0,0
11.4,0.096371211,1.918747067,1.500419617,11400000,0,0,0
11.5,0.090905428,2.085217714,0.951504648,11500000,0,0,0
11.6,0.084300458,2.007894993,0.851331472,11600000,0,0,0
11.7,0.079957515,2.011659622,1.162750006,11700000,0,0,0
11.8,0.074370787,1.432675481,1.056167841,11800000,0,0,0
11.9,0.071584903,1.919798732,1.446694136,11900000,0,0,0
12,0.069188878,1.818763733,0.866790593,12000010,0,0,0
12.1,0.064736135,2.539740801,0.844960809,12100010,0,0,0
12.2,0.061909974,2.25688839,0.410566986,12200000,0,0,0
12.3,0.057818439,1.723350167,1.132584691,12300000,0,0,0
12.4,0.0561698,1.954044938,1.848947167,12400010,0,0,0
12.5,0.054771651,2.661679268,0.742783487,12500000,0,0,0
