Meter S/N: Not_Serialized,,,
Sensor S/N: x1
SUN JUN  9 16:47:37 2013,,,
Measurement,QuadDistanceX(mm),QuadDistanceY(mm),PulsePeriod(usec)
+1.4515747E-01, +0.0, +2.6,         0
+1.5094686E-01, -0.1, +2.5,         0
+1.6578950E-01, +0.1, +2.2,         0
+1.3781838E-01, -0.2, +2.3,         0
+1.4016163E-01, +0.1, +2.3,         0
+1.3503966E-01, +0.5, +2.3,         0
+1.2145010E-01, +0.7, +2.1,         0
+1.3077518E-01, +1.6, +1.6,         0
+1.4472452E-01, +2.9, +1.2,         0
+1.4117128E-01, +2.6, +1.3,         0
+1.3067065E-01, +2.9, +0.8,         0
+1.5159240E-01, +4.1, +1.0,         0
+1.4039044E-01, +4.5, +0.8,         0
+1.3960825E-01, +4.9, -0.1,         0
+1.6284914E-01, +4.2, -1.4,         0
+1.3526252E-01, +3.2, -2.7,         0
+1.6492218E-01, +3.4, -4.2,         0
+1.6065589E-01, +2.9, -4.8,         0
+1.5615708E-01, +3.3, -5.2,         0
+1.3864754E-01, +3.0, -5.1,         0
+1.2977616E-01, +3.1, -5.6,         0
+1.1570954E-01, +3.5, -5.6,         0
+7.8533828E-02, +3.4, -5.2,         0
+4.3837331E-02, +3.7, -3.6,         0
+6.0042523E-02, +3.5, -1.2,         0
+4.2893853E-02, +3.3, -1.3,         0
+4.5576237E-02, +3.6, -0.7,         0
+2.3270765E-02, +3.6, -0.3,         0
+4.1724995E-02, +3.8, -1.7,         0
+5.2055154E-02, +2.7, -1.9,         0
+5.7503827E-02, +1.6, -1.5,         0
+4.3479264E-02, +2.3, -0.2,         0
+1.0206697E-01, +3.1, +2.6,         0
+1.4505544E-01, +4.7, +3.5,         0
+1.2720886E-01, +5.1, +3.2,         0
+1.2700945E-01, +6.6, +2.8,         0
+1.5270555E-01, +8.5, +2.1,         0
+1.4456059E-01, +9.2, +1.4,         0
+1.3794129E-01, +8.9, +1.6,         0
+1.4486365E-01, +8.7, +0.5,         0
+1.6122183E-01, +8.3, -0.9,         0
+1.4586586E-01, +8.4, -1.8,         0
+1.3079239E-01, +9.0, -1.4,         0
+1.1398286E-01, +8.4, -1.0,         0
+9.7771831E-02, +8.1, -1.0,         0
+1.0441880E-01, +7.9, -1.4,         0
+1.1675534E-01, +7.9, -1.6,         0
+1.0267096E-01, +8.0, -1.3,         0
+1.1525104E-01, +8.0, -1.2,         0
+1.1581811E-01, +7.5, -0.7,         0
+9.4184279E-02, +7.8, -0.5,         0
+9.5132455E-02, +6.8, -1.1,         0
+1.0088007E-01, +5.2, -0.9,         0
+9.2867151E-02, +5.8, -0.3,         0
+1.1219951E-01, +4.8, -0.7,         0
+9.8632157E-02, +4.6, -0.2,         0
+1.0876697E-01, +2.7, -0.0,         0
+1.1968836E-01, +3.3, +0.6,         0
+1.2068035E-01, +2.9, +0.1,         0
+1.1484182E-01, +3.8, +0.7,         0
+1.1733916E-01, +3.5, +1.0,         0
+1.2322669E-01, +3.0, +0.7,         0
+1.2955077E-01, +3.1, +0.3,         0
+1.2315286E-01, +3.4, +0.4,         0
+1.2074547E-01, +3.5, +0.8,         0
+1.1135304E-01, +3.4, +0.9,         0
+1.2969340E-01, +3.8, +0.7,         0
+1.2238376E-01, +3.9, +0.7,         0
+1.2539825E-01, +3.0, +0.9,         0
+1.2471290E-01, +3.4, +0.6,         0
+1.3568869E-01, +3.2, +1.3,         0
+1.3135026E-01, +3.5, +1.1,         0
+1.2254246E-01, +3.9, +1.1,         0
+1.2520745E-01, +3.8, +1.2,         0
+1.1878839E-01, +3.8, +0.6,         0
+1.1341453E-01, +4.3, +1.0,         0
+1.2299451E-01, +4.4, +1.5,         0
+1.2687536E-01, +4.5, +1.5,         0
+1.3138406E-01, +4.0, +1.9,         0
+1.3649914E-01, +4.6, +0.6,         0
+1.2990734E-01, +4.5, +1.3,         0
+1.2077720E-01, +4.9, +1.9,         0
+1.2941816E-01, +4.6, +1.4,         0
+1.3567479E-01, +4.5, +1.7,         0
+1.2202505E-01, +4.6, +1.7,         0
+1.0355102E-01, +5.2, +1.4,         0
+1.4071004E-01, +5.0, +1.7,         0
+1.3881195E-01, +5.1, +1.7,         0
+1.3328470E-01, +5.1, +2.0,         0
+1.3246411E-01, +5.0, +2.0,         0
+1.1691063E-01, +5.3, +1.8,         0
+1.2576751E-01, +5.4, +2.1,         0
+1.2599444E-01, +5.5, +1.7,         0
+1.2381746E-01, +5.1, +1.3,         0
+1.2030812E-01, +5.4, +2.0,         0
+1.2512657E-01, +5.2, +1.7,         0
+1.2104107E-01, +5.0, +1.5,         0
+1.3415533E-01, +5.2, +1.5,         0
+1.4547223E-01, +5.8, +1.5,         0
+1.2727062E-01, +5.9, +1.5,         0
+1.4401492E-01, +6.3, +1.3,         0
+1.3273846E-01, +6.4, +1.2,         0
+1.2240080E-01, +6.3, +1.4,         0
+1.3259432E-01, +6.4, +0.8,         0
+1.1807135E-01, +6.7, +1.0,         0
+1.2519473E-01, +6.7, +0.7,         0
+1.3594830E-01, +6.7, +1.0,         0
+1.1762656E-01, +6.7, +0.3,         0
+1.3634767E-01, +6.4, +0.5,         0
+1.2553312E-01, +6.4, +0.8,         0
+1.2442054E-01, +7.2, +0.6,         0
+1.3205954E-01, +6.7, +0.9,         0
+1.2761688E-01, +6.6, +0.9,         0
+1.1982629E-01, +6.9, +0.1,         0
+1.2204288E-01, +7.0, +0.5,         0
+1.1913602E-01, +6.4, +0.5,         0
+1.1975824E-01, +6.9, +1.0,         0
+1.3376668E-01, +6.4, +1.4,         0
+1.2853387E-01, +6.5, +1.4,         0
+1.2016676E-01, +6.6, +1.2,         0
+1.3002431E-01, +6.8, +1.5,         0
+1.3865152E-01, +6.6, +1.7,         0
+1.3499194E-01, +6.3, +1.3,         0
+1.2426329E-01, +6.5, +1.4,         0
+1.2729946E-01, +6.7, +1.0,         0
+1.2132407E-01, +6.7, +1.9,         0
+1.2080339E-01, +7.1, +1.3,         0
+1.2170918E-01, +7.6, +1.1,         0
+1.2116669E-01, +7.1, +0.9,         0
+1.2525125E-01, +6.8, +1.3,         0
+1.2522334E-01, +6.9, +1.2,         0
+1.2782650E-01, +7.2, +1.3,         0
+1.3082521E-01, +6.6, +1.4,         0
+1.1103333E-01, +6.6, +1.7,         0
+1.2455843E-01, +6.6, +1.2,         0
+1.1002454E-01, +7.1, +1.0,         0
+1.2953627E-01, +6.7, +1.5,         0
+1.3065389E-01, +6.8, +1.4,         0
+1.4882325E-01, +6.8, +1.1,         0
+1.4131291E-01, +7.0, +1.6,         0
+1.3721871E-01, +8.0, +1.3,         0
+1.4247653E-01, +7.7, +1.3,         0
+1.3991693E-01, +7.4, +0.9,         0
+1.3338156E-01, +7.4, +1.3,         0
+1.5038221E-01, +7.5, +1.0,         0
+1.2854680E-01, +8.0, +1.0,         0
+1.4376147E-01, +7.4, +1.8,         0
+1.2444884E-01, +7.9, +1.9,         0
+1.2986664E-01, +7.9, +1.4,         0
+1.2031413E-01, +7.9, +1.3,         0
+1.2134590E-01, +7.9, +1.3,         0
+1.2237029E-01, +8.2, +1.1,         0
+1.1560490E-01, +8.0, +1.1,         0
+1.3721400E-01, +7.5, +1.5,         0
+1.1165499E-01, +7.9, +1.1,         0
+1.4554626E-01, +7.3, +1.4,         0
+1.2884089E-01, +7.7, +1.4,         0
+1.3764842E-01, +8.0, +1.2,         0
+1.1569219E-01, +8.1, +0.7,         0
+1.2869975E-01, +8.1, +1.6,         0
+1.3063353E-01, +7.9, +0.9,         0
+1.4315405E-01, +8.2, +1.1,         0
+1.2480703E-01, +7.8, +0.8,         0
+1.3541649E-01, +7.6, +1.3,         0
+1.2031276E-01, +8.0, +1.5,         0
+1.2624806E-01, +8.2, +1.1,         0
+1.3138498E-01, +7.5, +0.9,         0
+1.2962593E-01, +8.2, +1.4,         0
+1.1851650E-01, +7.7, +0.9,         0
+9.7461328E-02, +7.7, +0.9,         0
+1.2373078E-01, +7.5, +0.7,         0
+1.2384813E-01, +7.3, +1.0,         0
+1.1139832E-01, +8.7, +0.8,         0
+1.2162273E-01, +7.6, +0.7,         0
+1.3703297E-01, +7.4, +0.6,         0
+1.2766524E-01, +7.8, +0.9,         0
+1.3513474E-01, +6.9, +1.2,         0
+1.2193191E-01, +7.9, +1.5,         0
+1.4095554E-01, +7.6, +0.8,         0
+1.2745930E-01, +7.8, +0.3,         0
+1.3093728E-01, +7.7, +1.0,         0
+1.1873715E-01, +7.7, +1.9,         0
+1.2958133E-01, +7.3, +0.9,         0
+1.2674712E-01, +7.2, +1.2,         0
+1.2683490E-01, +8.0, +0.9,         0
+1.0343997E-01, +7.3, +0.5,         0
+1.2192140E-01, +8.1, +0.6,         0
+1.2436464E-01, +8.1, +0.8,         0
+1.3123706E-01, +7.3, +0.8,         0
+1.2098827E-01, +7.6, +0.9,         0
+1.5071133E-01, +7.7, +0.9,         0
+1.2672038E-01, +7.7, +0.4,         0
+1.2685055E-01, +7.0, +0.3,         0
+1.0756177E-01, +7.0, +0.4,         0
+1.0590775E-01, +6.7, +0.9,         0
+1.0838155E-01, +6.5, +0.5,         0
+1.0942108E-01, +6.2, +0.5,         0
+1.2746382E-01, +6.7, +0.2,         0
+1.1446678E-01, +6.2, -0.2,         0
+1.3343370E-01, +6.0, +0.0,         0
+1.2734455E-01, +6.0, +0.1,         0
+1.1746722E-01, +5.0, -0.9,         0
+1.1802084E-01, +5.4, -0.2,         0
+1.2169491E-01, +4.2, -1.7,         0
+1.1013392E-01, +4.3, -1.0,         0
+1.3861395E-01, +4.0, -1.0,         0
+1.2277554E-01, +4.3, -1.0,         0
+1.0259299E-01, +4.4, -1.2,         0
+1.2070598E-01, +4.0, -1.5,         0
+1.0521683E-01, +4.2, -1.9,         0
+1.1900996E-01, +4.1, -1.1,         0
+1.1534227E-01, +3.9, -0.5,         0
+1.1923446E-01, +3.9, -0.7,         0
+1.1483963E-01, +4.5, -0.6,         0
+1.2217855E-01, +4.4, -0.8,         0
+1.3664681E-01, +4.6, -1.0,         0
+1.2661260E-01, +4.9, -0.4,         0
+1.3958120E-01, +4.5, -0.4,         0
+1.3256055E-01, +4.6, +0.3,         0
+1.1640974E-01, +4.0, -0.7,         0
+1.2264630E-01, +5.5, -0.5,         0
+1.2904239E-01, +4.9, -0.7,         0
+1.2772638E-01, +4.6, -1.1,         0
+1.3695477E-01, +4.9, -1.1,         0
+1.1443252E-01, +4.7, -0.7,         0
+1.1623154E-01, +5.0, -0.6,         0
+1.1719517E-01, +5.4, -0.9,         0
+1.2277694E-01, +4.2, -0.9,         0
+1.4129570E-01, +4.4, -0.9,         0
+1.1918670E-01, +4.6, -1.2,         0
+1.2341173E-01, +4.6, -0.6,         0
+1.1221200E-01, +4.7, -0.3,         0
+1.2529288E-01, +4.9, -0.9,         0
+1.2248984E-01, +4.0, -1.0,         0
+1.1561002E-01, +4.0, -0.8,         0
+1.1601692E-01, +4.5, -0.6,         0
+1.2161728E-01, +4.6, -1.4,         0
+1.2413444E-01, +4.8, -0.9,         0
+1.3539000E-01, +4.6, -0.7,         0
+1.2981074E-01, +4.2, -0.7,         0
+1.1813964E-01, +4.8, -0.7,         0
+1.1511572E-01, +4.8, -0.4,         0
+1.1547633E-01, +4.4, -1.3,         0
+1.1198091E-01, +4.1, -1.4,         0
+1.1807215E-01, +4.7, -0.5,         0
+1.2898676E-01, +4.7, -0.4,         0
+1.3114651E-01, +4.3, -1.2,         0
+1.1775975E-01, +4.2, -0.7,         0
+1.1713264E-01, +4.4, -0.3,         0
+1.3853322E-01, +4.4, +0.5,         0
+1.3113800E-01, +3.3, -0.6,         0
+1.2556796E-01, +3.0, -0.4,         0
+1.2599625E-01, +3.9, -0.6,         0
+1.1722730E-01, +4.2, -0.8,         0
+1.1845395E-01, +4.5, -0.8,         0
+1.1443114E-01, +3.9, -0.6,         0
+1.2420915E-01, +3.6, -0.9,         0
+1.0364630E-01, +4.1, -0.3,         0
+1.1193562E-01, +4.0, -0.2,         0
+1.2728563E-01, +3.4, -0.1,         0
+1.2120247E-01, +3.4, -0.7,         0
+1.2104560E-01, +3.8, -0.3,         0
+1.2397876E-01, +3.9, -0.4,         0
+1.2382475E-01, +4.0, -0.8,         0
+1.4489168E-01, +3.9, -0.5,         0
+1.1914699E-01, +3.8, -0.5,         0
+1.1799900E-01, +3.5, -0.2,         0
+1.1268272E-01, +3.8, -0.5,         0
+1.1886551E-01, +3.2, -0.3,         0
+1.2174132E-01, +3.2, -0.5,         0
+1.2924340E-01, +2.6, -0.9,         0
+1.2463658E-01, +3.0, -1.7,         0
+1.0947488E-01, +3.7, -1.8,         0
+1.1946904E-01, +2.8, -1.5,         0
+1.2547514E-01, +2.5, -1.4,         0
+1.2131819E-01, +2.5, -1.2,         0
+1.2167652E-01, +2.1, -0.8,         0
+1.1365388E-01, +2.3, -1.1,         0
+1.1883728E-01, +2.7, -0.7,         0
+1.2321410E-01, +2.5, -0.7,         0
+1.1745175E-01, +3.0, -1.0,         0
+1.2101229E-01, +3.0, -0.8,         0
+1.2901881E-01, +3.4, -0.7,         0
+1.2660362E-01, +3.8, -1.0,         0
+1.2395948E-01, +4.1, -0.5,         0
+1.1682454E-01, +4.9, -0.2,         0
+1.4008000E-01, +4.5, -0.7,         0
+1.3203961E-01, +5.0, -0.9,         0
+1.1515080E-01, +5.7, -0.5,         0
+1.2691608E-01, +5.4, -0.5,         0
+1.3499205E-01, +5.7, -0.4,         0
+1.2752537E-01, +5.9, -0.6,         0
+1.3263120E-01, +5.9, -0.3,         0
+1.2528034E-01, +5.8, -0.4,         0
+1.2330589E-01, +5.9, -0.2,         0
+1.1671169E-01, +5.7, -0.3,         0
+1.2118366E-01, +5.5, -0.2,         0
+1.1342371E-01, +5.7, -0.2,         0
+1.2288689E-01, +5.3, +0.1,         0
+1.3133606E-01, +5.1, +0.0,         0
+1.1531138E-01, +5.5, -0.5,         0
+1.3060310E-01, +5.1, -0.1,         0
+1.3490999E-01, +5.7, +0.5,         0
+1.1576812E-01, +5.8, -0.1,         0
+1.3314971E-01, +6.0, +0.2,         0
+1.1152788E-01, +6.4, +0.1,         0
+1.2577316E-01, +6.1, +0.1,         0
+1.2370846E-01, +6.2, +0.4,         0
+1.2049338E-01, +6.1, +0.1,         0
+1.2346780E-01, +6.1, +0.2,         0
+1.3175447E-01, +6.2, +0.7,         0
+1.2924483E-01, +6.0, +0.4,         0
+1.1483822E-01, +6.4, -0.1,         0
+1.1205979E-01, +6.5, +0.4,         0
+1.3226637E-01, +6.3, +0.2,         0
+1.1334535E-01, +7.1, -0.2,         0
+1.4100157E-01, +6.4, +0.3,         0
+1.2827036E-01, +7.0, +0.2,         0
+1.1665079E-01, +6.8, +0.8,         0
+1.3259745E-01, +6.7, +0.5,         0
+1.3861528E-01, +7.1, +0.8,         0
+1.2367205E-01, +7.2, +0.8,         0
+1.1905842E-01, +6.9, +0.7,         0
+1.2295815E-01, +7.3, +0.5,         0
+1.2784019E-01, +6.4, +0.5,         0
+1.1419746E-01, +6.3, +0.5,         0
+1.1500451E-01, +6.5, +0.7,         0
+1.2121174E-01, +6.8, +0.8,         0
+1.2356004E-01, +6.6, +0.3,         0
+1.2036078E-01, +6.9, +0.3,         0
+1.2059361E-01, +6.6, +0.3,         0
+1.2827042E-01, +6.6, +0.3,         0
+1.3322322E-01, +6.4, +0.6,         0
+1.0768367E-01, +6.1, +0.5,         0
+1.2098501E-01, +7.1, +0.8,         0
+1.3807353E-01, +7.2, +0.3,         0
+1.1940850E-01, +7.5, +0.5,         0
+1.2988771E-01, +6.5, +0.6,         0
+1.3184577E-01, +6.7, +0.7,         0
+1.2105347E-01, +6.8, -0.1,         0
+1.2495657E-01, +7.3, +0.6,         0
+1.2849855E-01, +7.0, +0.5,         0
+1.1654580E-01, +7.1, +1.0,         0
+1.2842394E-01, +7.1, +0.2,         0
+1.2100771E-01, +7.6, +1.1,         0
+1.1627813E-01, +7.5, +0.4,         0
+1.3273573E-01, +6.9, +0.9,         0
+1.2468113E-01, +6.9, +0.4,         0
+1.2435164E-01, +7.1, +1.1,         0
+1.3019678E-01, +6.5, +0.7,         0
+1.1713672E-01, +7.1, +0.8,         0
+1.2420756E-01, +7.5, +1.0,         0
+1.2443475E-01, +6.9, +0.7,         0
+1.4040589E-01, +7.2, +0.8,         0
+1.1624378E-01, +7.2, +0.3,         0
+1.1875490E-01, +7.6, +0.6,         0
+1.2878451E-01, +7.1, +0.7,         0
+1.3476223E-01, +7.4, +1.5,         0
+1.3423011E-01, +7.2, +0.8,         0
+1.2178110E-01, +7.8, +0.7,         0
+1.1859030E-01, +7.5, +0.7,         0
+1.2564203E-01, +7.4, +0.9,         0
+1.2587349E-01, +7.4, +1.0,         0
+1.2526818E-01, +7.7, +0.6,         0
+1.3228565E-01, +7.5, +0.9,         0
+1.3186638E-01, +7.6, +1.0,         0
+1.1411487E-01, +8.0, +1.1,         0
+1.3110167E-01, +7.7, +0.6,         0
+1.1713929E-01, +8.1, +1.0,         0
+1.2509100E-01, +7.6, +1.1,         0
+1.2300862E-01, +7.2, +1.2,         0
+1.1949174E-01, +7.8, +0.8,         0
+1.3438308E-01, +7.0, +0.7,         0
+1.1449732E-01, +7.3, +1.6,         0
+1.3446988E-01, +7.7, +0.6,         0
+1.3174434E-01, +7.3, +1.2,         0
+1.2993154E-01, +7.4, +0.8,         0
+1.1973567E-01, +8.0, +1.1,         0
+1.2091213E-01, +7.8, +0.8,         0
+1.2854008E-01, +7.6, +1.2,         0
+1.2512092E-01, +7.8, +0.8,         0
+1.1596211E-01, +7.7, +0.9,         0
+1.1571816E-01, +7.4, +1.2,         0
+1.2571359E-01, +7.5, +1.1,         0
+1.2444200E-01, +8.0, +0.4,         0
+1.3143732E-01, +7.7, +0.5,         0
+1.3216440E-01, +7.4, +1.1,         0
+1.2784840E-01, +7.7, +0.9,         0
+1.2163421E-01, +7.4, +0.8,         0
+1.1526236E-01, +7.8, +1.0,         0
+1.1877288E-01, +7.0, +1.4,         0
+1.2434597E-01, +7.0, +0.8,         0
+1.4170209E-01, +7.2, +1.5,         0
+1.1547265E-01, +7.5, +1.2,         0
+1.2689792E-01, +7.4, +1.2,         0
+1.3406226E-01, +7.8, +0.5,         0
+1.2118610E-01, +7.3, +0.9,         0
+1.1736055E-01, +7.6, +1.0,         0
+1.1710409E-01, +7.6, +1.4,         0
+1.0859831E-01, +7.3, +1.7,         0
+1.0865217E-01, +7.1, +1.6,         0
+1.1936034E-01, +7.5, +1.4,         0
+1.2569021E-01, +7.4, +1.5,         0
+1.3499761E-01, +7.3, +1.6,         0
+1.2607053E-01, +7.1, +1.2,         0
+1.2849458E-01, +7.0, +0.8,         0
+1.2078708E-01, +6.7, +1.3,         0
+1.2885939E-01, +7.1, +0.9,         0
+1.1315958E-01, +7.1, +0.9,         0
+1.1757562E-01, +7.4, +1.3,         0
+1.3325576E-01, +6.3, +0.9,         0
+1.1156242E-01, +6.9, +1.7,         0
+1.0996500E-01, +7.4, +1.2,         0
+1.2709205E-01, +6.9, +1.6,         0
+1.3198304E-01, +7.2, +1.1,         0
+1.2555422E-01, +6.6, +0.8,         0
+1.2594774E-01, +7.3, +1.7,         0
+1.1553806E-01, +7.5, +1.1,         0
+1.2544413E-01, +6.9, +1.6,         0
+1.2305048E-01, +7.2, +1.3,         0
