Meter S/N: Not_Serialized,,,
Sensor S/N: x1
SUN JUN  9 16:47:37 2013,,,
Measurement,QuadDistanceX(mm),QuadDistanceY(mm),PulsePeriod(usec)
+1.1113311E-01, +3.3, -5.5,         0
+1.2453752E-01, +3.3, -4.9,         0
+1.3010184E-01, +3.1, -4.7,         0
+1.3763778E-01, +3.5, -4.5,         0
+1.2544993E-01, +3.3, -4.5,         0
+1.2895560E-01, +3.1, -4.4,         0
+1.3235098E-01, +3.0, -4.7,         0
+1.2064424E-01, +3.3, -4.9,         0
+1.2752874E-01, +3.6, -4.6,         0
+1.3451540E-01, +3.4, -4.1,         0
+1.3085391E-01, +3.1, -5.0,         0
+1.2784421E-01, +3.5, -4.6,         0
+1.2587368E-01, +3.3, -4.2,         0
+1.2393323E-01, +4.2, -4.3,         0
+1.2365974E-01, +4.2, -4.1,         0
+1.2377364E-01, +4.4, -4.0,         0
+1.3740550E-01, +4.8, -3.8,         0
+1.4048709E-01, +4.9, -3.4,         0
+1.3731116E-01, +5.5, -3.4,         0
+1.3909352E-01, +5.0, -3.7,         0
+1.3307452E-01, +5.3, -3.1,         0
+1.3235246E-01, +6.0, -3.3,         0
+1.3151021E-01, +6.0, -3.4,         0
+1.3236032E-01, +6.6, -3.3,         0
+1.3630497E-01, +6.2, -3.3,         0
+1.3727315E-01, +6.1, -2.9,         0
+1.4217961E-01, +6.2, -2.6,         0
+1.2742843E-01, +6.5, -2.6,         0
+1.2927401E-01, +7.7, -2.7,         0
+1.3606901E-01, +6.6, -3.0,         0
+1.2808850E-01, +6.2, -2.8,         0
+1.3091412E-01, +6.5, -2.5,         0
+1.2885471E-01, +6.8, -2.3,         0
+1.3044962E-01, +7.2, -2.4,         0
+1.2731746E-01, +7.2, -2.1,         0
+1.3006951E-01, +7.0, -2.3,         0
+1.3576464E-01, +7.0, -2.1,         0
+1.2298989E-01, +7.2, -2.2,         0
+1.4538915E-01, +6.7, -2.4,         0
+1.3465038E-01, +7.4, -1.7,         0
+1.3742952E-01, +7.2, -1.8,         0
+1.3671178E-01, +7.2, -1.7,         0
+1.4544304E-01, +7.0, -1.6,         0
+1.3405506E-01, +7.5, -1.5,         0
+1.1282019E-01, +8.0, -2.1,         0
+1.3146210E-01, +7.7, -1.9,         0
+1.4665502E-01, +7.3, -1.2,         0
+1.3928911E-01, +7.7, -1.3,         0
+1.3131215E-01, +7.9, -1.6,         0
+1.4142354E-01, +7.8, -1.5,         0
+1.4292231E-01, +7.6, -1.7,         0
+1.3499534E-01, +8.6, -1.3,         0
+1.3920675E-01, +8.6, -1.7,         0
+1.7268926E-01, +9.6, -1.0,         0
+1.5179624E-01, +9.2, -0.7,         0
+1.1781871E-01, +9.1, -1.0,         0
+1.4228959E-01, +8.9, -0.7,         0
+1.1390349E-01, +9.0, -0.6,         0
+1.2295132E-01, +8.5, -0.7,         0
+1.2277649E-01, +9.1, -1.1,         0
+1.3359730E-01, +8.9, -0.4,         0
+1.1451737E-01, +8.8, -0.3,         0
+1.4014998E-01, +8.0, -0.6,         0
+1.4014778E-01, +8.6, -0.4,         0
+1.3023046E-01, +8.8, -0.3,         0
+1.2917715E-01, +8.0, -0.8,         0
+1.3013797E-01, +8.3, -0.8,         0
+1.2244285E-01, +8.2, -0.3,         0
+1.3135514E-01, +8.0, -0.7,         0
+1.1321928E-01, +8.4, -0.7,         0
+1.3668653E-01, +7.9, -0.9,         0
+1.3537212E-01, +8.5, -0.4,         0
+1.3535058E-01, +8.8, -0.4,         0
+1.5008858E-01, +8.3, -0.9,         0
+1.3772580E-01, +8.4, -0.8,         0
+1.4143349E-01, +7.6, -0.5,         0
+1.3017853E-01, +8.7, -0.6,         0
+1.4486825E-01, +8.5, -0.3,         0
+1.1831408E-01, +8.4, -0.6,         0
+1.3861291E-01, +8.5, -0.3,         0
+1.2057315E-01, +9.1, -1.1,         0
+1.3597879E-01, +7.8, -0.9,         0
+1.5209460E-01, +7.7, -0.9,         0
+1.3493302E-01, +8.2, -0.8,         0
+1.3843335E-01, +7.7, -0.6,         0
+1.1537386E-01, +8.1, -1.0,         0
+1.3324983E-01, +7.8, -0.4,         0
+1.2247933E-01, +8.6, -0.2,         0
+1.3537391E-01, +9.1, -1.4,         0
+1.4476435E-01, +8.3, -0.3,         0
+1.5739480E-01, +8.2, -0.4,         0
+1.3537395E-01, +8.9, -0.5,         0
+1.3294883E-01, +8.3, -1.0,         0
+1.3512099E-01, +8.5, -1.0,         0
+1.3527042E-01, +8.6, -0.3,         0
+1.3526605E-01, +8.7, -0.2,         0
+1.4851202E-01, +8.1, -0.5,         0
+1.3335931E-01, +8.8, -0.9,         0
+1.3564180E-01, +8.6, -1.0,         0
+1.3195296E-01, +8.9, -1.1,         0
+1.3783884E-01, +8.9, -0.8,         0
+1.2445334E-01, +8.8, -0.3,         0
+1.2625782E-01, +8.9, -0.9,         0
+1.2996852E-01, +9.4, -0.3,         0
+1.3370706E-01, +8.7, -0.5,         0
+1.4197512E-01, +9.3, -0.4,         0
+1.3489911E-01, +8.9, -1.0,         0
+1.4194028E-01, +8.9, -1.4,         0
+1.3975696E-01, +8.8, -1.0,         0
+1.3972783E-01, +8.9, -0.7,         0
+1.3991971E-01, +9.4, -0.2,         0
+1.3252737E-01, +9.4, -0.2,         0
+1.4907041E-01, +8.8, -0.7,         0
+1.2764747E-01, +8.8, -0.6,         0
+1.3145107E-01, +8.7, -0.4,         0
+1.2057759E-01, +8.6, -0.6,         0
+1.2860669E-01, +7.7, -1.1,         0
+9.9251844E-02, +7.9, -1.0,         0
+1.1298555E-01, +8.0, -0.1,         0
+1.2133438E-01, +7.4, -1.8,         0
+1.2013867E-01, +6.9, -1.5,         0
+1.0963234E-01, +6.9, -2.3,         0
+1.1095610E-01, +6.5, -1.7,         0
+1.2546304E-01, +5.9, -1.7,         0
+1.1045609E-01, +5.8, -2.1,         0
+1.1390928E-01, +6.1, -2.1,         0
+1.3307756E-01, +5.2, -1.7,         0
+9.8172799E-02, +4.8, -2.3,         0
+1.3827512E-01, +5.1, -2.4,         0
+1.3756523E-01, +6.0, -2.3,         0
+1.4206387E-01, +5.9, -2.1,         0
+1.2599543E-01, +5.9, -2.6,         0
+1.4098042E-01, +5.6, -2.6,         0
+1.3469066E-01, +5.8, -2.9,         0
+1.2800384E-01, +5.9, -2.3,         0
+1.3913530E-01, +6.1, -2.5,         0
+1.2907769E-01, +6.0, -2.5,         0
+1.2882899E-01, +6.0, -2.4,         0
+1.1394994E-01, +6.3, -2.5,         0
+1.2729906E-01, +6.3, -2.1,         0
+1.3018577E-01, +6.1, -1.9,         0
+1.3919353E-01, +6.7, -2.4,         0
+1.3180836E-01, +6.1, -2.0,         0
+1.3389169E-01, +6.0, -2.5,         0
+1.2884048E-01, +6.5, -1.6,         0
+1.4100139E-01, +5.9, -1.5,         0
+1.3388696E-01, +6.2, -1.8,         0
+1.3090634E-01, +6.6, -1.7,         0
+1.3355778E-01, +6.4, -1.7,         0
+1.4432478E-01, +6.5, -1.9,         0
+1.2949204E-01, +6.5, -2.0,         0
+1.3179903E-01, +6.5, -1.7,         0
+1.3181511E-01, +6.9, -1.8,         0
+1.2993591E-01, +6.6, -1.8,         0
+1.2900114E-01, +6.5, -1.9,         0
+1.2296350E-01, +6.9, -2.0,         0
+1.3396794E-01, +6.8, -1.9,         0
+1.1843218E-01, +6.8, -2.5,         0
+1.3010111E-01, +6.0, -1.8,         0
+1.1871704E-01, +6.9, -1.7,         0
+1.4064047E-01, +6.2, -2.2,         0
+1.2504435E-01, +6.2, -2.0,         0
+1.2522262E-01, +7.2, -2.3,         0
+1.2673809E-01, +6.3, -2.5,         0
+1.2347025E-01, +6.4, -2.5,         0
+1.1213605E-01, +6.4, -2.2,         0
+1.3060442E-01, +6.3, -2.2,         0
+1.4802325E-01, +6.4, -1.8,         0
+1.2954280E-01, +6.9, -1.7,         0
+1.3955557E-01, +6.6, -2.1,         0
+1.2129521E-01, +6.8, -2.0,         0
+1.3497613E-01, +6.3, -2.3,         0
+1.3185506E-01, +6.5, -1.9,         0
+1.3593426E-01, +6.7, -2.5,         0
+1.3594070E-01, +6.5, -2.2,         0
+1.3117671E-01, +6.8, -2.2,         0
+1.1524824E-01, +6.6, -2.2,         0
+1.1552450E-01, +6.7, -2.1,         0
+1.2866829E-01, +6.0, -2.2,         0
+1.2160064E-01, +6.2, -2.1,         0
+1.4820288E-01, +6.1, -1.7,         0
+1.2583224E-01, +6.5, -2.5,         0
+1.1940702E-01, +6.2, -1.9,         0
+1.3262676E-01, +6.2, -2.6,         0
+1.2032720E-01, +6.5, -2.5,         0
+1.5197857E-01, +6.2, -2.1,         0
+1.3613762E-01, +6.3, -2.6,         0
+1.2322070E-01, +6.5, -2.2,         0
+1.3254589E-01, +6.4, -2.3,         0
+1.5958975E-01, +6.1, -2.1,         0
+1.1482511E-01, +6.1, -2.6,         0
+1.3097277E-01, +6.2, -2.5,         0
+1.2358800E-01, +6.4, -2.1,         0
+1.3039672E-01, +6.6, -2.1,         0
+1.1651565E-01, +6.5, -2.7,         0
+1.3164917E-01, +6.5, -2.2,         0
+1.2591605E-01, +6.3, -2.2,         0
+1.2900241E-01, +6.9, -2.3,         0
+1.1720730E-01, +6.7, -2.7,         0
+1.2377837E-01, +6.2, -2.5,         0
+1.3407215E-01, +6.7, -2.4,         0
+1.3679819E-01, +6.9, -1.9,         0
