Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 3/12/2014 5:32:06 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.0038500, 16.7288703918457, 3942, 0, 0, "bad48541 0000 660f0000"
0.0039000, 16.728178024292, 3993, 0, 0, "4fd38541 0000 990f0000"
0.0039500, 16.7321090698242, 4045, 0, 0, "5cdb8541 0000 cd0f0000"
0.0040000, 16.7310600280762, 4096, 0, 0, "36d98541 0000 00100000"
0.0040500, 16.7303276062012, 4147, 0, 0, "b6d78541 0000 33100000"
0.0041000, 16.7276191711426, 4198, 0, 0, "2ad28541 0000 66100000"
0.0041500, 16.7269382476807, 4249, 0, 0, "c5d08541 0000 99100000"
0.0042000, 16.7267875671387, 4301, 0, 0, "76d08541 0000 cd100000"
0.0042500, 16.7279014587402, 4352, 0, 0, "bed28541 0000 00110000"
0.0043000, 16.7261562347412, 4403, 0, 0, "2bcf8541 0000 33110000"
0.0043500, 16.7269496917725, 4454, 0, 0, "cbd08541 0000 66110000"
0.0044000, 16.7252521514893, 4505, 0, 0, "51cd8541 0000 99110000"
0.0044500, 33.9800491333008, 4557, 1, TriggerDetected, "92eb0742 0100 cd110000"
0.0045000, 42.3586807250977, 4608, 0, 0, "4a6f2942 0000 00120000"
0.0045500, 42.3644676208496, 4659, 0, 0, "37752942 0000 33120000"
0.0046000, 42.3666381835938, 4710, 0, 0, "70772942 0000 66120000"
0.0046500, 23.5107364654541, 4761, 0, 0, "fd15bc41 0000 99120000"
0.0047000, 16.7372417449951, 4813, 0, 0, "dfe58541 0000 cd120000"
0.0047500, 16.7279624938965, 4864, 0, 0, "ded28541 0000 00130000"
0.0048000, 16.7326145172119, 4915, 0, 0, "65dc8541 0000 33130000"
0.0048500, 16.7289714813232, 4966, 0, 0, "efd48541 0000 66130000"
0.0049000, 16.7264919281006, 5017, 0, 0, "dbcf8541 0000 99130000"
0.0049500, 16.7275810241699, 5069, 0, 0, "16d28541 0000 cd130000"
0.0050000, 16.7275562286377, 5120, 0, 0, "09d28541 0000 00140000"
0.0050500, 16.7292900085449, 5171, 0, 0, "96d58541 0000 33140000"
0.0051000, 16.7306461334229, 5222, 0, 0, "5dd88541 0000 66140000"
0.0051500, 16.7278537750244, 5273, 0, 0, "a5d28541 0000 99140000"
0.0052000, 16.7289237976074, 5325, 0, 0, "d6d48541 0000 cd140000"
0.0052500, 16.7294960021973, 5376, 0, 0, "02d68541 0000 00150000"
0.0053000, 16.727388381958, 5427, 0, 0, "b1d18541 0000 33150000"
0.0053500, 16.7286891937256, 5478, 0, 0, "5bd48541 0000 66150000"
0.0054000, 20.3020668029785, 5529, 0, 0, "a26aa241 0000 99150000"
0.0054500, 42.3521995544434, 5581, 1, TriggerDetected, "a7682942 0100 cd150000"
0.0055000, 42.3650398254395, 5632, 0, 0, "cd752942 0000 00160000"
0.0055500, 42.3662300109863, 5683, 0, 0, "05772942 0000 33160000"
0.0056000, 37.1233825683594, 5734, 0, 0, "587e1442 0000 66160000"
0.0056500, 16.7483577728271, 5785, 0, 0, "a3fc8541 0000 99160000"
0.0057000, 16.7302722930908, 5837, 0, 0, "99d78541 0000 cd160000"
0.0057500, 16.7277755737305, 5888, 0, 0, "7cd28541 0000 00170000"
0.0058000, 16.7297420501709, 5939, 0, 0, "83d68541 0000 33170000"
0.0058500, 16.7310314178467, 5990, 0, 0, "27d98541 0000 66170000"
0.0059000, 16.7268962860107, 6041, 0, 0, "afd08541 0000 99170000"
0.0059500, 16.7265224456787, 6093, 0, 0, "ebcf8541 0000 cd170000"
0.0060000, 16.7298336029053, 6144, 0, 0, "b3d68541 0000 00180000"
0.0060500, 16.7308025360107, 6195, 0, 0, "afd88541 0000 33180000"
0.0061000, 16.7311630249023, 6246, 0, 0, "6cd98541 0000 66180000"
0.0061500, 16.7254943847656, 6297, 0, 0, "d0cd8541 0000 99180000"
0.0062000, 16.7273464202881, 6349, 0, 0, "9bd18541 0000 cd180000"
0.0062500, 16.7292976379395, 6400, 0, 0, "9ad58541 0000 00190000"
0.0063000, 16.7281131744385, 6451, 0, 0, "2dd38541 0000 33190000"
0.0063500, 16.7286052703857, 6502, 0, 0, "2fd48541 0000 66190000"
0.0064000, 32.3324775695801, 6553, 1, TriggerDetected, "75540142 0100 99190000"
0.0064500, 42.3610534667969, 6605, 0, 0, "b8712942 0000 cd190000"
0.0065000, 42.3663482666016, 6656, 0, 0, "24772942 0000 001a0000"
0.0065500, 42.3676605224609, 6707, 0, 0, "7c782942 0000 331a0000"
0.0066000, 25.1437473297119, 6758, 0, 0, "6526c941 0000 661a0000"
0.0066500, 16.7367725372314, 6809, 0, 0, "e9e48541 0000 991a0000"
0.0067000, 16.7313499450684, 6861, 0, 0, "ced98541 0000 cd1a0000"
0.0067500, 16.7275447845459, 6912, 0, 0, "03d28541 0000 001b0000"
0.0068000, 16.7294654846191, 6963, 0, 0, "f2d58541 0000 331b0000"
0.0068500, 16.7302799224854, 7014, 0, 0, "9dd78541 0000 661b0000"
0.0069000, 16.732084274292, 7065, 0, 0, "4fdb8541 0000 991b0000"
0.0069500, 16.7319583892822, 7117, 0, 0, "0ddb8541 0000 cd1b0000"
