Meter S/N:, "0632B14R"
Sensor, THERMO,SINGLE, ENB065
Date, 8/1/2014 2:11:13 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period, Binary Data
0.000112, 3559.9140625, 70, 0, 0, 0, a07e5e45 0000 46000000 
0.0001136, 3620.11962890625, 71, 0, 0, 0, ea416245 0000 47000000 
0.0001152, 3491.923828125, 72, 0, 0, 0, c83e5a45 0000 48000000 
0.0001168, 3476.548828125, 73, 0, 0, 0, c8485945 0000 49000000 
0.0001184, 3518.40405273438, 74, 0, 0, 0, 77e65b45 0000 4a000000 
0.00012, 3594.76098632813, 75, 0, 0, 0, 2dac6045 0000 4b000000 
0.0001216, 3550.23193359375, 76, 0, 0, 0, b6e35d45 0000 4c000000 
0.0001232, 3532.13989257813, 77, 0, 0, 0, 3dc25c45 0000 4d000000 
0.0001248, 3617.79077148438, 78, 0, 0, 0, a71c6245 0000 4e000000 
0.0001264, 3558.5986328125, 79, 0, 0, 0, 94695e45 0000 4f000000 
0.000128, 3525.62768554688, 80, 0, 0, 0, 0b5a5c45 0000 50000000 
0.0001296, 3548.18334960938, 81, 0, 0, 0, efc25d45 0000 51000000 
0.0001312, 3550.6416015625, 82, 0, 0, 0, 44ea5d45 0000 52000000 
0.0001328, 3476.57055664063, 83, 0, 0, 0, 21495945 0000 53000000 
0.0001344, 3612.20581054688, 84, 0, 0, 0, 4bc36145 0000 54000000 
0.000136, 3630.53491210938, 85, 0, 0, 0, 8fe86245 0000 55000000 
0.0001376, 3258.79907226563, 86, 0, 0, 0, c9ac4b45 0000 56000000 
0.0001392, 3453.26000976563, 87, 0, 0, 0, 29d45745 0000 57000000 
0.0001408, 3736.90844726563, 88, 0, 0, 0, 898e6945 0000 58000000 
0.0001424, 3448.6669921875, 89, 0, 0, 0, ac8a5745 0000 59000000 
0.000144, 3352.53637695313, 90, 0, 0, 0, 95885145 0000 5a000000 
0.0001456, 3407.63134765625, 91, 0, 0, 0, 1afa5445 0000 5b000000 
0.0001472, 3670.27685546875, 92, 0, 0, 0, 6e646545 0000 5c000000 
0.0001488, 3447.52416992188, 93, 0, 0, 0, 63785745 0000 5d000000 
0.0001504, 3348.84887695313, 94, 0, 0, 0, 954d5145 0000 5e000000 
0.000152, 3630.49194335938, 95, 0, 0, 0, dfe76245 0000 5f000000 
0.0001536, 3544, 96, 0, 0, 0, 00805d45 0000 60000000 
0.0001552, 3407.63134765625, 97, 0, 0, 0, 1afa5445 0000 61000000 
0.0001568, 3558.29663085938, 98, 0, 0, 0, bf645e45 0000 62000000 
0.0001584, 3601.18676757813, 99, 0, 0, 0, fd126145 0000 63000000 
0.00016, 3398.79028320313, 100, 0, 0, 0, a56c5445 0000 64000000 
0.0001616, 3455.76147460938, 101, 0, 0, 0, 2ffc5745 0000 65000000 
0.0001632, 3605.068359375, 102, 0, 0, 0, 18516145 0000 66000000 
0.0001648, 3439.22216796875, 103, 0, 0, 0, 8ef35645 0000 67000000 
0.0001664, 3495.9345703125, 104, 0, 0, 0, f47e5a45 0000 68000000 
0.000168, 3535.26684570313, 105, 0, 0, 0, 45f45c45 0000 69000000 
0.0001696, 3451.90161132813, 106, 0, 0, 0, 6dbe5745 0000 6a000000 
0.0001712, 3360.88134765625, 107, 0, 0, 0, 1a0e5245 0000 6b000000 
0.0001728, 3604.68017578125, 108, 0, 0, 0, e24a6145 0000 6c000000 
0.0001744, 3470.48950195313, 109, 0, 0, 0, d5e75845 0000 6d000000 
0.000176, 3237.27856445313, 110, 0, 0, 0, 75544a45 0000 6e000000 
0.0001776, 3420.61279296875, 111, 0, 0, 0, cec95545 0000 6f000000 
0.0001792, 3702.98901367188, 112, 0, 0, 0, d36f6745 0000 70000000 
0.0001808, 3421.69091796875, 113, 0, 0, 0, 0edb5545 0000 71000000 
0.0001824, 3194.58251953125, 114, 0, 0, 0, 52a94745 0000 72000000 
0.000184, 3440.7099609375, 115, 0, 0, 0, 5c0b5745 0000 73000000 
0.0001856, 3608.92822265625, 116, 0, 0, 0, da8e6145 0000 74000000 
0.0001872, 3452.3974609375, 117, 0, 0, 0, 5cc65745 0000 75000000 
0.0001888, 3100.45703125, 118, 0, 0, 0, 50c74145 0000 76000000 
0.0001904, 3295.82373046875, 119, 0, 0, 0, 2efd4d45 0000 77000000 
0.000192, 3425.7880859375, 120, 0, 0, 0, 9c1c5645 0000 78000000 
0.0001936, 3252.6103515625, 121, 0, 0, 0, c4494b45 0000 79000000 
0.0001952, 2983.53881835938, 122, 0, 0, 0, 9f783a45 0000 7a000000 
0.0001968, 2643.00561523438, 123, 0, 0, 0, 17302545 0000 7b000000 
0.0001984, 2452.921875, 124, 0, 0, 0, c04e1945 0000 7c000000 
0.0002, 2435.412109375, 125, 0, 0, 0, 98361845 0000 7d000000 
0.0002016, 2636.06201171875, 126, 0, 0, 0, fec02445 0000 7e000000 
0.0002032, 2385.10400390625, 127, 0, 0, 0, aa111545 0000 7f000000 
0.0002048, 1680.48986816406, 128, 0, 0, 0, ad0fd244 0000 80000000 
0.0002064, 1244.32165527344, 129, 0, 0, 0, 4b8a9b44 0000 81000000 
0.000208, 997.87060546875, 130, 0, 0, 0, b8777944 0000 82000000 
0.0002096, 745.985473632813, 131, 0, 0, 0, 127f3a44 0000 83000000 
0.0002112, 564.872253417969, 132, 0, 0, 0, d3370d44 0000 84000000 
0.0002128, 453.150939941406, 133, 0, 0, 0, 5293e243 0000 85000000 
0.0002144, 372.783172607422, 134, 0, 0, 0, 3f64ba43 0000 86000000 
0.000216, 311.154205322266, 135, 0, 0, 0, bd939b43 0000 87000000 
0.0002176, 263.821960449219, 136, 0, 0, 0, 36e98343 0000 88000000 
0.0002192, 225.395523071289, 137, 0, 0, 0, 41656143 0000 89000000 
0.0002208, 194.279159545898, 138, 0, 0, 0, 77474243 0000 8a000000 
0.0002224, 169.179061889648, 139, 0, 0, 0, d72d2943 0000 8b000000 
0.000224, 148.58576965332, 140, 0, 0, 0, f5951443 0000 8c000000 
0.0002256, 130.903564453125, 141, 0, 0, 0, 50e70243 0000 8d000000 
0.0002272, 116.520599365234, 142, 0, 0, 0, 8c0ae942 0000 8e000000 
0.0002288, 104.962471008301, 143, 0, 0, 0, c9ecd142 0000 8f000000 
0.0002304, 95.5607147216797, 144, 0, 0, 0, 161fbf42 0000 90000000 
0.000232, 87.711540222168, 145, 0, 0, 0, 4f6caf42 0000 91000000 
0.0002336, 79.4310989379883, 146, 0, 0, 0, b9dc9e42 0000 92000000 
0.0002352, 73.6951599121094, 147, 0, 0, 0, ec639342 0000 93000000 
0.0002368, 68.6708297729492, 148, 0, 0, 0, 77578942 0000 94000000 
0.0002384, 65.0265731811523, 149, 0, 0, 0, 9b0d8242 0000 95000000 
0.00024, 61.0588569641113, 150, 0, 0, 0, 453c7442 0000 96000000 
0.0002416, 57.5439796447754, 151, 0, 0, 0, 092d6642 0000 97000000 
0.0002432, 54.3525581359863, 152, 0, 0, 0, 05695942 0000 98000000 
0.0002448, 51.0748825073242, 153, 0, 0, 0, ae4c4c42 0000 99000000 
0.0002464, 47.9481506347656, 154, 0, 0, 0, e8ca3f42 0000 9a000000 
0.000248, 45.1017456054688, 155, 0, 0, 0, 30683442 0000 9b000000 
0.0002496, 43.0100708007813, 156, 0, 0, 0, 500a2c42 0000 9c000000 
0.0002512, 41.3281059265137, 157, 0, 0, 0, fb4f2542 0000 9d000000 
0.0002528, 38.7620315551758, 158, 0, 0, 0, 520c1b42 0000 9e000000 
0.0002544, 37.3388290405273, 159, 0, 0, 0, f65a1542 0000 9f000000 
0.000256, 35.1824607849121, 160, 0, 0, 0, d7ba0c42 0000 a0000000 
0.0002576, 33.7592620849609, 161, 0, 0, 0, 7c090742 0000 a1000000 
0.0002592, 32.0772933959961, 162, 0, 0, 0, 264f0042 0000 a2000000 
0.0002608, 32.0557327270508, 163, 0, 0, 0, 12390042 0000 a3000000 
0.0002624, 31.6028938293457, 164, 0, 0, 0, bad2fc41 0000 a4000000 
0.000264, 30.7834758758545, 165, 0, 0, 0, 8f44f641 0000 a5000000 
0.0002656, 30.0934391021729, 166, 0, 0, 0, 5dbff041 0000 a6000000 
0.0002672, 29.7268562316895, 167, 0, 0, 0, 9ad0ed41 0000 a7000000 
0.0002688, 27.8723812103271, 168, 0, 0, 0, a3fade41 0000 a8000000 
0.0002704, 27.4411087036133, 169, 0, 0, 0, 6487db41 0000 a9000000 
0.000272, 26.5569972991943, 170, 0, 0, 0, bb74d441 0000 aa000000 
0.0002736, 25.7591419219971, 171, 0, 0, 0, b912ce41 0000 ab000000 
0.0002752, 24.8965950012207, 172, 0, 0, 0, 3a2cc741 0000 ac000000 
0.0002768, 23.9477939605713, 173, 0, 0, 0, 1595bf41 0000 ad000000 
0.0002784, 23.4518299102783, 174, 0, 0, 0, 599dbb41 0000 ae000000 
0.00028, 23.0205574035645, 175, 0, 0, 0, 1a2ab841 0000 af000000 
0.0002816, 22.6108474731445, 176, 0, 0, 0, 04e3b441 0000 b0000000 
0.0002832, 21.7051734924316, 177, 0, 0, 0, 32a4ad41 0000 b1000000 
0.0002848, 20.6701183319092, 178, 0, 0, 0, 675ca541 0000 b2000000 
0.0002864, 20.8857536315918, 179, 0, 0, 0, 0616a741 0000 b3000000 
0.000288, 20.1957168579102, 180, 0, 0, 0, d490a141 0000 b4000000 
0.0002896, 19.7644443511963, 181, 0, 0, 0, 951d9e41 0000 b5000000 
0.0002912, 19.6566257476807, 182, 0, 0, 0, c5409d41 0000 b6000000 
0.0002928, 18.6646976470947, 183, 0, 0, 0, 4d519541 0000 b7000000 
0.0002944, 17.6296424865723, 184, 0, 0, 0, 82098d41 0000 b8000000 
0.000296, 17.2630596160889, 185, 0, 0, 0, bf1a8a41 0000 b9000000 
0.0002976, 16.8102226257324, 186, 0, 0, 0, 567b8641 0000 ba000000 
0.0002992, 16.7024040222168, 187, 0, 0, 0, 869e8541 0000 bb000000 
0.0003008, 16.3789501190186, 188, 0, 0, 0, 17088341 0000 bc000000 
0.0003024, 16.1201858520508, 189, 0, 0, 0, 24f68041 0000 bd000000 
0.000304, 15.1066932678223, 190, 0, 0, 0, 04b57141 0000 be000000 
0.0003056, 15.3870210647583, 191, 0, 0, 0, 3d317641 0000 bf000000 
0.0003072, 14.7616748809814, 192, 0, 0, 0, d22f6c41 0000 c0000000 
0.0003088, 14.6107292175293, 193, 0, 0, 0, 8cc56941 0000 c1000000 
0.0003104, 14.589165687561, 194, 0, 0, 0, 396d6941 0000 c2000000 
0.000312, 13.7050552368164, 195, 0, 0, 0, e8475b41 0000 c3000000 
0.0003136, 13.4462909698486, 196, 0, 0, 0, 02245741 0000 c4000000 
