Meter S/N:," ""REV_DA_10""",,,,
Sensor, Thermo, Single, 0720B14R, 150HD,
Date, 1/21/2015 3:29:31 PM,,,,
Units, W,,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
39.4,-0.000186923,39400000,0,0,0
39.5,-0.00034203,39500000,0,0,0
39.6,-9.55E-05,39600000,0,0,0
39.7,-0.000165712,39700000,0,0,0
39.8,-0.000210786,39800000,0,0,0
39.9,-0.000165712,39900000,0,0,0
40,-0.000238626,40000000,0,0,0
40.1,-8.09E-05,40100000,0,0,0
40.2,-0.000140524,40200000,0,0,0
40.3,-0.000174992,40300000,0,0,0
40.4,-0.000167038,40400000,0,0,0
40.5,-0.000171015,40500000,0,0,0
40.6,-0.000482554,40600000,0,0,0
40.7,-0.000168364,40700000,0,0,0
40.8,-7.29E-05,40800000,0,0,0
40.9,-0.000145827,40900000,0,0,0
41,-0.000155107,41000000,0,0,0
41.1,-0.000121964,41100000,0,0,0
41.2,-0.000131244,41200000,0,0,0
41.3,-0.000173666,41300000,0,0,0
41.4,-0.000140524,41400000,0,0,0
41.5,-0.000159084,41500000,0,0,0
41.6,-0.000159084,41600000,0,0,0
41.7,-0.000371196,41700000,0,0,0
41.8,-0.000327447,41800000,0,0,0
41.9,-0.000250557,41900000,0,0,0
42,-0.000286351,42000000,0,0,0
42.1,-0.000234649,42100000,0,0,0
42.2,-8.09E-05,42200000,0,0,0
42.3,0.000147153,42300000,0,0,0
42.4,8.48E-05,42400000,0,0,0
42.5,4.37E-05,42500000,0,0,0
42.6,6.23E-05,42600000,0,0,0
42.7,-0.000676106,42700000,0,0,0
42.8,5.30E-06,42800000,0,0,0
42.9,-9.94E-05,42900000,0,0,0
43,0.000116661,43000000,0,0,0
43.1,-2.12E-05,43100000,0,0,0
43.2,-0.000164387,43200000,0,0,0
43.3,-8.62E-05,43300000,0,0,0
43.4,3.84E-05,43400000,0,0,0
43.5,-8.22E-05,43500000,0,0,0
43.6,-0.000202832,43600000,0,0,0
43.7,-0.000149804,43700000,0,0,0
43.8,-0.00033275,43800000,0,0,0
43.9,9.28E-06,43900000,0,0,0
44,-0.00014185,44000000,0,0,0
44.1,1.33E-06,44100000,0,0,0
44.2,-0.000214763,44200000,0,0,0
44.3,-7.56E-05,44300000,0,0,0
44.4,-0.000262488,44400000,0,0,0
44.5,-0.000389755,44500000,0,0,0
44.6,0.000339379,44600000,0,0,0
44.7,-0.000188249,44700000,0,0,0
44.8,-0.000119313,44800000,0,0,0
44.9,-0.000185598,44900000,0,0,0
45,5.57E-05,45000000,0,0,0
45.1,0.00012329,45100000,0,0,0
45.2,0.00025586,45200000,0,0,0
45.3,0.000135221,45300000,0,0,0
45.4,-5.97E-05,45400000,0,0,0
45.5,-0.000167038,45500000,0,0,0
45.6,-0.000373847,45600000,0,0,0
45.7,-0.000258511,45700000,0,0,0
45.8,-0.000102079,45800000,0,0,0
45.9,9.28E-06,45900000,0,0,0
46,-9.28E-06,46000000,0,0,0
46.1,-4.77E-05,46100000,0,0,0
46.2,-0.00015113,46200000,0,0,0
46.3,-3.98E-06,46300000,0,0,0
46.4,-0.000112684,46400000,0,0,0
46.5,1.06E-05,46500000,0,0,0
46.6,1.59E-05,46600000,0,0,0
46.7,6.76E-05,46700000,0,0,0
46.8,-1.06E-05,46800000,0,0,0
46.9,-3.45E-05,46900000,0,0,0
47,-0.000108707,47000000,0,0,0
47.1,-0.00011401,47100000,0,0,0
47.2,-3.98E-05,47200000,0,0,0
47.3,-0.000112684,47300000,0,0,0
47.4,-8.88E-05,47400000,0,0,0
47.5,-3.31E-05,47500000,0,0,0
47.6,0.000294305,47600000,0,0,0
47.7,3.31E-05,47700000,0,0,0
47.8,0.000180295,47800000,0,0,0
47.9,3.84E-05,47900000,0,0,0
48,-0.000212112,48000000,0,0,0
48.1,0.000145827,48100000,0,0,0
48.2,-0.000131244,48200000,0,0,0
48.3,1.06E-05,48300000,0,0,0
48.4,9.01E-05,48400000,0,0,0
48.5,-9.28E-06,48500000,0,0,0
48.6,-7.56E-05,48600000,0,0,0
48.7,-0.000201506,48700000,0,0,0
48.8,-4.24E-05,48800000,0,0,0
48.9,-5.17E-05,48900000,0,0,0
49,6.89E-05,49000000,0,0,0
49.1,-0.000225369,49100000,0,0,0
49.2,-5.97E-05,49200000,0,0,0
49.3,-7.29E-05,49300000,0,0,0
49.4,1.59E-05,49400000,0,0,0
49.5,-0.000208135,49500000,0,0,0
49.6,-0.000310213,49600000,0,0,0
49.7,1.33E-05,49700000,0,0,0
49.8,7.56E-05,49800000,0,0,0
49.9,-0.000139198,49900000,0,0,0
50,-2.52E-05,50000000,0,0,0
50.1,0.000299608,50100000,0,0,0
50.2,0.000140524,50200000,0,0,0
50.3,-1.33E-05,50300000,0,0,0
50.4,-9.41E-05,50400000,0,0,0
50.5,-9.28E-05,50500000,0,0,0
50.6,-0.000220066,50600000,0,0,0
50.7,3.84E-05,50700000,0,0,0
50.8,3.05E-05,50800000,0,0,0
50.9,6.10E-05,50900000,0,0,0
51,6.36E-05,51000000,0,0,0
51.1,5.44E-05,51100000,0,0,0
51.2,0.000100753,51200000,0,0,0
51.3,0.000267791,51300000,0,0,0
51.4,1.19E-05,51400000,0,0,0
51.5,8.88E-05,51500000,0,0,0
51.6,5.04E-05,51600000,0,0,0
51.7,6.63E-05,51700000,0,0,0
51.8,5.04E-05,51800000,0,0,0
51.9,-0.000315516,51900000,0,0,0
52,-0.000441458,52000000,0,0,0
52.1,-0.000408315,52100000,0,0,0
52.2,-0.000128593,52200000,0,0,0
52.3,-0.000192226,52300000,0,0,0
52.4,-0.000420246,52400000,0,0,0
52.5,-0.000355287,52500000,0,0,0
52.6,-0.000289002,52600000,0,0,0
52.7,-0.000206809,52700000,0,0,0
52.8,-0.000174992,52800000,0,0,0
52.9,-0.000161735,52900000,0,0,0
53,-0.000221392,53000000,0,0,0
53.1,-0.000338053,53100000,0,0,0
53.2,-0.000583307,53200000,0,0,0
53.3,-0.000159084,53300000,0,0,0
53.4,-0.000432178,53400000,0,0,0
53.5,-0.00050244,53500000,0,0,0
53.6,-0.000320819,53600000,0,0,0
53.7,-0.000147153,53700000,0,0,0
53.8,-0.000108707,53800000,0,0,0
53.9,-0.000477251,53900000,0,0,0
54,-0.000429526,54000000,0,0,0
54.1,-0.000438806,54100000,0,0,0
54.2,-0.000302259,54200000,0,0,0
54.3,-0.000279722,54300000,0,0,0
54.4,-0.000947874,54400000,0,0,0
54.5,-0.000454715,54500000,0,0,0
54.6,-0.000599216,54600000,0,0,0
