Meter S/N:, ERR-100
Sensor, THERMO,SINGLE, Serial
Date, 11/13/2013 1:43:19 PM
Timestamp, Measurement, PulsePeriod(uSec) 
00.029400, 24.23633, 10260
00.029547, 24.23973, 10300
00.029694, 24.24037, 10360
00.029841, 24.24001, 10400
00.029988, 24.23741, 10460
00.030135, 24.23472, 10510
00.030282, 24.23016, 10570
00.030429, 24.23695, 10610
00.030576, 24.23238, 10670
00.030723, 24.23564, 10720
00.030870, 24.23696, 10770
00.031017, 24.23779, 10810
00.031164, 24.23418, 10870
00.031311, 10.68253, 10920
00.031458, -0.1468951, 10970
00.031605, -0.1450449, 11020
00.031752, -0.1480001, 11070
00.031899, -0.1454046, 11120
00.032046, -0.1453404, 11170
00.032193, -0.1494777, 11220
00.032340, -0.1518548, 11270
00.032487, -0.1537564, 11340
00.032634, -0.1500945, 11380
00.032781, -0.1507626, 11430
00.032928, -0.1519576, 11480
00.033075, -0.1476532, 11530
00.033222, -0.1513537, 11590
00.033369, -0.1500945, 11630
00.033516, -0.1527285, 11680
00.033663, -0.1492721, 11730
00.033810, -0.149118, 11790
00.033957, -0.1487068, 11860
00.034104, -0.1494392, 11890
00.034251, -0.1445052, 11940
00.034398, -0.1409332, 11990
00.034545, -0.1463041, 12040
00.034692, -0.1438628, 12100
00.034839, -0.1453018, 12140
00.034986, -0.1464454, 12200
00.035133, -0.1494263, 12250
00.035280, -0.1439656, 12300
00.035427, -0.1418712, 12360
00.035574, -0.1460342, 12400
00.035721, -0.147075, 12460
00.035868, -0.1472549, 12500
00.036015, -0.1501073, 12560
00.036162, -0.1474348, 12610
00.036309, -0.1475889, 12660
00.036456, -0.1436957, 12710
00.036603, -0.1450063, 12760
00.036750, -0.1450706, 12810
00.036897, -0.1470621, 12870
00.037044, -0.1390701, 12910
00.037191, -0.1452376, 13770
00.037338, -0.146137, 13800
00.037485, -0.1433745, 13840
00.037632, -0.1444538, 13870
00.037779, -0.1502872, 13900
00.037926, -0.1448907, 13930
00.038073, -0.1487196, 13970
00.038220, -0.1380807, 14000
00.038367, -0.1390059, 14030
00.038514, -0.1395712, 14070
00.038661, -0.1482314, 14110
00.038808, -0.1353311, 14140
00.038955, -0.1380294, 14180
00.039102, -0.1407533, 14210
00.039249, -0.1390187, 14240
00.039396, -0.1430019, 14280
00.039543, -0.1453789, 14310
00.039690, -0.1413315, 14360
00.039837, -0.1415885, 14390
00.039984, -0.1462013, 14420
00.040131, -0.1429762, 14460
00.040278, -0.1412544, 14490
00.040425, -0.1393528, 14520
00.040572, -0.1456745, 14560
00.040719, -0.1451348, 14600
00.040866, -0.1493749, 14640
00.041013, -0.1542832, 14670
00.041160, -0.156339, 14710
00.041307, -0.1534866, 14740
00.041454, -0.151919, 14770
00.041601, -0.1539748, 14800
00.041748, -0.1551184, 14840
00.041895, -0.1536922, 14880
00.042042, -0.1518291, 14910
00.042189, -0.1465867, 14940
00.042336, -0.1474348, 14980
00.042483, -0.1518162, 15010
00.042630, -0.1539363, 15040
00.042777, -0.1502487, 15070
00.042924, -0.1481286, 15110
00.043071, -0.1494649, 15140
00.043218, -0.148861, 15180
00.043365, -0.1485012, 15210
00.043512, -0.1487582, 15240
00.043659, -0.1489895, 15280
00.043806, -0.1468437, 15310
00.043953, -0.1465225, 15360
00.044100, -0.1461756, 15390
00.044247, -0.15039, 15420
00.044394, -0.1462527, 15470
00.044541, -0.1444024, 15520
00.044688, -0.1477945, 15590
00.044835, -0.1504029, 15620
00.044982, -0.1471392, 15680
00.045129, -0.1525101, 15730
00.045276, -0.1462013, 15780
00.045423, -0.1444153, 15840
00.045570, -0.1449549, 15880
00.045717, -0.1484627, 15930
00.045864, -0.15269, 16050
00.046011, -0.1558893, 16090
00.046158, -0.153538, 16130
00.046305, -0.1527157, 16160
00.046452, -0.1517263, 16190
00.046599, -0.1456231, 16240
00.046746, -0.1487196, 16290
00.046893, -0.1508654, 16360
00.047040, -0.1488481, 16390
00.047187, -0.1512894, 16450
00.047334, -0.1506341, 16490
00.047481, -0.1534609, 16550
00.047628, -0.1511738, 16610
00.047775, -0.1523687, 16660
00.047922, -0.1514822, 16700
00.048069, -0.1486297, 16760
00.048216, -0.1533581, 16800
00.048363, -0.1498504, 16860
00.048510, -0.1558251, 16910
00.048657, -0.1486682, 16960
00.048804, -0.1524715, 17010
00.048951, -0.1495034, 17070
00.049098, -0.153024, 17110
00.049245, -0.1531782, 17170
00.049392, -0.1543989, 17210
00.049539, -0.1501202, 17270
00.049686, -0.1554268, 17320
00.049833, -0.1460728, 17370
00.049980, -0.143927, 17420
00.050127, -0.1482057, 17470
00.050274, -0.1472934, 17520
00.050421, -0.1463811, 17570
00.050568, -0.1542961, 17620
00.050715, -0.154219, 17670
00.050862, -0.1473191, 17720
00.051009, -0.1489124, 17780
00.051156, -0.1459828, 17840
00.051303, -0.1455845, 17880
00.051450, -0.1526771, 17930
00.051597, -0.1491694, 17980
00.051744, -0.1489895, 18030
00.051891, -0.1442225, 18090
00.052038, -0.1443639, 18130
00.052185, -0.1476018, 18190
00.052332, -0.1388388, 18240
00.052479, -0.1472292, 18290
00.052626, -0.1457516, 18360
00.052773, -0.1480643, 18390
00.052920, -0.1439656, 18440
00.053067, -0.1500688, 18490
00.053214, -0.1495548, 18550
00.053361, -0.1481543, 18610
00.053508, -0.1488096, 18650
00.053655, -0.1494649, 18700
00.053802, -0.1436957, 18760
00.053949, -0.147332, 18800
00.054096, -0.1461113, 18860
00.054243, 7.226154, 18900
00.054390, 24.22521, 18960
00.054537, 24.23178, 19010
00.054684, 24.23025, 19060
00.054831, 24.23135, 19110
00.054978, 24.23292, 19170
00.055125, 24.23264, 19210
00.055272, 24.23164, 19270
00.055419, 24.22931, 19310
00.055566, 24.22861, 19370
00.055713, 24.22827, 19420
00.055860, 24.22843, 19470
00.056007, 24.23135, 19520
00.056154, 24.2302, 19570
00.056301, 24.2292, 19620
00.056448, 24.23262, 19670
00.056595, 24.23294, 19720
00.056742, 24.23562, 19770
00.056889, 24.23222, 19840
00.057036, 24.23508, 19880
00.057183, 24.22854, 19930
00.057330, 24.23297, 19980
00.057477, 24.22617, 20030
00.057624, 24.22714, 20090
00.057771, 24.22756, 20130
00.057918, 24.23101, 20180
00.058065, 24.22749, 20230
00.058212, 24.23337, 20290
00.058359, 24.23491, 20360
00.058506, 24.22989, 20390
00.058653, 24.2268, 20440
00.058800, 24.23141, 20490
00.058947, 24.22843, 20540
00.059094, 24.23224, 20610
00.059241, 24.23135, 20640
00.059388, 24.22579, 20700
00.059535, 24.22716, 20750
00.059682, 24.22412, 20800
00.059829, 24.22423, 20860
00.059976, 18.35981, 20900
00.060123, -0.1519319, 20960
00.060270, -0.1607848, 21000
00.060417, -0.1575468, 21060
00.060564, -0.1602194, 21100
00.060711, -0.1581764, 21160
00.060858, -0.1547201, 21210
00.061005, -0.1589474, 21270
00.061152, -0.1620825, 21310
00.061299, -0.1596669, 21360
00.061446, -0.1632903, 21410
00.061593, -0.1592301, 21470
00.061740, -0.1546558, 21510
00.061887, -0.1599496, 21570
00.062034, -0.1534609, 21620
00.062181, -0.1560307, 21670
00.062328, -0.1558122, 21720
00.062475, -0.1600781, 21770
00.062622, -0.1589474, 21830
00.062769, -0.156429, 21870
00.062916, -0.1475761, 21920
00.063063, -0.1532553, 21970
00.063210, -0.1498375, 22030
00.063357, -0.1576882, 22090
00.063504, -0.1579452, 22130
00.063651, -0.1557994, 22180
00.063798, -0.1491951, 22230
00.063945, -0.1467024, 22280
00.064092, -0.1485141, 22350
00.064239, -0.1571228, 22380
00.064386, -0.1541933, 22440
00.064533, -0.1540776, 22490
00.064680, -0.1584591, 22540
00.064827, -0.1559793, 22600
00.064974, -0.1473834, 22640
00.065121, -0.1545916, 22690
00.065268, -0.1512766, 22740
00.065415, -0.1482571, 22790
00.065562, -0.1477945, 22870
00.065709, -0.149709, 22900
00.065856, -0.1474604, 22950
00.066003, -0.1508526, 23000
00.066150, -0.1557994, 23050
00.066297, -0.1554653, 23110
00.066444, -0.1517905, 23160
00.066591, -0.1560307, 23200
00.066738, -0.1575597, 23260
00.066885, -0.1586133, 23310
00.067032, -0.1527799, 23360
00.067179, -0.1556195, 23410
00.067326, -0.1423209, 23470
00.067473, -0.1447879, 23510
00.067620, -0.1446594, 23570
00.067767, -0.1439399, 23610
00.067914, -0.1473063, 23670
00.068061, -0.1523559, 23720
00.068208, -0.1511352, 23770
00.068355, -0.1548614, 23820
00.068502, -0.1532039, 23870
