Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 2/24/2014 4:30:51 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0.320006, 32.2807579040527, 1767258, 0, 0, "7f1f0142 0000 5af71a00"
0.320013, 32.3085899353027, 1767264, 0, 0, "ff3b0142 0000 60f71a00"
0.320019, 32.3324699401855, 1767271, 0, 0, "73540142 0000 67f71a00"
0.320026, 32.3528861999512, 1767277, 0, 0, "5b690142 0000 6df71a00"
0.320032, 32.3912620544434, 1767283, 0, 0, "a7900142 0000 73f71a00"
0.320038, 32.4214057922363, 1767290, 0, 0, "85af0142 0000 7af71a00"
0.320045, 32.4427337646484, 1767296, 0, 0, "5cc50142 0000 80f71a00"
0.320051, 32.4763107299805, 1767303, 0, 0, "bee70142 0000 87f71a00"
0.320058, 32.5067405700684, 1767309, 0, 0, "e7060242 0000 8df71a00"
0.320064, 32.5281524658203, 1767315, 0, 0, "d41c0242 0000 93f71a00"
0.320070, 32.5539779663086, 1767322, 0, 0, "46370242 0000 9af71a00"
0.320077, 32.585262298584, 1767328, 0, 0, "4f570242 0000 a0f71a00"
0.320083, 32.611141204834, 1767335, 0, 0, "cf710242 0000 a7f71a00"
0.320090, 32.6332664489746, 1767341, 0, 0, "77880242 0000 adf71a00"
0.320096, 32.6653327941895, 1767347, 0, 0, "4da90242 0000 b3f71a00"
0.320102, 32.6960792541504, 1767354, 0, 0, "c9c80242 0000 baf71a00"
0.320109, 32.7200126647949, 1767360, 0, 0, "4be10242 0000 c0f71a00"
0.320115, 32.747802734375, 1767367, 0, 0, "c0fd0242 0000 c7f71a00"
0.320122, 32.7733688354492, 1767373, 0, 0, "ee170342 0000 cdf71a00"
0.320128, 32.8027572631836, 1767379, 0, 0, "06360342 0000 d3f71a00"
0.320134, 32.8255767822266, 1767386, 0, 0, "644d0342 0000 daf71a00"
0.320141, 32.8640899658203, 1767392, 0, 0, "d4740342 0000 e0f71a00"
0.320147, 32.88720703125, 1767399, 0, 0, "808c0342 0000 e7f71a00"
0.320154, 32.9145545959473, 1767405, 0, 0, "81a80342 0000 edf71a00"
0.320160, 32.945182800293, 1767411, 0, 0, "dec70342 0000 f3f71a00"
0.320166, 32.9800910949707, 1767418, 0, 0, "9deb0342 0000 faf71a00"
0.320173, 33.0107650756836, 1767424, 0, 0, "060b0442 0000 00f81a00"
0.320179, 33.0273742675781, 1767431, 0, 0, "081c0442 0000 07f81a00"
0.320186, 33.0595436096191, 1767437, 0, 0, "f93c0442 0000 0df81a00"
0.320192, 33.0858840942383, 1767443, 0, 0, "f2570442 0000 13f81a00"
0.320198, 33.1034049987793, 1767450, 0, 0, "e3690442 0000 1af81a00"
0.320205, 33.1323890686035, 1767456, 0, 0, "91870442 0000 20f81a00"
0.320211, 33.1616287231445, 1767463, 0, 0, "82a50442 0000 27f81a00"
0.320218, 33.1778907775879, 1767469, 0, 0, "29b60442 0000 2df81a00"
0.320224, 33.2041015625, 1767475, 0, 0, "00d10442 0000 33f81a00"
0.320230, 33.2389678955078, 1767482, 0, 0, "b4f40442 0000 3af81a00"
0.320237, 33.2595558166504, 1767488, 0, 0, "c9090542 0000 40f81a00"
0.320243, 33.2930908203125, 1767495, 0, 0, "202c0542 0000 47f81a00"
0.320250, 33.3269157409668, 1767501, 0, 0, "c34e0542 0000 4df81a00"
0.320256, 33.3475723266602, 1767507, 0, 0, "ea630542 0000 53f81a00"
0.320262, 33.376636505127, 1767514, 0, 0, "ad810542 0000 5af81a00"
0.320269, 33.404712677002, 1767520, 0, 0, "6d9e0542 0000 60f81a00"
0.320275, 33.4351463317871, 1767527, 0, 0, "97bd0542 0000 67f81a00"
0.320282, 33.4631233215332, 1767533, 0, 0, "3dda0542 0000 6df81a00"
0.320288, 33.4844512939453, 1767539, 0, 0, "14f00542 0000 73f81a00"
0.320294, 33.5153770446777, 1767546, 0, 0, "bf0f0642 0000 7af81a00"
0.320301, 33.5447883605957, 1767552, 0, 0, "dd2d0642 0000 80f81a00"
0.320307, 33.5659294128418, 1767559, 0, 0, "83430642 0000 87f81a00"
0.320314, 33.5905838012695, 1767565, 0, 0, "c25c0642 0000 8df81a00"
0.320320, 33.6198120117188, 1767571, 0, 0, "b07a0642 0000 93f81a00"
0.320326, 33.6438903808594, 1767578, 0, 0, "58930642 0000 9af81a00"
0.320333, 33.6710929870605, 1767584, 0, 0, "33af0642 0000 a0f81a00"
0.320339, 33.7018127441406, 1767591, 0, 0, "a8ce0642 0000 a7f81a00"
0.320346, 33.7326354980469, 1767597, 0, 0, "38ee0642 0000 adf81a00"
0.320352, 33.7526206970215, 1767603, 0, 0, "af020742 0000 b3f81a00"
0.320358, 33.7820892333984, 1767610, 0, 0, "dc200742 0000 baf81a00"
0.320365, 33.8108863830566, 1767616, 0, 0, "593e0742 0000 c0f81a00"
0.320371, 33.833309173584, 1767623, 0, 0, "4f550742 0000 c7f81a00"
0.320378, 33.8592643737793, 1767629, 0, 0, "e36f0742 0000 cdf81a00"
0.320384, 33.8880271911621, 1767635, 0, 0, "578d0742 0000 d3f81a00"
0.320390, 33.9145889282227, 1767642, 0, 0, "8aa80742 0000 daf81a00"
0.320397, 33.9383277893066, 1767648, 0, 0, "d9c00742 0000 e0f81a00"
0.320403, 33.9730682373047, 1767655, 0, 0, "6ce40742 0000 e7f81a00"
0.320410, 33.9946632385254, 1767661, 0, 0, "89fa0742 0000 edf81a00"
0.320416, 34.023265838623, 1767667, 0, 0, "d3170842 0000 f3f81a00"
0.320422, 34.0484008789063, 1767674, 0, 0, "90310842 0000 faf81a00"
0.320429, 34.0761337280273, 1767680, 0, 0, "f64d0842 0000 00f91a00"
0.320435, 34.102710723877, 1767687, 0, 0, "2d690842 0000 07f91a00"
0.320442, 34.1249084472656, 1767693, 0, 0, "e87f0842 0000 0df91a00"
0.320448, 34.1529808044434, 1767699, 0, 0, "a79c0842 0000 13f91a00"
0.320454, 34.1834487915039, 1767706, 0, 0, "dabb0842 0000 1af91a00"
0.320461, 34.2077674865723, 1767712, 0, 0, "c1d40842 0000 20f91a00"
0.320467, 34.2306938171387, 1767719, 0, 0, "3bec0842 0000 27f91a00"
0.320474, 34.2597732543945, 1767725, 0, 0, "020a0942 0000 2df91a00"
0.320480, 34.2863540649414, 1767731, 0, 0, "3a250942 0000 33f91a00"
0.320486, 34.3068199157715, 1767738, 0, 0, "2f3a0942 0000 3af91a00"
0.320493, 34.3354225158691, 1767744, 0, 0, "79570942 0000 40f91a00"
0.320499, 34.3646507263184, 1767751, 0, 0, "67750942 0000 47f91a00"
0.320506, 34.3819808959961, 1767757, 0, 0, "26870942 0000 4df91a00"
0.320512, 34.4150619506836, 1767763, 0, 0, "06a90942 0000 53f91a00"
0.320518, 34.4465141296387, 1767770, 0, 0, "3bc90942 0000 5af91a00"
0.320525, 34.4696273803711, 1767776, 0, 0, "e6e00942 0000 60f91a00"
0.320531, 34.4909934997559, 1767783, 0, 0, "c7f60942 0000 67f91a00"
0.320538, 34.5188407897949, 1767789, 0, 0, "4b130a42 0000 6df91a00"
0.320544, 34.5435905456543, 1767795, 0, 0, "a32c0a42 0000 73f91a00"
0.320550, 34.5678405761719, 1767802, 0, 0, "78450a42 0000 7af91a00"
0.320557, 34.5985145568848, 1767808, 0, 0, "e1640a42 0000 80f91a00"
0.320563, 34.6315422058105, 1767815, 0, 0, "b3860a42 0000 87f91a00"
0.320570, 34.650276184082, 1767821, 0, 0, "e2990a42 0000 8df91a00"
0.320576, 34.6790657043457, 1767827, 0, 0, "5db70a42 0000 93f91a00"
0.320582, 34.7067070007324, 1767834, 0, 0, "abd30a42 0000 9af91a00"
0.320589, 34.729190826416, 1767840, 0, 0, "b1ea0a42 0000 a0f91a00"
0.320595, 34.7509078979492, 1767847, 0, 0, "ee000b42 0000 a7f91a00"
0.320602, 34.7819023132324, 1767853, 0, 0, "ab200b42 0000 adf91a00"
0.320608, 34.8088684082031, 1767859, 0, 0, "483c0b42 0000 b3f91a00"
0.320614, 34.8263969421387, 1767866, 0, 0, "3b4e0b42 0000 baf91a00"
0.320621, 34.8580322265625, 1767872, 0, 0, "a06e0b42 0000 c0f91a00"
0.320627, 34.8835067749023, 1767879, 0, 0, "b6880b42 0000 c7f91a00"
0.320634, 34.9087448120117, 1767885, 0, 0, "8ea20b42 0000 cdf91a00"
0.320640, 34.9321441650391, 1767891, 0, 0, "84ba0b42 0000 d3f91a00"
0.320646, 34.9601669311523, 1767898, 0, 0, "36d70b42 0000 daf91a00"
0.320653, 34.9886741638184, 1767904, 0, 0, "67f40b42 0000 e0f91a00"
0.320659, 35.0127029418945, 1767911, 0, 0, "020d0c42 0000 e7f91a00"
0.320666, 35.0414505004883, 1767917, 0, 0, "722a0c42 0000 edf91a00"
0.320672, 35.0688018798828, 1767923, 0, 0, "74460c42 0000 f3f91a00"
0.320678, 35.0865135192871, 1767930, 0, 0, "97580c42 0000 faf91a00"
0.320685, 35.1159896850586, 1767936, 0, 0, "c6760c42 0000 00fa1a00"
0.320691, 35.1447906494141, 1767943, 0, 0, "44940c42 0000 07fa1a00"
0.320698, 35.1713180541992, 1767949, 0, 0, "6eaf0c42 0000 0dfa1a00"
0.320704, 35.1860389709473, 1767955, 0, 0, "81be0c42 0000 13fa1a00"
0.320710, 35.2147369384766, 1767962, 0, 0, "e4db0c42 0000 1afa1a00"
0.320717, 35.2475967407227, 1767968, 0, 0, "8afd0c42 0000 20fa1a00"
0.320723, 35.2687339782715, 1767975, 0, 0, "2f130d42 0000 27fa1a00"
0.320730, 35.2953643798828, 1767981, 0, 0, "742e0d42 0000 2dfa1a00"
0.320736, 35.3225708007813, 1767987, 0, 0, "504a0d42 0000 33fa1a00"
