Meter S/N:, "serial number"
Sensor, THERMO,SINGLE, Horst
Date, 2/12/2014 4:16:53 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
3.146950, 12.1196279525757, 3222784, 0, 0, "ffe94141 0000 002d3100"
3.147000, 12.4903249740601, 3222836, 0, 0, "5fd84741 0000 342d3100"
3.147050, 12.7310619354248, 3222887, 0, 0, "6eb24b41 0000 672d3100"
3.147100, 12.8474016189575, 3222938, 0, 0, "f58e4d41 0000 9a2d3100"
3.147150, 12.8284883499146, 3222989, 0, 0, "7d414d41 0000 cd2d3100"
3.147200, 12.6809329986572, 3223040, 0, 0, "1ae54a41 0000 002e3100"
3.147250, 12.4004096984863, 3223092, 0, 0, "14684641 0000 342e3100"
3.147300, 12.0059576034546, 3223143, 0, 0, "67184041 0000 672e3100"
3.147350, 11.4929990768433, 3223194, 0, 0, "53e33741 0000 9a2e3100"
3.147400, 10.8889942169189, 3223245, 0, 0, "52392e41 0000 cd2e3100"
3.147450, 10.1990451812744, 3223296, 0, 0, "4a2f2341 0000 002f3100"
3.147500, 9.4478874206543, 3223348, 0, 0, "8c2a1741 0000 342f3100"
3.147550, 8.64843368530273, 3223399, 0, 0, "fc5f0a41 0000 672f3100"
3.147600, 7.82993412017822, 3223450, 0, 0, "d28efa40 0000 9a2f3100"
3.147650, 7.00303888320923, 3223501, 0, 0, "e518e040 0000 cd2f3100"
3.147700, 6.19702911376953, 3223552, 0, 0, "104ec640 0000 00303100"
3.147750, 5.42889642715454, 3223604, 0, 0, "85b9ad40 0000 34303100"
3.147800, 4.7207727432251, 3223655, 0, 0, "92109740 0000 67303100"
3.147850, 4.08932733535767, 3223706, 0, 0, "c5db8240 0000 9a303100"
3.147900, 3.55414938926697, 3223757, 0, 0, "2f776340 0000 cd303100"
3.147950, 3.12524795532227, 3223808, 0, 0, "10044840 0000 00313100"
3.148000, 2.81401515007019, 3223860, 0, 0, "d3183440 0000 34313100"
3.148050, 2.63115119934082, 3223911, 0, 0, "c8642840 0000 67313100"
3.148100, 2.57712888717651, 3223962, 0, 0, "aeef2440 0000 9a313100"
3.148150, 2.65602087974548, 3224013, 0, 0, "3ffc2940 0000 cd313100"
