Meter S/N:, "serial number"
Sensor, OPT,NOSPEC, 0119K06
Date, 2/21/2014 12:53:50 PM
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
6.700000, 2.91680203190481E-06, 6600000, 64, SpedUp, "47be4336 4000 40b56400"
6.800000, 2.93362541015085E-06, 6700000, 64, SpedUp, "4ddf4436 4000 e03b6600"
6.900000, 3.06352080770012E-06, 6800000, 64, SpedUp, "e3964d36 4000 80c26700"
7.000000, 5.17557919010869E-06, 6900000, 64, SpedUp, "e3a9ad36 4000 20496900"
7.100000, 5.23279231856577E-06, 7000000, 64, SpedUp, "5895af36 4000 c0cf6a00"
7.200000, 5.8957198234566E-06, 7100000, 64, SpedUp, "d9d3c536 4000 60566c00"
7.300000, 4.35212632510229E-06, 7200000, 64, SpedUp, "7b089236 4000 00dd6d00"
7.400000, 5.58383044335642E-06, 7300000, 64, SpedUp, "bd5cbb36 4000 a0636f00"
7.500000, 6.68078018861706E-06, 7400000, 64, SpedUp, "772be036 4000 40ea7000"
7.600000, 6.90962906446657E-06, 7500000, 64, SpedUp, "43d9e736 4000 e0707200"
7.700000, 6.91261539031984E-06, 7600000, 64, SpedUp, "eaf2e736 4000 80f77300"
7.800000, 6.9176703618723E-06, 7700000, 64, SpedUp, "561ee836 4000 207e7500"
7.900000, 7.00256487107254E-06, 7800000, 64, SpedUp, "93f7ea36 4000 c0047700"
8.000000, 7.17410648576333E-06, 7900000, 64, SpedUp, "1bb9f036 4000 608b7800"
8.100000, 7.17681086825905E-06, 8000000, 64, SpedUp, "56d0f036 4000 00127a00"
8.200000, 7.1818130891188E-06, 8100000, 64, SpedUp, "4efbf036 4000 a0987b00"
8.300000, 7.18464525562013E-06, 8200000, 64, SpedUp, "a213f136 4000 401f7d00"
8.400000, 7.18511910235975E-06, 8300000, 64, SpedUp, "b417f136 4000 e0a57e00"
8.500000, 7.18354658602038E-06, 8400000, 64, SpedUp, "320af136 4000 802c8000"
8.600000, 7.18064711691113E-06, 8500000, 64, SpedUp, "4af1f036 4000 20b38100"
8.700000, 7.17867260391358E-06, 8600000, 64, SpedUp, "54e0f036 4000 c0398300"
8.800000, 7.17555849405471E-06, 8700000, 64, SpedUp, "94c5f036 4000 60c08400"
8.900000, 7.17356851964723E-06, 8800000, 64, SpedUp, "7cb4f036 4000 00478600"
9.000000, 7.17086459189886E-06, 8900000, 64, SpedUp, "429df036 4000 a0cd8700"
9.100000, 7.16839349479415E-06, 9000000, 64, SpedUp, "0888f036 4000 40548900"
9.200000, 7.16875456419075E-06, 9100000, 64, SpedUp, "228bf036 4000 e0da8a00"
9.300000, 7.17004832040402E-06, 9200000, 64, SpedUp, "3f96f036 4000 80618c00"
9.400000, 7.1686531555315E-06, 9300000, 64, SpedUp, "438af036 4000 20e88d00"
9.500000, 7.17165812602616E-06, 9400000, 64, SpedUp, "13a4f036 4000 c06e8f00"
9.600000, 7.17210195944062E-06, 9500000, 64, SpedUp, "e3a7f036 4000 60f59000"
9.700000, 7.16975864634151E-06, 9600000, 64, SpedUp, "c293f036 4000 007c9200"
9.800000, 7.16652812116081E-06, 9700000, 64, SpedUp, "0278f036 4000 a0029400"
9.900000, 7.16541489964584E-06, 9800000, 64, SpedUp, "726ef036 4000 40899500"
10.000000, 7.1608301368542E-06, 9900000, 64, SpedUp, "1047f036 4000 e00f9700"
10.100000, 7.15828400643659E-06, 10000000, 64, SpedUp, "3131f036 4000 80969800"
10.200000, 7.15680198482005E-06, 10100000, 64, SpedUp, "7624f036 4000 201d9a00"
10.300000, 7.15724945621332E-06, 10200000, 64, SpedUp, "4e28f036 4000 c0a39b00"
10.400000, 7.15782516635954E-06, 10300000, 64, SpedUp, "402df036 4000 602a9d00"
10.500000, 7.15794158168137E-06, 10400000, 64, SpedUp, "402ef036 4000 00b19e00"
10.600000, 7.1598560680286E-06, 10500000, 64, SpedUp, "b23ef036 4000 a037a000"
10.700000, 7.16471504347282E-06, 10600000, 64, SpedUp, "6f68f036 4000 40bea100"
10.800000, 7.17250077286735E-06, 10700000, 64, SpedUp, "50abf036 4000 e044a300"
10.900000, 7.18145929567982E-06, 10800000, 64, SpedUp, "44f8f036 4000 80cba400"
11.000000, 7.18802630217397E-06, 10900000, 64, SpedUp, "ad30f136 4000 2052a600"
11.100000, 7.18984665581957E-06, 11000000, 64, SpedUp, "5040f136 4000 c0d8a700"
11.200000, 7.19921536074253E-06, 11100000, 64, SpedUp, "ca90f136 4000 605fa900"
11.300000, 7.23514494893607E-06, 11200000, 64, SpedUp, "6cc5f236 4000 00e6aa00"
11.400000, 7.2058951445797E-06, 11300000, 64, SpedUp, "2bcaf136 4000 a06cac00"
11.500000, 7.28275972505799E-06, 11400000, 64, SpedUp, "6e5ef436 4000 40f3ad00"
11.600000, 7.2929260568344E-06, 11500000, 64, SpedUp, "c2b5f436 4000 e079af00"
11.700000, 7.37094160285778E-06, 11600000, 64, SpedUp, "e853f736 4000 8000b100"
11.800000, 7.54745542508317E-06, 11700000, 64, SpedUp, "2640fd36 4000 2087b200"
11.900000, 7.59924114390742E-06, 11800000, 64, SpedUp, "fcfcfe36 4000 c00db400"
12.000000, 7.59542399464408E-06, 11900000, 64, SpedUp, "32dcfe36 4000 6094b500"
12.100000, 7.62169111112598E-06, 12000000, 64, SpedUp, "d4bdff36 4000 001bb700"
12.200000, 7.6642245403491E-06, 12100000, 64, SpedUp, "98950037 4000 a0a1b800"
12.300000, 7.66685025155311E-06, 12200000, 64, SpedUp, "dfa00037 4000 4028ba00"
12.400000, 7.68747941037873E-06, 12300000, 64, SpedUp, "79f90037 4000 e0aebb00"
12.500000, 7.73796000430593E-06, 12400000, 64, SpedUp, "49d20137 4000 8035bd00"
12.600000, 7.70704082242446E-06, 12500000, 64, SpedUp, "7d4d0137 4000 20bcbe00"
12.700000, 7.73503779782914E-06, 12600000, 64, SpedUp, "bcc50137 4000 c042c000"
12.800000, 7.79713263909798E-06, 12700000, 64, SpedUp, "6ed00237 4000 60c9c100"
12.900000, 7.83586801844649E-06, 12800000, 64, SpedUp, "cc760337 4000 0050c300"
13.000000, 7.87649878475349E-06, 12900000, 64, SpedUp, "4e250437 4000 a0d6c400"
13.100000, 7.89915884524817E-06, 13000000, 64, SpedUp, "a1860437 4000 405dc600"
13.200000, 7.9554511103197E-06, 13100000, 64, SpedUp, "67780537 4000 e0e3c700"
13.300000, 7.99086865299614E-06, 13200000, 64, SpedUp, "85100637 4000 806ac900"
13.400000, 8.03538841864793E-06, 13300000, 64, SpedUp, "bbcf0637 4000 20f1ca00"
13.500000, 8.04681076260749E-06, 13400000, 64, SpedUp, "ca000737 4000 c077cc00"
13.600000, 8.04822866484756E-06, 13500000, 64, SpedUp, "e1060737 4000 60fecd00"
13.700000, 8.03910461399937E-06, 13600000, 64, SpedUp, "b1df0637 4000 0085cf00"
13.800000, 8.03251077741152E-06, 13700000, 64, SpedUp, "5fc30637 4000 a00bd100"
13.900000, 8.0341433204012E-06, 13800000, 64, SpedUp, "62ca0637 4000 4092d200"
14.000000, 8.04973296908429E-06, 13900000, 64, SpedUp, "570d0737 4000 e018d400"
14.100000, 8.04622777650366E-06, 14000000, 64, SpedUp, "49fe0637 4000 809fd500"
14.200000, 8.00858288130257E-06, 14100000, 64, SpedUp, "9a5c0637 4000 2026d700"
14.300000, 8.01578153186711E-06, 14200000, 64, SpedUp, "857b0637 4000 c0acd800"
