Meter S/N:"REV_FA_2"
SensorThermoSingleHorst1D V2
Date3/23/2015 5:25:51 PM
UnitsW
TimestampMeasurementSequenceFlagsFlags (interpreted)Period
4.0000000, 5.17714E+006, 0, 272, OverRange| MissingSamples, 0
