Meter S/N:, "REV_CA-2"
Sensor, THERMO,QUAD, 1A361
Date, 10/17/2014 3:43:55 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period
0, 0.0874326527118683, 1.04888772964478, -0.249115958809853, 0, 0, 0, 0
0.1, 0.0876961648464203, 0, 0, 100000, 0, 0, 0
0.2, 0.0879142135381699, 0, 0, 200000, 0, 0, 0
0.3, 0.087593637406826, 0, 0, 300000, 0, 0, 0
0.4, 0.0875065624713898, 0, 0, 399990, 0, 0, 0
0.5, 0.0879892781376839, 1.08887207508087, -0.263061702251434, 499990, 0, 0, 0
0.6, 0.0882911086082459, 0, 0, 599990, 0, 0, 0
0.7, 0.0883871838450432, 0, 0, 699990, 0, 0, 0
0.8, 0.0882901027798653, 0, 0, 799990, 0, 0, 0
0.9, 0.0878383666276932, 0, 0, 899990, 0, 0, 0
1, 0.0880821049213409, 1.10809206962585, -0.214517921209335, 999990, 0, 0, 0
1.1, 0.0880904644727707, 0, 0, 1100000, 0, 0, 0
1.2, 0.0877941846847534, 0, 0, 1199990, 0, 0, 0
1.3, 0.0878029838204384, 0, 0, 1299990, 0, 0, 0
1.4, 0.0883883386850357, 0, 0, 1399990, 0, 0, 0
1.5, 0.0882478281855583, 1.05668127536774, -0.232575997710228, 1499990, 0, 0, 0
1.6, 0.0877364501357079, 0, 0, 1599990, 0, 0, 0
1.7, 0.0875914394855499, 0, 0, 1699990, 0, 0, 0
1.8, 0.0879971832036972, 0, 0, 1799990, 0, 0, 0
1.9, 0.0881713330745697, 0, 0, 1899990, 0, 0, 0
2, 0.0872832685709, 1.09814190864563, -0.264452755451202, 1999990, 0, 0, 0
2.1, 0.0873421505093575, 0, 0, 2099990, 0, 0, 0
2.2, 0.0880232974886894, 0, 0, 2199990, 0, 0, 0
2.3, 0.087674506008625, 0, 0, 2299990, 0, 0, 0
2.4, 0.0880410596728325, 0, 0, 2399990, 0, 0, 0
2.5, 0.08792544901371, 0.949946880340576, -0.204399794340134, 2499990, 0, 0, 0
2.6, 0.0875759422779083, 0, 0, 2599990, 0, 0, 0
2.7, 0.0877192318439484, 0, 0, 2699990, 0, 0, 0
2.8, 0.0883450135588646, 0, 0, 2799990, 0, 0, 0
2.9, 0.0878579169511795, 0, 0, 2899990, 0, 0, 0
3, 0.0876934453845024, 1.0297394990921, -0.179004237055779, 2999990, 0, 0, 0
3.1, 0.0882450565695763, 0, 0, 3099990, 0, 0, 0
3.2, 0.0880878418684006, 0, 0, 3199990, 0, 0, 0
3.3, 0.0880239009857178, 0, 0, 3299990, 0, 0, 0
3.4, 0.0879660323262215, 0, 0, 3399990, 0, 0, 0
3.5, 0.087878629565239, 1.03289794921875, -0.24164591729641, 3499990, 0, 0, 0
3.6, 0.0879586189985275, 0, 0, 3599990, 0, 0, 0
3.7, 0.0881797224283218, 0, 0, 3699990, 0, 0, 0
3.8, 0.0881122574210167, 0, 0, 3799990, 0, 0, 0
3.9, 0.0883520022034645, 0, 0, 3899990, 0, 0, 0
4, 0.0881715193390846, 1.15006339550018, -0.137004733085632, 3999990, 0, 0, 0
4.1, 0.0876619890332222, 0, 0, 4099990, 0, 0, 0
4.2, 0.0875997319817543, 0, 0, 4199990, 0, 0, 0
4.3, 0.0879610925912857, 0, 0, 4299990, 0, 0, 0
4.4, 0.0886427387595177, 0, 0, 4399990, 0, 0, 0
4.5, 0.0884900689125061, 1.19704210758209, -0.248967900872231, 4499990, 0, 0, 0
4.6, 0.0883729234337807, 0, 0, 4599990, 0, 0, 0
4.7, 0.0879425778985024, 0, 0, 4699990, 0, 0, 0
4.8, 0.0873851925134659, 0, 0, 4799990, 0, 0, 0
4.9, 0.0881469920277596, 0, 0, 4899990, 0, 0, 0
5, 0.0880022943019867, 1.16257894039154, -0.0852432027459145, 4999990, 0, 0, 0
5.1, 0.0880005657672882, 0, 0, 5099990, 0, 0, 0
5.2, 0.0878304466605186, 0, 0, 5199990, 0, 0, 0
5.3, 0.0881718769669533, 0, 0, 5299990, 0, 0, 0
5.4, 0.0878134220838547, 0, 0, 5399990, 0, 0, 0
5.5, 0.0883690342307091, 1.25359749794006, -0.16637322306633, 5499990, 0, 0, 0
5.6, 0.088432639837265, 1.83171725273132, -0.22619391977787, 5599990, 0, 0, 0
5.7, 0.0879530310630798, 0, 0, 5699990, 0, 0, 0
5.8, 0.0879987329244614, 0, 0, 5799990, 0, 0, 0
5.9, 0.0880310609936714, 0, 0, 5899990, 0, 0, 0
6, 0.0878084003925323, 0, 0, 5999990, 0, 0, 0
6.1, 0.0878547430038452, 1.18717849254608, -0.159376129508018, 6099990, 0, 0, 0
6.2, 0.0882313475012779, 0, 0, 6199990, 0, 0, 0
6.3, 0.0881975963711739, 0, 0, 6299990, 0, 0, 0
6.4, 0.0874338522553444, 0, 0, 6399990, 0, 0, 0
6.5, 0.0876383855938911, 0, 0, 6499990, 0, 0, 0
6.6, 0.0881149247288704, 1.27273738384247, -0.153150469064713, 6599990, 0, 0, 0
6.7, 0.0879964977502823, 0, 0, 6699990, 0, 0, 0
6.8, 0.0875578597187996, 0, 0, 6799990, 0, 0, 0
6.9, 0.0882014408707619, 0, 0, 6899990, 0, 0, 0
7, 0.0880649611353874, 0, 0, 6999990, 0, 0, 0
7.1, 0.0882405042648315, 1.24119222164154, -0.209711268544197, 7099990, 0, 0, 0
7.2, 0.0877560153603554, 5.45500564575195, -2.29204845428467, 7199990, 0, 0, 0
7.3, 0.087801456451416, 0, 0, 7299990, 0, 0, 0
7.4, 0.0881476700305939, 0, 0, 7399990, 0, 0, 0
7.5, 0.0883754566311836, 0, 0, 7499990, 0, 0, 0
7.6, 0.0889268815517426, 1.69419276714325, -0.451383709907532, 7599990, 0, 0, 0
7.7, 0.0885843336582184, 5.4966402053833, -2.35464358329773, 7699990, 0, 0, 0
7.8, 0.0885327383875847, 0, 0, 7799990, 0, 0, 0
7.9, 0.0890229642391205, 0, 0, 7899990, 0, 0, 0
8, 0.0887880399823189, 0, 0, 7999990, 0, 0, 0
8.1, 0.0891620069742203, 2.32964015007019, -0.759616434574127, 8099990, 0, 0, 0
8.2, 0.0891526415944099, 5.53526210784912, -2.27261328697205, 8199990, 0, 0, 0
8.3, 0.0899824574589729, 0, 0, 8299990, 0, 0, 0
8.4, 0.0890642702579498, 0, 0, 8399990, 0, 0, 0
8.5, 0.0890783295035362, 0, 0, 8499990, 0, 0, 0
8.6, 0.089423768222332, 2.68369555473328, -0.82897275686264, 8599990, 0, 0, 0
8.7, 0.0886895954608917, 5.35910272598267, -2.29298233985901, 8699990, 0, 0, 0
8.8, 0.0885925814509392, 0, 0, 8799990, 0, 0, 0
8.9, 0.0878872349858284, 0, 0, 8899990, 0, 0, 0
9, 0.087523378431797, 0, 0, 8999990, 0, 0, 0
9.1, 0.0877412632107735, 1.90707767009735, -0.614380300045013, 9099990, 0, 0, 0
9.2, 0.0870799273252487, 0, 0, 9199990, 0, 0, 0
