Meter S/N: Not_Serialized,
Sensor S/N: 0585A00
SUN JUN  9 17:03:14 2013,
Measurement,PulsePeriod(usec)
-6.1089229E-03,         0
-5.0863647E-03,         0
-3.9074696E-03,         0
-4.7437502E-03,         0
-4.7655194E-03,         0
-5.7048439E-03,         0
-6.2562460E-03,         0
-6.1312094E-03,         0
-5.1949578E-03,         0
-4.2965082E-03,         0
-5.8696773E-03,         0
-5.7111182E-03,         0
-5.2551320E-03,         0
-4.1975584E-03,         0
-4.5630629E-03,         0
-4.5888168E-03,         0
-4.5230696E-03,         0
-6.1717643E-03,         0
-5.2991295E-03,         0
-5.8623897E-03,         0
-6.7081186E-03,         0
-5.1532085E-03,         0
-5.0653499E-03,         0
-5.6098183E-03,         0
-5.2163079E-03,         0
-3.2676298E-03,         0
-4.9647316E-03,         0
-4.4680531E-03,         0
-6.0747862E-03,         0
-5.8521782E-03,         0
-4.9861302E-03,         0
-4.9374062E-03,         0
-3.7609150E-03,         0
-5.6140847E-03,         0
-5.5155247E-03,         0
-5.8257855E-03,         0
-5.8537675E-03,         0
-6.1082761E-03,         0
-5.4571847E-03,         0
-4.3424633E-03,         0
-5.9985113E-03,         0
-4.2687533E-03,         0
-5.7816617E-03,         0
-6.2453561E-03,         0
-5.2174800E-03,         0
-6.1014006E-03,         0
-5.7758405E-03,         0
-5.5018608E-03,         0
-5.8349762E-03,         0
-4.3627261E-03,         0
-4.9259928E-03,         0
-3.9572208E-03,         0
-4.5934450E-03,         0
-6.7409980E-03,         0
-5.3083706E-03,         0
-5.0032078E-03,         0
-3.8952034E-03,         0
-4.7065401E-03,         0
-3.9833193E-03,         0
-3.9675930E-03,         0
-4.9903891E-03,         0
-6.3930247E-03,         0
-4.2117303E-03,         0
-5.7630967E-03,         0
-5.7106684E-03,         0
-7.5163059E-03,         0
-7.3866784E-03,         0
-7.2518983E-03,         0
-6.8588220E-03,         0
+1.2090633E-02,         0
+1.6748425E-02,         0
+2.3339134E-02,         0
+5.2222475E-02,         0
+6.6018432E-02,         0
+9.3488798E-02,         0
+9.8089360E-02,         0
+9.2338212E-02,         0
+1.1416689E-01,         0
+1.0694692E-01,         0
+1.0300453E-01,         0
+1.0503379E-01,         0
+1.0593954E-01,         0
+1.0349859E-01,         0
+7.1687810E-02,         0
+4.2426445E-02,         0
+2.7049288E-02,         0
+1.8220237E-02,         0
+2.8241452E-02,         0
+2.2185931E-02,         0
+2.4576785E-02,         0
+3.9994366E-02,         0
+4.7534324E-02,         0
+4.5269310E-02,         0
+5.0537992E-02,         0
+4.8083842E-02,         0
+4.3534376E-02,         0
+3.6341000E-02,         0
+2.8754286E-02,         0
+2.4170278E-02,         0
+1.9609109E-02,         0
+1.9966358E-02,         0
+2.1598134E-02,         0
+2.3651421E-02,         0
+2.8228972E-02,         0
+3.0971514E-02,         0
+3.0989684E-02,         0
+3.6158051E-02,         0
+5.0585389E-02,         0
+6.9145128E-02,         0
+8.5977450E-02,         0
+1.0028327E-01,         0
+1.0847540E-01,         0
+1.1706246E-01,         0
+1.2378309E-01,         0
+1.2819037E-01,         0
+1.3104606E-01,         0
+1.2954254E-01,         0
+1.2411699E-01,         0
+1.0875365E-01,         0
+1.0309684E-01,         0
+1.0668771E-01,         0
+1.0437708E-01,         0
+9.2262760E-02,         0
+7.7903010E-02,         0
+6.4238757E-02,         0
+5.6488153E-02,         0
+5.0837409E-02,         0
+4.3764751E-02,         0
+4.0509619E-02,         0
+3.6762286E-02,         0
+3.5271246E-02,         0
+3.3839017E-02,         0
+3.4254074E-02,         0
+3.2773629E-02,         0
+3.2151341E-02,         0
+3.0962950E-02,         0
+3.0550219E-02,         0
+2.9127894E-02,         0
+2.6225474E-02,         0
+2.5410252E-02,         0
+2.4514215E-02,         0
+2.2779794E-02,         0
+1.7369736E-02,         0
+1.3975275E-02,         0
+1.9245982E-02,         0
+3.0963559E-02,         0
+4.7873147E-02,         0
+6.4670287E-02,         0
+7.7755183E-02,         0
+8.5620135E-02,         0
+9.4254322E-02,         0
+9.5769159E-02,         0
+9.6053906E-02,         0
+9.7828530E-02,         0
+1.0047305E-01,         0
+1.0310850E-01,         0
+1.0503756E-01,         0
+1.0744565E-01,         0
+1.1016038E-01,         0
+1.1069243E-01,         0
+1.1003101E-01,         0
+1.0988321E-01,         0
+1.0862784E-01,         0
+1.0642818E-01,         0
+1.0697024E-01,         0
+1.1078626E-01,         0
+1.1586311E-01,         0
+1.1266394E-01,         0
+1.0821290E-01,         0
+1.0164967E-01,         0
+1.0991174E-01,         0
+1.2619348E-01,         0
+1.2971912E-01,         0
+1.2480995E-01,         0
+1.1476520E-01,         0
+1.0561743E-01,         0
+9.3158379E-02,         0
+6.8928748E-02,         0
+4.9991798E-02,         0
+3.5620708E-02,         0
+2.3992322E-02,         0
+1.7729716E-02,         0
+1.2105152E-02,         0
+6.6443849E-03,         0
+5.4194992E-03,         0
+6.9708168E-04,         0
+1.6798955E-04,         0
+1.1357974E-03,         0
+5.1781419E-04,         0
+2.2270370E-02,         0
+4.3369547E-02,         0
+4.7662418E-02,         0
+6.0686555E-02,         0
+7.2251745E-02,         0
+8.5551068E-02,         0
+9.3104057E-02,         0
+1.3196553E-01,         0
+1.4150459E-01,         0
+1.1160178E-01,         0
+8.8975564E-02,         0
+1.2158728E-01,         0
+1.1620044E-01,         0
+9.4418965E-02,         0
+8.2752347E-02,         0
+8.5904673E-02,         0
+9.0191476E-02,         0
+9.0174824E-02,         0
+9.4641082E-02,         0
+1.0023236E-01,         0
+1.0249005E-01,         0
+1.0880677E-01,         0
+1.1060300E-01,         0
+1.0864412E-01,         0
+1.0347838E-01,         0
+1.0111269E-01,         0
+9.7304828E-02,         0
+1.0035908E-01,         0
+1.0808212E-01,         0
+1.1749770E-01,         0
+1.1562174E-01,         0
+1.1083887E-01,         0
+1.0381141E-01,         0
