
0	Header	[1]	00  .
10688	Data	[38]	35 2e 31 32 32 30 30 65 2d 30 32 2c 2d 35 2e 35 35 65 2b 30 30 2c 32 2e 30 33 65 2b 30 30 2c 30 2c 31 30 36 30 30  5.12200e-02,-5.55e+00,2.03e+00,0,10600
10789	Data	[38]	35 2e 32 35 33 30 38 65 2d 30 32 2c 2d 34 2e 35 39 65 2b 30 30 2c 32 2e 37 33 65 2b 30 30 2c 30 2c 31 30 37 30 30  5.25308e-02,-4.59e+00,2.73e+00,0,10700
10889	Data	[38]	35 2e 32 31 30 31 37 65 2d 30 32 2c 2d 34 2e 30 30 65 2b 30 30 2c 33 2e 35 32 65 2b 30 30 2c 30 2c 31 30 38 30 30  5.21017e-02,-4.00e+00,3.52e+00,0,10800
10989	Data	[38]	35 2e 33 37 33 35 38 65 2d 30 32 2c 2d 33 2e 31 36 65 2b 30 30 2c 34 2e 31 36 65 2b 30 30 2c 30 2c 31 30 39 30 30  5.37358e-02,-3.16e+00,4.16e+00,0,10900
11089	Data	[38]	35 2e 35 31 35 34 34 65 2d 30 32 2c 2d 32 2e 33 38 65 2b 30 30 2c 34 2e 36 38 65 2b 30 30 2c 30 2c 31 31 30 30 30  5.51544e-02,-2.38e+00,4.68e+00,0,11000
11188	Data	[38]	35 2e 35 35 33 36 33 65 2d 30 32 2c 2d 31 2e 32 39 65 2b 30 30 2c 34 2e 36 35 65 2b 30 30 2c 30 2c 31 31 31 30 30  5.55363e-02,-1.29e+00,4.65e+00,0,11100
11289	Data	[37]	35 2e 37 31 35 39 39 65 2d 30 32 2c 31 2e 34 38 65 2d 30 31 2c 34 2e 31 31 65 2b 30 30 2c 30 2c 31 31 32 30 30  5.71599e-02,1.48e-01,4.11e+00,0,11200
11389	Data	[37]	35 2e 36 38 38 31 32 65 2d 30 32 2c 31 2e 33 39 65 2b 30 30 2c 33 2e 35 32 65 2b 30 30 2c 30 2c 31 31 33 30 30  5.68812e-02,1.39e+00,3.52e+00,0,11300
11489	Data	[37]	35 2e 37 32 30 34 35 65 2d 30 32 2c 32 2e 35 39 65 2b 30 30 2c 32 2e 38 39 65 2b 30 30 2c 30 2c 31 31 34 30 30  5.72045e-02,2.59e+00,2.89e+00,0,11400
11589	Data	[37]	35 2e 36 38 34 34 36 65 2d 30 32 2c 33 2e 33 35 65 2b 30 30 2c 32 2e 35 30 65 2b 30 30 2c 30 2c 31 31 35 30 30  5.68446e-02,3.35e+00,2.50e+00,0,11500
11689	Data	[37]	35 2e 37 35 34 32 38 65 2d 30 32 2c 33 2e 36 32 65 2b 30 30 2c 31 2e 38 35 65 2b 30 30 2c 30 2c 31 31 36 30 30  5.75428e-02,3.62e+00,1.85e+00,0,11600
11789	Data	[37]	35 2e 36 39 35 38 31 65 2d 30 32 2c 33 2e 39 35 65 2b 30 30 2c 31 2e 35 31 65 2b 30 30 2c 30 2c 31 31 37 30 30  5.69581e-02,3.95e+00,1.51e+00,0,11700
11888	Data	[37]	35 2e 35 35 34 39 33 65 2d 30 32 2c 34 2e 32 31 65 2b 30 30 2c 31 2e 31 39 65 2b 30 30 2c 30 2c 31 31 38 30 30  5.55493e-02,4.21e+00,1.19e+00,0,11800
11988	Data	[38]	35 2e 39 31 36 32 30 65 2d 30 32 2c 34 2e 30 33 65 2b 30 30 2c 2d 37 2e 36 32 65 2d 30 31 2c 30 2c 31 31 39 30 30  5.91620e-02,4.03e+00,-7.62e-01,0,11900
12089	Data	[38]	37 2e 32 37 34 31 32 65 2d 30 32 2c 32 2e 37 39 65 2b 30 30 2c 2d 34 2e 34 36 65 2b 30 30 2c 30 2c 31 32 30 30 30  7.27412e-02,2.79e+00,-4.46e+00,0,12000
12189	Data	[38]	37 2e 35 37 37 33 36 65 2d 30 32 2c 32 2e 33 37 65 2b 30 30 2c 2d 36 2e 31 39 65 2b 30 30 2c 30 2c 31 32 31 30 30  7.57736e-02,2.37e+00,-6.19e+00,0,12100
12288	Data	[38]	37 2e 30 31 31 31 32 65 2d 30 32 2c 32 2e 31 32 65 2b 30 30 2c 2d 36 2e 31 39 65 2b 30 30 2c 30 2c 31 32 32 30 30  7.01112e-02,2.12e+00,-6.19e+00,0,12200
12388	Data	[38]	36 2e 31 32 39 31 34 65 2d 30 32 2c 31 2e 37 33 65 2b 30 30 2c 2d 35 2e 37 31 65 2b 30 30 2c 30 2c 31 32 33 30 30  6.12914e-02,1.73e+00,-5.71e+00,0,12300
12488	Data	[38]	35 2e 33 39 31 37 38 65 2d 30 32 2c 31 2e 35 31 65 2b 30 30 2c 2d 35 2e 33 38 65 2b 30 30 2c 30 2c 31 32 34 30 30  5.39178e-02,1.51e+00,-5.38e+00,0,12400
12588	Data	[38]	34 2e 37 36 31 30 36 65 2d 30 32 2c 31 2e 33 34 65 2b 30 30 2c 2d 35 2e 30 38 65 2b 30 30 2c 30 2c 31 32 35 30 30  4.76106e-02,1.34e+00,-5.08e+00,0,12500
12688	Data	[38]	34 2e 32 37 38 37 35 65 2d 30 32 2c 31 2e 30 34 65 2b 30 30 2c 2d 34 2e 38 37 65 2b 30 30 2c 30 2c 31 32 36 30 30  4.27875e-02,1.04e+00,-4.87e+00,0,12600
12788	Data	[38]	33 2e 37 31 30 35 39 65 2d 30 32 2c 37 2e 32 38 65 2d 30 31 2c 2d 34 2e 33 38 65 2b 30 30 2c 30 2c 31 32 37 30 30  3.71059e-02,7.28e-01,-4.38e+00,0,12700
12889	Data	[38]	33 2e 32 35 36 35 32 65 2d 30 32 2c 36 2e 32 30 65 2d 30 31 2c 2d 34 2e 32 31 65 2b 30 30 2c 30 2c 31 32 38 30 30  3.25652e-02,6.20e-01,-4.21e+00,0,12800
12988	Data	[38]	32 2e 39 32 36 34 32 65 2d 30 32 2c 32 2e 30 37 65 2d 30 31 2c 2d 33 2e 37 30 65 2b 30 30 2c 30 2c 31 32 39 30 30  2.92642e-02,2.07e-01,-3.70e+00,0,12900
13089	Data	[38]	32 2e 35 38 39 36 36 65 2d 30 32 2c 31 2e 35 34 65 2d 30 31 2c 2d 33 2e 38 37 65 2b 30 30 2c 30 2c 31 33 30 30 30  2.58966e-02,1.54e-01,-3.87e+00,0,13000
13189	Data	[39]	32 2e 33 36 30 35 36 65 2d 30 32 2c 2d 31 2e 39 38 65 2d 30 31 2c 2d 34 2e 30 38 65 2b 30 30 2c 30 2c 31 33 31 30 30  2.36056e-02,-1.98e-01,-4.08e+00,0,13100
13288	Data	[39]	32 2e 31 37 37 35 31 65 2d 30 32 2c 2d 35 2e 34 30 65 2d 30 31 2c 2d 33 2e 38 35 65 2b 30 30 2c 30 2c 31 33 32 30 30  2.17751e-02,-5.40e-01,-3.85e+00,0,13200
13388	Data	[39]	31 2e 39 30 38 37 32 65 2d 30 32 2c 2d 31 2e 30 32 65 2b 30 30 2c 2d 34 2e 34 30 65 2b 30 30 2c 30 2c 31 33 33 30 30  1.90872e-02,-1.02e+00,-4.40e+00,0,13300
13488	Data	[39]	31 2e 37 31 37 36 34 65 2d 30 32 2c 2d 38 2e 31 39 65 2d 30 31 2c 2d 34 2e 35 34 65 2b 30 30 2c 30 2c 31 33 34 30 30  1.71764e-02,-8.19e-01,-4.54e+00,0,13400
13588	Data	[39]	31 2e 36 31 31 38 32 65 2d 30 32 2c 2d 31 2e 30 34 65 2b 30 30 2c 2d 34 2e 38 38 65 2b 30 30 2c 30 2c 31 33 35 30 30  1.61182e-02,-1.04e+00,-4.88e+00,0,13500
13688	Data	[39]	31 2e 33 34 34 37 38 65 2d 30 32 2c 2d 32 2e 30 38 65 2b 30 30 2c 2d 34 2e 38 32 65 2b 30 30 2c 30 2c 31 33 36 30 30  1.34478e-02,-2.08e+00,-4.82e+00,0,13600
13788	Data	[39]	31 2e 33 30 31 32 37 65 2d 30 32 2c 2d 32 2e 30 31 65 2b 30 30 2c 2d 34 2e 39 36 65 2b 30 30 2c 30 2c 31 33 37 30 30  1.30127e-02,-2.01e+00,-4.96e+00,0,13700
13888	Data	[39]	31 2e 31 33 35 34 36 65 2d 30 32 2c 2d 32 2e 31 32 65 2b 30 30 2c 2d 34 2e 39 37 65 2b 30 30 2c 30 2c 31 33 38 30 30  1.13546e-02,-2.12e+00,-4.97e+00,0,13800
13996	Data	[39]	31 2e 30 37 30 30 30 65 2d 30 32 2c 2d 32 2e 38 30 65 2b 30 30 2c 2d 37 2e 30 30 65 2b 30 30 2c 30 2c 31 33 39 30 30  1.07000e-02,-2.80e+00,-7.00e+00,0,13900
14088	Data	[39]	31 2e 31 32 34 38 39 65 2d 30 32 2c 2d 32 2e 33 35 65 2b 30 30 2c 2d 37 2e 33 30 65 2b 30 30 2c 30 2c 31 34 30 30 30  1.12489e-02,-2.35e+00,-7.30e+00,0,14000
14188	Data	[39]	31 2e 30 31 30 38 33 65 2d 30 32 2c 2d 33 2e 30 31 65 2b 30 30 2c 2d 39 2e 35 33 65 2b 30 30 2c 30 2c 31 34 31 30 30  1.01083e-02,-3.01e+00,-9.53e+00,0,14100
14288	Data	[37]	38 2e 37 35 35 32 38 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 34 32 30 30  8.75528e-03,0.00e+00,0.00e+00,0,14200
14388	Data	[37]	37 2e 39 37 31 30 31 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 34 33 30 30  7.97101e-03,0.00e+00,0.00e+00,0,14300
14488	Data	[37]	37 2e 32 34 33 32 35 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 34 34 30 30  7.24325e-03,0.00e+00,0.00e+00,0,14400
14588	Data	[37]	36 2e 32 37 35 38 39 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 34 35 30 30  6.27589e-03,0.00e+00,0.00e+00,0,14500
14692	Data	[37]	35 2e 35 38 37 39 32 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 34 36 30 30  5.58792e-03,0.00e+00,0.00e+00,0,14600
14791	Data	[37]	35 2e 30 34 36 37 31 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 34 37 30 30  5.04671e-03,0.00e+00,0.00e+00,0,14700
14888	Data	[37]	34 2e 38 39 33 38 35 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 34 38 30 30  4.89385e-03,0.00e+00,0.00e+00,0,14800
14988	Data	[37]	35 2e 33 36 30 31 38 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 34 39 30 30  5.36018e-03,0.00e+00,0.00e+00,0,14900
15088	Data	[37]	33 2e 37 30 39 36 38 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 35 30 30 30  3.70968e-03,0.00e+00,0.00e+00,0,15000
15188	Data	[37]	32 2e 39 30 34 38 30 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 35 31 30 30  2.90480e-03,0.00e+00,0.00e+00,0,15100
15288	Data	[37]	33 2e 31 32 36 34 30 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 31 35 32 30 30  3.12640e-03,0.00e+00,0.00e+00,0,15200
15388	Data	[39]	31 2e 30 36 30 33 36 65 2d 30 32 2c 2d 32 2e 33 39 65 2b 30 30 2c 2d 31 2e 35 33 65 2b 30 31 2c 30 2c 31 35 33 30 30  1.06036e-02,-2.39e+00,-1.53e+01,0,15300
15488	Data	[39]	31 2e 36 39 36 37 38 65 2d 30 32 2c 2d 35 2e 39 37 65 2d 30 31 2c 2d 31 2e 34 39 65 2b 30 31 2c 30 2c 31 35 34 30 30  1.69678e-02,-5.97e-01,-1.49e+01,0,15400
15588	Data	[38]	32 2e 31 37 38 31 32 65 2d 30 32 2c 37 2e 38 32 65 2d 30 32 2c 2d 31 2e 34 36 65 2b 30 31 2c 30 2c 31 35 35 30 30  2.17812e-02,7.82e-02,-1.46e+01,0,15500
15688	Data	[39]	32 2e 35 32 36 31 30 65 2d 30 32 2c 2d 31 2e 33 36 65 2d 30 31 2c 2d 31 2e 34 39 65 2b 30 31 2c 30 2c 31 35 36 30 30  2.52610e-02,-1.36e-01,-1.49e+01,0,15600
15788	Data	[39]	33 2e 32 38 31 36 37 65 2d 30 32 2c 2d 31 2e 32 31 65 2b 30 30 2c 2d 31 2e 33 31 65 2b 30 31 2c 30 2c 31 35 37 30 30  3.28167e-02,-1.21e+00,-1.31e+01,0,15700
15888	Data	[39]	33 2e 36 38 32 39 36 65 2d 30 32 2c 2d 32 2e 37 30 65 2b 30 30 2c 2d 31 2e 31 37 65 2b 30 31 2c 30 2c 31 35 38 30 30  3.68296e-02,-2.70e+00,-1.17e+01,0,15800
15988	Data	[39]	34 2e 31 30 32 38 36 65 2d 30 32 2c 2d 34 2e 32 34 65 2b 30 30 2c 2d 31 2e 30 30 65 2b 30 31 2c 30 2c 31 35 39 30 30  4.10286e-02,-4.24e+00,-1.00e+01,0,15900
16088	Data	[39]	34 2e 35 31 37 39 35 65 2d 30 32 2c 2d 35 2e 35 38 65 2b 30 30 2c 2d 38 2e 33 37 65 2b 30 30 2c 30 2c 31 36 30 30 30  4.51795e-02,-5.58e+00,-8.37e+00,0,16000
16188	Data	[39]	34 2e 37 32 39 37 37 65 2d 30 32 2c 2d 36 2e 32 34 65 2b 30 30 2c 2d 37 2e 38 31 65 2b 30 30 2c 30 2c 31 36 31 30 30  4.72977e-02,-6.24e+00,-7.81e+00,0,16100
16288	Data	[39]	34 2e 38 30 36 31 35 65 2d 30 32 2c 2d 37 2e 30 36 65 2b 30 30 2c 2d 36 2e 37 37 65 2b 30 30 2c 30 2c 31 36 32 30 30  4.80615e-02,-7.06e+00,-6.77e+00,0,16200
16388	Data	[39]	35 2e 31 30 30 32 36 65 2d 30 32 2c 2d 37 2e 34 36 65 2b 30 30 2c 2d 35 2e 36 33 65 2b 30 30 2c 30 2c 31 36 33 30 30  5.10026e-02,-7.46e+00,-5.63e+00,0,16300
16488	Data	[39]	35 2e 34 32 38 36 34 65 2d 30 32 2c 2d 38 2e 34 31 65 2b 30 30 2c 2d 34 2e 37 37 65 2b 30 30 2c 30 2c 31 36 34 30 30  5.42864e-02,-8.41e+00,-4.77e+00,0,16400
16588	Data	[39]	35 2e 36 36 36 37 31 65 2d 30 32 2c 2d 39 2e 31 36 65 2b 30 30 2c 2d 33 2e 37 33 65 2b 30 30 2c 30 2c 31 36 35 30 30  5.66671e-02,-9.16e+00,-3.73e+00,0,16500
16688	Data	[39]	36 2e 30 33 37 33 39 65 2d 30 32 2c 2d 39 2e 34 38 65 2b 30 30 2c 2d 33 2e 33 34 65 2b 30 30 2c 30 2c 31 36 36 30 30  6.03739e-02,-9.48e+00,-3.34e+00,0,16600
16788	Data	[39]	36 2e 34 39 37 30 35 65 2d 30 32 2c 2d 31 2e 30 31 65 2b 30 31 2c 2d 32 2e 38 39 65 2b 30 30 2c 30 2c 31 36 37 30 30  6.49705e-02,-1.01e+01,-2.89e+00,0,16700
16888	Data	[39]	36 2e 36 31 32 32 30 65 2d 30 32 2c 2d 31 2e 30 32 65 2b 30 31 2c 2d 32 2e 34 39 65 2b 30 30 2c 30 2c 31 36 38 30 30  6.61220e-02,-1.02e+01,-2.49e+00,0,16800
16988	Data	[39]	36 2e 34 37 33 39 36 65 2d 30 32 2c 2d 39 2e 38 33 65 2b 30 30 2c 2d 32 2e 34 39 65 2b 30 30 2c 30 2c 31 36 39 30 30  6.47396e-02,-9.83e+00,-2.49e+00,0,16900
17088	Data	[39]	36 2e 32 39 30 37 30 65 2d 30 32 2c 2d 39 2e 33 37 65 2b 30 30 2c 2d 32 2e 33 38 65 2b 30 30 2c 30 2c 31 37 30 30 30  6.29070e-02,-9.37e+00,-2.38e+00,0,17000
17188	Data	[39]	36 2e 33 30 32 35 38 65 2d 30 32 2c 2d 39 2e 33 39 65 2b 30 30 2c 2d 32 2e 32 38 65 2b 30 30 2c 30 2c 31 37 31 30 30  6.30258e-02,-9.39e+00,-2.28e+00,0,17100
17287	Data	[39]	36 2e 30 30 37 35 32 65 2d 30 32 2c 2d 38 2e 39 31 65 2b 30 30 2c 2d 31 2e 39 39 65 2b 30 30 2c 30 2c 31 37 32 30 30  6.00752e-02,-8.91e+00,-1.99e+00,0,17200
17387	Data	[39]	35 2e 36 31 31 31 35 65 2d 30 32 2c 2d 38 2e 32 37 65 2b 30 30 2c 2d 31 2e 38 33 65 2b 30 30 2c 30 2c 31 37 33 30 30  5.61115e-02,-8.27e+00,-1.83e+00,0,17300
17488	Data	[39]	35 2e 32 30 32 37 35 65 2d 30 32 2c 2d 37 2e 33 36 65 2b 30 30 2c 2d 31 2e 36 36 65 2b 30 30 2c 30 2c 31 37 34 30 30  5.20275e-02,-7.36e+00,-1.66e+00,0,17400
17588	Data	[39]	35 2e 31 36 34 35 34 65 2d 30 32 2c 2d 36 2e 35 35 65 2b 30 30 2c 2d 31 2e 39 38 65 2b 30 30 2c 30 2c 31 37 35 30 30  5.16454e-02,-6.55e+00,-1.98e+00,0,17500
17688	Data	[39]	35 2e 33 30 31 35 31 65 2d 30 32 2c 2d 35 2e 38 36 65 2b 30 30 2c 2d 32 2e 36 33 65 2b 30 30 2c 30 2c 31 37 36 30 30  5.30151e-02,-5.86e+00,-2.63e+00,0,17600
17788	Data	[39]	35 2e 35 33 33 31 36 65 2d 30 32 2c 2d 35 2e 31 32 65 2b 30 30 2c 2d 33 2e 32 36 65 2b 30 30 2c 30 2c 31 37 37 30 30  5.53316e-02,-5.12e+00,-3.26e+00,0,17700
17888	Data	[39]	35 2e 36 33 33 32 33 65 2d 30 32 2c 2d 34 2e 33 39 65 2b 30 30 2c 2d 34 2e 31 37 65 2b 30 30 2c 30 2c 31 37 38 30 30  5.63323e-02,-4.39e+00,-4.17e+00,0,17800
17988	Data	[39]	35 2e 39 37 38 33 33 65 2d 30 32 2c 2d 33 2e 36 36 65 2b 30 30 2c 2d 34 2e 37 31 65 2b 30 30 2c 30 2c 31 37 39 30 30  5.97833e-02,-3.66e+00,-4.71e+00,0,17900
18088	Data	[39]	36 2e 33 35 31 32 37 65 2d 30 32 2c 2d 33 2e 30 38 65 2b 30 30 2c 2d 35 2e 37 39 65 2b 30 30 2c 30 2c 31 38 30 30 30  6.35127e-02,-3.08e+00,-5.79e+00,0,18000
18188	Data	[39]	37 2e 32 31 31 34 33 65 2d 30 32 2c 2d 32 2e 33 34 65 2b 30 30 2c 2d 37 2e 32 33 65 2b 30 30 2c 30 2c 31 38 31 30 30  7.21143e-02,-2.34e+00,-7.23e+00,0,18100
18287	Data	[39]	37 2e 39 37 32 38 31 65 2d 30 32 2c 2d 31 2e 38 36 65 2b 30 30 2c 2d 38 2e 33 32 65 2b 30 30 2c 30 2c 31 38 32 30 30  7.97281e-02,-1.86e+00,-8.32e+00,0,18200
18387	Data	[39]	38 2e 30 38 34 38 31 65 2d 30 32 2c 2d 31 2e 35 37 65 2b 30 30 2c 2d 38 2e 37 38 65 2b 30 30 2c 30 2c 31 38 33 30 30  8.08481e-02,-1.57e+00,-8.78e+00,0,18300
18487	Data	[39]	36 2e 39 38 37 36 36 65 2d 30 32 2c 2d 31 2e 34 34 65 2b 30 30 2c 2d 38 2e 30 35 65 2b 30 30 2c 30 2c 31 38 34 30 30  6.98766e-02,-1.44e+00,-8.05e+00,0,18400
18587	Data	[39]	36 2e 36 32 39 33 38 65 2d 30 32 2c 2d 31 2e 31 39 65 2b 30 30 2c 2d 37 2e 38 39 65 2b 30 30 2c 30 2c 31 38 35 30 30  6.62938e-02,-1.19e+00,-7.89e+00,0,18500
18687	Data	[39]	36 2e 33 32 32 35 36 65 2d 30 32 2c 2d 39 2e 37 30 65 2d 30 31 2c 2d 38 2e 32 32 65 2b 30 30 2c 30 2c 31 38 36 30 30  6.32256e-02,-9.70e-01,-8.22e+00,0,18600
18788	Data	[39]	35 2e 38 35 38 37 31 65 2d 30 32 2c 2d 31 2e 30 33 65 2b 30 30 2c 2d 37 2e 39 34 65 2b 30 30 2c 30 2c 31 38 37 30 30  5.85871e-02,-1.03e+00,-7.94e+00,0,18700
18887	Data	[39]	35 2e 30 34 39 35 36 65 2d 30 32 2c 2d 38 2e 34 33 65 2d 30 31 2c 2d 37 2e 34 37 65 2b 30 30 2c 30 2c 31 38 38 30 30  5.04956e-02,-8.43e-01,-7.47e+00,0,18800
18988	Data	[39]	34 2e 37 33 38 35 31 65 2d 30 32 2c 2d 38 2e 30 30 65 2d 30 31 2c 2d 37 2e 33 39 65 2b 30 30 2c 30 2c 31 38 39 30 30  4.73851e-02,-8.00e-01,-7.39e+00,0,18900
19087	Data	[39]	35 2e 31 37 32 38 33 65 2d 30 32 2c 2d 37 2e 33 31 65 2d 30 31 2c 2d 38 2e 34 37 65 2b 30 30 2c 30 2c 31 39 30 30 30  5.17283e-02,-7.31e-01,-8.47e+00,0,19000
19188	Data	[39]	35 2e 33 37 38 35 31 65 2d 30 32 2c 2d 36 2e 39 35 65 2d 30 31 2c 2d 39 2e 34 37 65 2b 30 30 2c 30 2c 31 39 31 30 30  5.37851e-02,-6.95e-01,-9.47e+00,0,19100
19287	Data	[39]	35 2e 33 38 39 33 38 65 2d 30 32 2c 2d 37 2e 31 37 65 2d 30 31 2c 2d 39 2e 38 34 65 2b 30 30 2c 30 2c 31 39 32 30 30  5.38938e-02,-7.17e-01,-9.84e+00,0,19200
19387	Data	[39]	35 2e 32 35 38 32 36 65 2d 30 32 2c 2d 36 2e 39 34 65 2d 30 31 2c 2d 39 2e 37 39 65 2b 30 30 2c 30 2c 31 39 33 30 30  5.25826e-02,-6.94e-01,-9.79e+00,0,19300
19487	Data	[39]	34 2e 39 37 30 36 30 65 2d 30 32 2c 2d 39 2e 31 31 65 2d 30 31 2c 2d 39 2e 33 32 65 2b 30 30 2c 30 2c 31 39 34 30 30  4.97060e-02,-9.11e-01,-9.32e+00,0,19400
19587	Data	[39]	34 2e 37 34 33 30 30 65 2d 30 32 2c 2d 31 2e 31 38 65 2b 30 30 2c 2d 38 2e 36 32 65 2b 30 30 2c 30 2c 31 39 35 30 30  4.74300e-02,-1.18e+00,-8.62e+00,0,19500
19687	Data	[39]	34 2e 35 34 33 35 36 65 2d 30 32 2c 2d 31 2e 35 36 65 2b 30 30 2c 2d 37 2e 32 33 65 2b 30 30 2c 30 2c 31 39 36 30 30  4.54356e-02,-1.56e+00,-7.23e+00,0,19600
19787	Data	[39]	34 2e 36 31 30 35 30 65 2d 30 32 2c 2d 31 2e 38 39 65 2b 30 30 2c 2d 35 2e 36 30 65 2b 30 30 2c 30 2c 31 39 37 30 30  4.61050e-02,-1.89e+00,-5.60e+00,0,19700
19887	Data	[39]	34 2e 39 34 38 34 30 65 2d 30 32 2c 2d 32 2e 33 39 65 2b 30 30 2c 2d 33 2e 35 39 65 2b 30 30 2c 30 2c 31 39 38 30 30  4.94840e-02,-2.39e+00,-3.59e+00,0,19800
19987	Data	[39]	35 2e 31 39 34 33 35 65 2d 30 32 2c 2d 32 2e 35 33 65 2b 30 30 2c 2d 32 2e 33 31 65 2b 30 30 2c 30 2c 31 39 39 30 30  5.19435e-02,-2.53e+00,-2.31e+00,0,19900
20087	Data	[39]	35 2e 34 36 30 37 39 65 2d 30 32 2c 2d 32 2e 39 36 65 2b 30 30 2c 2d 31 2e 31 37 65 2b 30 30 2c 30 2c 32 30 30 30 30  5.46079e-02,-2.96e+00,-1.17e+00,0,20000
20187	Data	[39]	35 2e 36 38 38 36 34 65 2d 30 32 2c 2d 33 2e 32 35 65 2b 30 30 2c 2d 33 2e 30 39 65 2d 30 31 2c 30 2c 32 30 31 30 30  5.68864e-02,-3.25e+00,-3.09e-01,0,20100
20287	Data	[38]	35 2e 39 33 31 36 33 65 2d 30 32 2c 2d 33 2e 34 36 65 2b 30 30 2c 32 2e 36 37 65 2d 30 31 2c 30 2c 32 30 32 30 30  5.93163e-02,-3.46e+00,2.67e-01,0,20200
20387	Data	[38]	36 2e 31 33 39 32 30 65 2d 30 32 2c 2d 33 2e 38 31 65 2b 30 30 2c 36 2e 33 33 65 2d 30 31 2c 30 2c 32 30 33 30 30  6.13920e-02,-3.81e+00,6.33e-01,0,20300
20487	Data	[38]	36 2e 34 30 34 31 32 65 2d 30 32 2c 2d 34 2e 32 32 65 2b 30 30 2c 31 2e 30 38 65 2b 30 30 2c 30 2c 32 30 34 30 30  6.40412e-02,-4.22e+00,1.08e+00,0,20400
20587	Data	[38]	36 2e 36 30 34 33 30 65 2d 30 32 2c 2d 34 2e 33 38 65 2b 30 30 2c 31 2e 34 35 65 2b 30 30 2c 30 2c 32 30 35 30 30  6.60430e-02,-4.38e+00,1.45e+00,0,20500
20687	Data	[38]	36 2e 36 38 32 36 32 65 2d 30 32 2c 2d 34 2e 34 38 65 2b 30 30 2c 31 2e 36 33 65 2b 30 30 2c 30 2c 32 30 36 30 30  6.68262e-02,-4.48e+00,1.63e+00,0,20600
20787	Data	[38]	36 2e 38 31 31 30 31 65 2d 30 32 2c 2d 34 2e 35 35 65 2b 30 30 2c 31 2e 39 36 65 2b 30 30 2c 30 2c 32 30 37 30 30  6.81101e-02,-4.55e+00,1.96e+00,0,20700
20887	Data	[38]	36 2e 37 39 31 34 37 65 2d 30 32 2c 2d 34 2e 36 39 65 2b 30 30 2c 32 2e 31 32 65 2b 30 30 2c 30 2c 32 30 38 30 30  6.79147e-02,-4.69e+00,2.12e+00,0,20800
20987	Data	[38]	36 2e 38 30 37 35 37 65 2d 30 32 2c 2d 34 2e 37 33 65 2b 30 30 2c 32 2e 32 39 65 2b 30 30 2c 30 2c 32 30 39 30 30  6.80757e-02,-4.73e+00,2.29e+00,0,20900
21087	Data	[38]	36 2e 36 37 36 31 32 65 2d 30 32 2c 2d 34 2e 39 38 65 2b 30 30 2c 32 2e 33 31 65 2b 30 30 2c 30 2c 32 31 30 30 30  6.67612e-02,-4.98e+00,2.31e+00,0,21000
21187	Data	[38]	36 2e 36 32 39 32 38 65 2d 30 32 2c 2d 34 2e 39 30 65 2b 30 30 2c 32 2e 33 31 65 2b 30 30 2c 30 2c 32 31 31 30 30  6.62928e-02,-4.90e+00,2.31e+00,0,21100
21287	Data	[38]	36 2e 36 32 36 37 37 65 2d 30 32 2c 2d 35 2e 30 32 65 2b 30 30 2c 32 2e 33 31 65 2b 30 30 2c 30 2c 32 31 32 30 30  6.62677e-02,-5.02e+00,2.31e+00,0,21200
21387	Data	[38]	36 2e 33 36 30 37 38 65 2d 30 32 2c 2d 35 2e 31 32 65 2b 30 30 2c 32 2e 33 35 65 2b 30 30 2c 30 2c 32 31 33 30 30  6.36078e-02,-5.12e+00,2.35e+00,0,21300
21487	Data	[38]	36 2e 33 38 38 38 33 65 2d 30 32 2c 2d 35 2e 30 39 65 2b 30 30 2c 32 2e 32 39 65 2b 30 30 2c 30 2c 32 31 34 30 30  6.38883e-02,-5.09e+00,2.29e+00,0,21400
21587	Data	[38]	36 2e 33 35 34 32 38 65 2d 30 32 2c 2d 34 2e 39 33 65 2b 30 30 2c 32 2e 32 37 65 2b 30 30 2c 30 2c 32 31 35 30 30  6.35428e-02,-4.93e+00,2.27e+00,0,21500
