
0	Header	[1]	00  .
2189	Data	[37]	2d 37 2e 38 36 31 38 32 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 32 31 30 30  -7.86182e-04,0.00e+00,0.00e+00,N,2100
2289	Data	[37]	2d 38 2e 39 36 39 36 33 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 32 32 30 30  -8.96963e-04,0.00e+00,0.00e+00,N,2200
2389	Data	[37]	2d 39 2e 36 37 39 35 39 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 32 33 30 30  -9.67959e-04,0.00e+00,0.00e+00,N,2300
2489	Data	[37]	2d 31 2e 30 32 35 36 33 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 32 34 30 30  -1.02563e-03,0.00e+00,0.00e+00,N,2400
2590	Data	[37]	2d 38 2e 32 34 30 33 36 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 32 35 30 30  -8.24036e-04,0.00e+00,0.00e+00,N,2500
2689	Data	[37]	2d 34 2e 36 31 37 35 37 65 2d 30 34 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 4e 2c 32 36 30 30  -4.61757e-04,0.00e+00,0.00e+00,N,2600
2789	Data	[36]	31 2e 30 39 36 32 36 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 32 37 30 30  1.09626e-03,0.00e+00,0.00e+00,0,2700
2889	Data	[36]	34 2e 36 34 35 37 30 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 32 38 30 30  4.64570e-03,0.00e+00,0.00e+00,0,2800
2989	Data	[36]	36 2e 31 33 35 36 31 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 32 39 30 30  6.13561e-03,0.00e+00,0.00e+00,0,2900
3089	Data	[36]	36 2e 39 31 34 38 38 65 2d 30 33 2c 30 2e 30 30 65 2b 30 30 2c 30 2e 30 30 65 2b 30 30 2c 30 2c 33 30 30 30  6.91488e-03,0.00e+00,0.00e+00,0,3000
