Meter S/N:, "0641B14R"
Sensor, THERMO,SINGLE, 0730B14R
Date, 5/23/2014 2:13:34 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted)
0, 0.00327146355994046, 0, 0, 0
0.1, 0.00315610761754215, 0, 0, 0
0.2, 0.00331929395906627, 0, 0, 0
0.3, 0.00337275164201856, 0, 0, 0
0.4, 0.00310546369291842, 0, 0, 0
0.5, 0.00324895512312651, 0, 0, 0
0.6, 0.00328553142026067, 0, 0, 0
0.7, 0.0031237518414855, 0, 0, 0
0.8, 0.00320393824949861, 0, 0, 0
0.9, 0.00325036188587546, 0, 0, 0
1, 0.00325317541137338, 0, 0, 0
1.1, 0.00309702288359404, 0, 0, 0
1.2, 0.00313922623172402, 0, 0, 0
1.3, 0.00320534501224756, 0, 0, 0
1.4, 0.00320675177499652, 0, 0, 0
1.5, 0.00298588746227324, 0, 0, 0
1.6, 0.00303653138689697, 0, 0, 0
1.7, 0.00312797212973237, 0, 0, 0
1.8, 0.00325739569962025, 0, 0, 0
1.9, 0.00309139583259821, 0, 0, 0
2, 0.00315329409204423, 0, 0, 0
2.1, 0.00311109074391425, 0, 0, 0
2.2, 0.00306466710753739, 0, 0, 0
2.3, 0.00309139583259821, 0, 0, 0
2.4, 0.00296759931370616, 0, 0, 0
2.5, 0.0031124975066632, 0, 0, 0
2.6, 0.00306466710753739, 0, 0, 0
2.7, 0.00318142957985401, 0, 0, 0
2.8, 0.00309983664192259, 0, 0, 0
2.9, 0.00322081940248609, 0, 0, 0
3, 0.00327709061093628, 0, 0, 0
3.1, 0.00324473483487964, 0, 0, 0
3.2, 0.00311109074391425, 0, 0, 0
3.3, 0.00327146355994046, 0, 0, 0
3.4, 0.00345434481278062, 0, 0, 0
3.5, 0.000103398226201534, 0, 0, 0
3.6, 0.000258143874816597, 0, 0, 0
3.7, 0.00045790642616339, 0, 0, 0
3.8, 0.000407262385124341, 0, 0, 0
3.9, 0.000448058970505372, 0, 0, 0
4, 0.000464940298115835, 0, 0, 0
4.1, 0.000462126743514091, 0, 0, 0
4.2, 0.000365059036994353, 0, 0, 0
4.3, 0.000592957134358585, 0, 0, 0
4.4, 0.000577482569497079, 0, 0, 0
4.5, 0.000557787716388702, 0, 0, 0
4.6, 0.000508550438098609, 0, 0, 0
4.7, 0.000554974132683128, 0, 0, 0
4.8, 0.000497296219691634, 0, 0, 0
4.9, 0.000628126610536128, 0, 0, 0
5, 0.00061405886663124, 0, 0, 0
5.1, 0.000878533232025802, 0, 0, 0
5.2, 0.000899634906090796, 0, 0, 0
5.3, 0.000832109537441283, 0, 0, 0
5.4, 0.000775838387198746, 0, 0, 0
5.5, 0.000773024803493172, 0, 0, 0
5.6, 0.000508550438098609, 0, 0, 0
5.7, 0.00346559891477227, 0, 0, 0
5.8, 0.00327427708543837, 0, 0, 0
5.9, 0.00370756490156055, 0, 0, 0
6, 0.00354719208553433, 0, 0, 0
6.1, 0.00355422589927912, 0, 0, 0
6.2, 0.00348529382608831, 0, 0, 0
6.3, 0.00345715833827853, 0, 0, 0
6.4, 0.00334461592137814, 0, 0, 0
6.5, 0.00317720929160714, 0, 0, 0
6.6, 0.00311531103216112, 0, 0, 0
6.7, 0.00305481953546405, 0, 0, 0
6.8, 0.00301965023390949, 0, 0, 0
6.9, 0.00316595518961549, 0, 0, 0
7, 0.00303512462414801, 0, 0, 0
7.1, 0.00297322636470199, 0, 0, 0
7.2, 0.00314626027829945, 0, 0, 0
7.3, 0.00297463336028159, 0, 0, 0
7.4, 0.00305481953546405, 0, 0, 0
7.5, 0.00290007400326431, 0, 0, 0
7.6, 0.00302527728490531, 0, 0, 0
7.7, 0.00299854855984449, 0, 0, 0
7.8, 0.00306607387028635, 0, 0, 0
7.9, 0.00293946382589638, 0, 0, 0
8, 0.0030112094245851, 0, 0, 0
8.1, 0.00308295525610447, 0, 0, 0
8.2, 0.00308717554435134, 0, 0, 0
8.3, 0.00303371786139905, 0, 0, 0
