Meter S/N:, "REV_FA_2"
Sensor, Thermo, Single, 2809, PM
Date, 4/8/2015 11:33:55 AM
Units, W
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
6.5000000, 3.04387E-002, 6400010, 0, 0, 0, a65af93c 0000 0aa86100 
6.6000000, 2.78618E-002, 6500010, 0, 0, 0, 693ee43c 0000 aa2e6300 
6.7000000, 2.68266E-002, 6600010, 0, 0, 0, 7bc3db3c 0000 4ab56400 
6.8000000, 2.51747E-002, 6700010, 0, 0, 0, 3a3bce3c 0000 ea3b6600 
6.9000000, 2.45140E-002, 6800010, 0, 0, 0, 86d1c83c 0000 8ac26700 
7.0000000, 2.80600E-002, 6900000, 0, 0, 0, 1fdee53c 0000 20496900 
7.1000000, 6.45336E-002, 7000010, 4, Calculating, 0, 362a843d 0400 cacf6a00 
7.2000000, 1.15302E-001, 7100010, 4, Calculating, 0, 3a23ec3d 0400 6a566c00 
7.3000000, 1.57722E-001, 7200010, 4, Calculating, 0, de81213e 0400 0add6d00 
7.4000000, 1.90121E-001, 7300010, 4, Calculating, 0, 10af423e 0400 aa636f00 
7.5000000, 2.16485E-001, 7400010, 4, Calculating, 0, 40ae5d3e 0400 4aea7000 
7.6000000, 2.36021E-001, 7500010, 4, Calculating, 0, 92af713e 0400 ea707200 
7.7000000, 2.50602E-001, 7600010, 4, Calculating, 0, e64e803e 0400 8af77300 
7.8000000, 2.62694E-001, 7700010, 4, Calculating, 0, cb7f863e 0400 2a7e7500 
7.9000000, 2.71284E-001, 7800010, 4, Calculating, 0, aee58a3e 0400 ca047700 
8.0000000, 2.77142E-001, 7900010, 4, Calculating, 0, 96e58d3e 0400 6a8b7800 
8.1000000, 2.82164E-001, 8000000, 4, Calculating, 0, cb77903e 0400 00127a00 
8.2000000, 2.85203E-001, 8100000, 4, Calculating, 0, 2f06923e 0400 a0987b00 
8.3000000, 2.88243E-001, 8200020, 4, Calculating, 0, 9394933e 0400 541f7d00 
8.4000000, 2.89300E-001, 8300000, 4, Calculating, 0, 251f943e 0400 e0a57e00 
8.5000000, 2.89763E-001, 8400000, 4, Calculating, 0, c45b943e 0400 802c8000 
8.6000000, 2.89652E-001, 8500000, 4, Calculating, 0, 554d943e 0400 20b38100 
8.7000000, 2.89256E-001, 8600010, 4, Calculating, 0, 5e19943e 0400 ca398300 
8.8000000, 2.87582E-001, 8700000, 4, Calculating, 0, f73d933e 0400 60c08400 
8.9000000, 2.87318E-001, 8800010, 4, Calculating, 0, 531b933e 0400 0a478600 
9.0000000, 2.86525E-001, 8900010, 4, Calculating, 0, 65b3923e 0400 aacd8700 
9.1000000, 2.85754E-001, 9000010, 4, Calculating, 0, 5b4e923e 0400 4a548900 
9.2000000, 2.83970E-001, 9100010, 4, Calculating, 0, 8564913e 0400 eada8a00 
9.3000000, 2.83728E-001, 9200010, 4, Calculating, 0, c344913e 0400 8a618c00 
9.4000000, 2.82076E-001, 9300010, 4, Calculating, 0, 3f6c903e 0400 2ae88d00 
9.5000000, 2.80798E-001, 9400010, 4, Calculating, 0, cfc48f3e 0400 ca6e8f00 
9.6000000, 2.76327E-001, 9500010, 4, Calculating, 0, c57a8d3e 0400 6af59000 
9.7000000, 2.58289E-001, 9600010, 4, Calculating, 0, 6b3e843e 0400 0a7c9200 
9.8000000, 2.32718E-001, 9700010, 4, Calculating, 0, 824d6e3e 0400 aa029400 
9.9000000, 2.07146E-001, 9800010, 4, Calculating, 0, 2d1e543e 0400 4a899500 
10.0000000, 1.84571E-001, 9900010, 4, Calculating, 0, 14003d3e 0400 ea0f9700 
10.1000000, 1.63581E-001, 10000000, 4, Calculating, 0, af81273e 0400 80969800 
10.2000000, 1.46599E-001, 10100010, 4, Calculating, 0, 1f1e163e 0400 2a1d9a00 
10.3000000, 1.30565E-001, 10200020, 4, Calculating, 0, d3b2053e 0400 d4a39b00 
10.4000000, 1.16997E-001, 10300010, 4, Calculating, 0, 629cef3d 0400 6a2a9d00 
10.5000000, 1.05192E-001, 10400010, 4, Calculating, 0, eb6ed73d 0400 0ab19e00 
10.6000000, 9.38271E-002, 10500010, 4, Calculating, 0, 6728c03d 0400 aa37a000 
10.7000000, 8.52813E-002, 10600010, 4, Calculating, 0, f8a7ae3d 0400 4abea100 
10.8000000, 7.62510E-002, 10700010, 4, Calculating, 0, 7d299c3d 0400 ea44a300 
10.9000000, 6.87404E-002, 10800010, 4, Calculating, 0, c9c78c3d 0400 8acba400 
11.0000000, 6.24633E-002, 10900010, 4, Calculating, 0, 7dd97f3d 0400 2a52a600 
11.1000000, 5.61200E-002, 11000010, 4, Calculating, 0, 1fde653d 0400 cad8a700 
11.2000000, 5.06578E-002, 11100010, 4, Calculating, 0, 8f7e4f3d 0400 6a5fa900 
11.2000000, 9.27546E-001, 11101280, 8, FinalEnergyRecord, 0, a4736d3f 0800 6064a900 
11.4000000, 4.52837E-002, 11200000, 0, 0, 0, 5f7b393d 0000 00e6aa00 
11.5000000, 4.10328E-002, 11300010, 0, 0, 0, 0812283d 0000 aa6cac00 
11.6000000, 3.83458E-002, 11400010, 0, 0, 0, 70101d3d 0000 4af3ad00 
11.7000000, 3.46015E-002, 11500010, 0, 0, 0, 49ba0d3d 0000 ea79af00 
11.8000000, 3.15840E-002, 11600010, 0, 0, 0, 445e013d 0000 8a00b100 
11.9000000, 2.77957E-002, 11700010, 0, 0, 0, d8b3e33c 0000 2a87b200 
12.0000000, 2.56593E-002, 11800010, 0, 0, 0, 6833d23c 0000 ca0db400 
12.1000000, 2.39193E-002, 11900010, 0, 0, 0, 65f2c33c 0000 6a94b500 
12.2000000, 2.14305E-002, 12000010, 0, 0, 0, eb8eaf3c 0000 0a1bb700 
12.3000000, 1.90077E-002, 12100010, 0, 0, 0, 03b69b3c 0000 aaa1b800 
12.4000000, 1.73999E-002, 12200020, 0, 0, 0, 238a8e3c 0000 5428ba00 
