Meter S/N:, 0484C15R
Sensor, Thermo, Single, ENB075, PM-Pro 150 LP
Date, 6/4/2015 3:08:29 PM
Units, W
Cursor, 0.0008095, 0.0017408, 23354.24218750, -1739.13043478
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0008095, 1.30493557453156, 506, 0, 0, 0
0.0008112, 1.95234537124634, 507, 0, 0, 0
0.0008128, 0.916489601135254, 508, 0, 0, 0
0.0008144, 0.182758405804634, 509, 0, 0, 0
0.0008160, 1.04597163200378, 510, 0, 0, 0
0.0008176, 1.39125680923462, 511, 0, 0, 0
0.0008192, 0.743846952915192, 512, 0, 0, 0
0.0008208, 0.873328924179077, 513, 0, 0, 0
0.0008224, 0.355401039123535, 514, 0, 0, 0
0.0008240, 0.614364981651306, 515, 0, 0, 0
0.0008256, 0.398561716079712, 516, 0, 0, 0
0.0008272, 0.182758405804634, 517, 0, 0, 0
0.0008288, 1.34809613227844, 518, 0, 0, 0
0.0008304, 0.528043687343597, 519, 0, 0, 0
0.0008320, 0.787007629871368, 520, 0, 0, 0
0.0008336, 0.830168306827545, 521, 0, 0, 0
0.0008352, 1.00281095504761, 522, 0, 0, 0
0.0008368, 1.08913218975067, 523, 0, 0, 0
0.0008384, 1.52073884010315, 524, 0, 0, 0
0.0008400, 1.2186142206192, 525, 0, 0, 0
0.0008416, 0.312240391969681, 526, 0, 0, 0
0.0008432, 2.34079122543335, 527, 0, 0, 0
0.0008448, 1.69338142871857, 528, 0, 0, 0
0.0008464, 1.47757816314697, 529, 0, 0, 0
0.0008480, 0.484883010387421, 530, 0, 0, 0
0.0008496, 1.17545354366302, 531, 0, 0, 0
0.0008512, 1.4344174861908, 532, 0, 0, 0
0.0008528, 1.69338142871857, 533, 0, 0, 0
0.0008544, 0.0532764382660389, 534, 0, 0, 0
0.0008560, 0.873328924179077, 535, 0, 0, 0
0.0008576, 1.34809613227844, 536, 0, 0, 0
0.0008592, 2.29763078689575, 537, 0, 0, 0
0.0008608, 1.86602413654327, 538, 0, 0, 0
0.0008624, 2.03866672515869, 539, 0, 0, 0
0.0008640, 1.65022075176239, 540, 0, 0, 0
0.0008656, 1.00281095504761, 541, 0, 0, 0
0.0008672, 0.959650278091431, 542, 0, 0, 0
0.0008688, 0.182758405804634, 543, 0, 0, 0
0.0008704, 0.441722363233566, 544, 0, 0, 0
0.0008720, 0.830168306827545, 545, 0, 0, 0
0.0008736, 1.2186142206192, 546, 0, 0, 0
0.0008752, 1.26177489757538, 547, 0, 0, 0
0.0008768, -0.119366198778152, 548, 0, 0, 0
0.0008784, 0.657525658607483, 549, 0, 0, 0
0.0008800, -0.205687507987022, 550, 0, 0, 0
0.0008816, 0.182758405804634, 551, 0, 0, 0
0.0008832, 1.26177489757538, 552, 0, 0, 0
0.0008848, 1.30493557453156, 553, 0, 0, 0
0.0008864, 0.571204364299774, 554, 0, 0, 0
0.0008880, 1.56389951705933, 555, 0, 0, 0
0.0008896, 0.0101157790049911, 556, 0, 0, 0
0.0008912, 1.13229286670685, 557, 0, 0, 0
0.0008928, 0.916489601135254, 558, 0, 0, 0
0.0008944, 0.657525658607483, 559, 0, 0, 0
0.0008960, 0.441722363233566, 560, 0, 0, 0
0.0008976, 1.65022075176239, 561, 0, 0, 0
0.0008992, 1.17545354366302, 562, 0, 0, 0
0.0009008, 1.30493557453156, 563, 0, 0, 0
0.0009024, 1.17545354366302, 564, 0, 0, 0
0.0009040, 1.73654210567474, 565, 0, 0, 0
0.0009056, 1.08913218975067, 566, 0, 0, 0
0.0009072, 0.441722363233566, 567, 0, 0, 0
0.0009088, 0.355401039123535, 568, 0, 0, 0
0.0009104, 0.70068633556366, 569, 0, 0, 0
0.0009120, -0.378330141305923, 570, 0, 0, 0
0.0009136, 0.787007629871368, 571, 0, 0, 0
0.0009152, 1.17545354366302, 572, 0, 0, 0
0.0009168, 1.17545354366302, 573, 0, 0, 0
0.0009184, 1.99550604820251, 574, 0, 0, 0
0.0009200, 2.2113094329834, 575, 0, 0, 0
0.0009216, 2.29763078689575, 576, 0, 0, 0
0.0009232, 2.2113094329834, 577, 0, 0, 0
0.0009248, 1.65022075176239, 578, 0, 0, 0
0.0009264, 1.13229286670685, 579, 0, 0, 0
0.0009280, 1.04597163200378, 580, 0, 0, 0
0.0009296, 0.571204364299774, 581, 0, 0, 0
0.0009312, 0.787007629871368, 582, 0, 0, 0
0.0009328, 1.65022075176239, 583, 0, 0, 0
0.0009344, 1.34809613227844, 584, 0, 0, 0
0.0009360, 0.614364981651306, 585, 0, 0, 0
0.0009376, 1.73654210567474, 586, 0, 0, 0
0.0009392, 1.34809613227844, 587, 0, 0, 0
0.0009408, 1.52073884010315, 588, 0, 0, 0
0.0009424, 1.04597163200378, 589, 0, 0, 0
0.0009440, 1.56389951705933, 590, 0, 0, 0
0.0009456, 1.73654210567474, 591, 0, 0, 0
0.0009472, 2.4271125793457, 592, 0, 0, 0
0.0009488, 1.56902325153351, 593, 0, 0, 0
0.0009504, 1.2186142206192, 594, 0, 0, 0
0.0009520, 1.69338142871857, 595, 0, 0, 0
0.0009536, 1.95234537124634, 596, 0, 0, 0
0.0009552, 1.99550604820251, 597, 0, 0, 0
0.0009568, 1.34809613227844, 598, 0, 0, 0
0.0009584, 1.6070601940155, 599, 0, 0, 0
0.0009600, 2.47027325630188, 600, 0, 0, 0
0.0009616, 2.59975528717041, 601, 0, 0, 0
0.0009632, 2.12498807907104, 602, 0, 0, 0
0.0009648, 2.77239799499512, 603, 0, 0, 0
0.0009664, 1.08913218975067, 604, 0, 0, 0
0.0009680, 1.90918469429016, 605, 0, 0, 0
0.0009696, 1.30493557453156, 606, 0, 0, 0
0.0009712, 2.64291596412659, 607, 0, 0, 0
0.0009728, 1.39125680923462, 608, 0, 0, 0
0.0009744, 2.98820114135742, 609, 0, 0, 0
0.0009760, 2.38395190238953, 610, 0, 0, 0
0.0009776, 1.6070601940155, 611, 0, 0, 0
0.0009792, 1.8228634595871, 612, 0, 0, 0
0.0009808, 2.81555867195129, 613, 0, 0, 0
0.0009824, 2.90187978744507, 614, 0, 0, 0
0.0009840, 2.81555867195129, 615, 0, 0, 0
0.0009856, 3.76509308815002, 616, 0, 0, 0
0.0009872, 3.20400452613831, 617, 0, 0, 0
0.0009888, 3.85141444206238, 618, 0, 0, 0
0.0009904, 3.63561105728149, 619, 0, 0, 0
0.0009920, 3.11768317222595, 620, 0, 0, 0
