Meter S/N:, "serial number"
Sensor, Thermo, Single, DB25T 3, DB25 HBE 3
Date, 2/18/2018 10:52:15 PM
Units, W
Cursor, 0.0000000, 0.0211184, 23354.24218750, -1.71631050
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
12.8813568, -0.0117005109786987, 0, 0, 0, 0
12.8814080, 3.86910629272461, 0, 0, 0, 0
12.8814592, 14.045804977417, 0, 1, TriggerDetected, 0
12.8815104, 14.0458955764771, 0, 0, 0, 0
12.8815616, 14.0452814102173, 0, 0, 0, 0
12.8816128, 14.0458927154541, 0, 0, 0, 0
12.8816640, 14.0434551239014, 0, 0, 0, 0
12.8817152, 14.0443029403687, 0, 0, 0, 0
12.8817664, 14.0447406768799, 0, 0, 0, 0
12.8818176, 7.13604497909546, 0, 0, 0, 0
12.8818688, -0.0108030959963799, 0, 0, 0, 0
12.8819200, -0.00995553750544786, 0, 0, 0, 0
12.8819712, -0.00990830454975367, 0, 0, 0, 0
12.8820224, -0.0109415128827095, 0, 0, 0, 0
12.8820736, -0.0116827990859747, 0, 0, 0, 0
12.8821248, -0.0111488103866577, 0, 0, 0, 0
12.8821760, -0.0113331479951739, 0, 0, 0, 0
12.8822272, 7.53801107406616, 0, 1, TriggerDetected, 0
12.8822784, 14.0442085266113, 0, 0, 0, 0
12.8823296, 14.0444984436035, 0, 0, 0, 0
12.8823808, 14.0442085266113, 0, 0, 0, 0
12.8824320, 14.0447511672974, 0, 0, 0, 0
12.8824832, 14.0455207824707, 0, 0, 0, 0
12.8825344, 14.0461025238037, 0, 0, 0, 0
12.8825856, 14.046441078186, 0, 0, 0, 0
12.8826368, 3.49175572395325, 0, 0, 0, 0
12.8826880, -0.0126845194026828, 0, 0, 0, 0
12.8827392, -0.0106738628819585, 0, 0, 0, 0
12.8827904, -0.0111796427518129, 0, 0, 0, 0
12.8828416, -0.0119360173121095, 0, 0, 0, 0
12.8828928, -0.0104501647874713, 0, 0, 0, 0
12.8829440, -0.00943138916045427, 0, 0, 0, 0
12.8829952, -0.0104403253644705, 0, 0, 0, 0
12.8830464, 11.1578712463379, 0, 1, TriggerDetected, 0
12.8830976, 14.0433292388916, 0, 0, 0, 0
12.8831488, 14.0455627441406, 0, 0, 0, 0
12.8832000, 14.0459022521973, 0, 0, 0, 0
12.8832512, 14.0458850860596, 0, 0, 0, 0
12.8833024, 14.0455522537231, 0, 0, 0, 0
12.8833536, 14.0463256835938, 0, 0, 0, 0
12.8834048, 13.9721374511719, 0, 0, 0, 0
12.8834560, 0.0140122743323445, 0, 0, 0, 0
12.8835072, -0.0106469662860036, 0, 0, 0, 0
12.8835584, -0.0106896068900824, 0, 0, 0, 0
12.8836096, -0.0107925999909639, 0, 0, 0, 0
