Meter S/N:," ""serial number""",,,,
Sensor, THERMO,SINGLE, 150W-HD,,
Date, 2/14/2014 11:57:03 AM,,,,
Timestamp, Measurement, Sequence, Flags, Flags (interpreted),
0.201062,0.011498789,2629360,0,0,7.23007E-08
0.201069,0.009158567,2629370,0,0,5.20605E-08
0.201075,0.008194945,2629370,0,0,8.3056E-08
0.201082,0.015535342,2629380,0,0,7.89309E-08
0.201088,0.010774964,2629390,0,0,6.89661E-08
0.201094,0.012213735,2629390,0,0,4.78217E-08
0.201101,0.001449595,2629400,0,0,4.78774E-08
0.201107,0.014509551,2629410,0,0,7.30312E-08
0.201114,0.006356515,2629410,0,0,4.33347E-08
0.20112,0.008088369,2629420,0,0,4.20824E-08
0.201126,0.005939094,2629430,0,0,6.95653E-08
0.201133,0.013936708,2629430,0,0,6.91126E-08
0.201139,0.009100838,2629440,0,0,5.08679E-08
0.201146,0.00543286,2629440,0,0,2.5723E-08
0.201152,0.003141484,2629450,0,0,4.9223E-08
0.201158,0.013266169,2629460,0,0,9.49925E-08
0.201165,0.013874538,2629460,0,0,7.53606E-08
0.201171,0.011245673,2629470,0,0,8.36622E-08
0.201178,0.0126578,2629480,0,0,8.72038E-08
0.201184,0.01641015,2629480,0,0,7.01651E-08
0.20119,0.006978206,2629490,0,0,4.2988E-08
0.201197,0.005304081,2629500,0,0,2.99194E-08
0.201203,0.004669067,2629500,0,0,4.78838E-08
0.20121,0.009012025,2629510,0,0,5.72961E-08
0.201216,0.010086662,2629510,0,0,6.02535E-08
0.201222,0.009997849,2629520,0,0,5.98825E-08
0.201229,0.007111426,2629530,0,0,3.57012E-08
0.201235,0.004788965,2629530,0,0,4.98888E-08
0.201242,0.009464971,2629540,0,0,7.07646E-08
0.201248,0.014123214,2629550,0,0,6.57955E-08
0.201254,0.007808608,2629550,0,0,4.22109E-08
0.201261,0.004251646,2629560,0,0,5.45784E-08
0.201267,0.013941148,2629570,0,0,6.39079E-08
0.201274,0.004318256,2629570,0,0,4.35878E-08
0.20128,0.010211,2629580,0,0,4.53729E-08
0.201286,0.004913304,2629580,0,0,3.67089E-08
0.201293,0.00557496,2629590,0,0,3.90317E-08
0.201299,0.007435593,2629600,0,0,5.94939E-08
0.201306,0.009562666,2629600,0,0,4.43072E-08
0.201312,0.005206387,2629610,0,0,3.64738E-08
0.201318,0.006951563,2629620,0,0,6.3395E-08
0.201325,0.0111613,2629620,0,0,4.31082E-08
0.201331,0.003208093,2629630,0,0,-3.88751E-09
0.201338,-0.004318811,2629640,32, NegativePower,5.38041E-09
0.201344,0.006112279,2629640,0,0,6.044E-08
0.20135,0.014034402,2629650,0,0,7.34198E-08
0.201357,0.006942681,2629650,0,0,2.96397E-08
0.201363,0.002937214,2629660,0,0,2.20215E-08
0.20137,0.003354635,2629670,0,0,4.71581E-08
0.201376,0.012364716,2629670,0,0,5.29931E-08
0.201382,0.00529964,2629680,0,0,3.28544E-08
0.201389,0.004087342,2629690,0,0,4.67318E-08
0.201395,0.011489908,2629690,0,0,8.89932E-08
0.201402,0.013936708,2629700,0,0,8.59249E-08
0.201408,0.01470494,2629710,0,0,4.84902E-08
0.201414,0.001458477,2629710,0,0,2.33736E-08
0.201421,0.005219708,2629720,0,0,4.13097E-08
0.201427,0.008550197,2629730,0,0,4.09675E-08
0.201434,0.003154805,2629730,0,0,4.99557E-08
0.20144,0.013497083,2629740,0,0,6.85664E-08
0.201446,0.009358396,2629740,0,0,6.29909E-08
0.201453,0.00863901,2629750,0,0,5.19007E-08
0.201459,0.008661213,2629760,0,0,5.89188E-08
0.201466,0.008172741,2629760,0,0,4.69049E-08
0.201472,0.007462237,2629770,0,0,2.8867E-08
0.201478,0.002160099,2629780,0,0,1.72655E-08
0.201485,0.002772909,2629780,0,0,1.18948E-08
0.201491,0.001192037,2629790,0,0,2.04983E-08
0.201498,0.004664627,2629800,0,0,5.3073E-08
0.201504,0.013026373,2629800,0,0,7.96503E-08
0.20151,0.013523727,2629810,0,0,7.25805E-08
0.201517,0.007213561,2629810,0,0,5.55509E-08
0.201523,0.011303401,2629820,0,0,6.3022E-08
0.20153,0.006702886,2629830,0,0,2.82409E-08
0.201536,0.00271074,2629830,0,0,3.50351E-08
0.201542,0.008967618,2629840,0,0,3.96153E-08
0.201549,0.002351047,2629850,0,0,2.52301E-08
0.201555,0.006058991,2629850,0,0,3.84186E-08
0.201562,0.004917744,2629860,0,0,3.75529E-08
0.201568,0.007599898,2629870,0,0,3.79792E-08
0.201574,0.005059845,2629870,0,0,2.64976E-08
0.201581,0.002510911,2629880,0,0,3.17845E-08
0.201587,0.008083928,2629890,0,0,6.35349E-08
0.201594,0.0100689,2629890,0,0,4.53196E-08
0.2016,0.005037642,2629900,0,0,2.79345E-08
0.201606,0.00427385,2629900,0,0,2.4959E-08
0.201613,0.002857282,2629910,0,0,2.2246E-08
0.201619,0.004558051,2629920,0,0,2.7166E-08
0.201626,0.003203653,2629920,0,0,3.61808E-08
0.201632,0.008856602,2629930,0,0,5.06884E-08
0.201638,0.008039522,2629940,0,0,4.85677E-08
0.201645,0.005836959,2629940,0,0,3.33299E-08
0.201651,0.005272996,2629950,0,0,2.6824E-08
0.201658,0.002391013,2629960,0,0,3.36096E-08
0.201664,0.008812196,2629960,0,0,6.52093E-08
0.20167,0.012924239,2629970,0,0,7.8098E-08
0.201677,0.009389481,2629980,0,0,4.22289E-08
0.201683,0.00468683,2629980,0,0,3.42377E-08
0.20169,0.00509537,2629990,0,0,3.0439E-08
0.201696,0.005050964,2630000,0,0,5.36592E-08
0.201702,0.012835425,2630000,0,0,5.05105E-08
0.201709,0.001596137,2630010,0,0,2.55365E-08
0.201715,0.006916037,2630010,0,0,6.3939E-08
0.201722,0.011352248,2630020,0,0,7.49477E-08
0.201728,0.013630303,2630030,0,0,5.58573E-08
0.201734,0.004988795,2630030,0,0,3.99262E-08
0.201741,0.006418684,2630040,0,0,4.37876E-08
0.201747,0.008177183,2630050,0,0,5.3479E-08
0.201754,0.007102544,2630050,0,0,6.07864E-08
0.20176,0.013159594,2630060,0,0,6.34908E-08
0.201766,0.008003997,2630060,0,0,4.46666E-08
0.201773,0.004757881,2630070,0,0,2.6962E-08
0.201779,0.004229443,2630080,0,0,5.88567E-08
0.201786,0.012586749,2630080,0,0,7.63331E-08
0.201792,0.012857629,2630090,0,0,7.0245E-08
0.201798,0.010557371,2630100,0,0,7.67148E-08
0.201805,0.01136113,2630100,0,0,4.01374E-08
0.201811,0.002017999,2630110,0,0,2.03274E-08
0.201818,0.003789819,2630120,0,0,4.34146E-08
0.201824,0.010681709,2630120,0,0,5.81487E-08
0.20183,0.008701179,2630130,0,0,4.67648E-08
0.201837,0.004660186,2630130,0,0,4.18293E-08
0.201843,0.009282905,2630140,0,0,6.37991E-08
0.20185,0.008945415,2630150,0,0,6.39304E-08
0.201856,0.012364716,2630150,0,0,6.13726E-08
0.201862,0.008092809,2630160,0,0,4.77129E-08
0.201869,0.005539435,2630170,0,0,3.54347E-08
0.201875,0.006272143,2630170,0,0,2.88601E-08
0.201882,0.001973592,2630180,0,0,3.41159E-08
0.201888,0.009398362,2630190,0,0,8.20882E-08
0.201894,0.017964378,2630190,0,0,1.05841E-07
0.201901,0.012275903,2630200,0,0,6.31444E-08
0.201907,0.00877223,2630210,0,0,7.64194E-08
0.201914,0.013061899,2630210,0,0,6.34108E-08
0.20192,0.008075047,2630220,0,0,4.60523E-08
0.201926,0.00727573,2630220,0,0,4.74642E-08
0.201933,0.006285465,2630230,0,0,5.7336E-08
0.201939,0.012826544,2630240,0,0,9.17286E-08
0.201946,0.013381626,2630240,0,0,5.90945E-08
0.201952,0.006316549,2630250,0,0,4.00575E-08
0.201958,0.007035935,2630260,0,0,9.80543E-08
0.201965,0.020979581,2630260,0,0,7.24831E-08
0.201971,0.003181449,2630270,0,0,7.39618E-09
0.201978,-0.001068254,2630280,32, NegativePower,2.41244E-08
0.201984,0.009109719,2630280,0,0,5.88414E-08
0.20199,0.010504084,2630290,0,0,3.79989E-08
0.201997,0.000352754,2630290,0,0,3.15714E-08
0.202003,0.010171034,2630300,0,0,3.27146E-08
0.20201,-0.000824018,2630310,32, NegativePower,2.72284E-08
0.202016,0.009900155,2630310,0,0,5.5471E-08
0.202022,0.008590163,2630320,0,0,5.51887E-08
0.202029,0.007178036,2630330,0,0,4.5253E-08
0.202035,0.007906303,2630330,0,0,6.98295E-08
0.202042,0.01204499,2630340,0,0,4.87567E-08
0.202048,0.00420724,2630350,0,0,4.98757E-08
0.202054,0.012418005,2630350,0,0,8.10044E-08
0.202061,0.010726117,2630360,0,0,4.53329E-08
0.202067,0.004384866,2630370,0,0,3.62271E-08
0.202074,0.005965738,2630370,0,0,2.39246E-08
0.20208,0.002009117,2630380,0,0,3.84588E-08
0.202086,0.010810489,2630380,0,0,6.11569E-08
0.202093,0.00666292,2630390,0,0,3.61808E-08
0.202099,0.005397334,2630400,0,0,4.95002E-08
0.202106,0.008745586,2630400,0,0,3.59276E-08
0.202112,0.003230297,2630410,0,0,6.56489E-08
0.202118,0.018652679,2630420,0,0,9.35626E-08
0.202125,0.008079488,2630430,0,0,5.17275E-08
0.202131,0.009163007,2630430,0,0,6.67211E-08
0.202138,0.009900155,2630440,0,0,6.08797E-08
0.202144,0.010393067,2630440,0,0,4.50932E-08
0.20215,0.004637983,2630450,0,0,5.82194E-08
0.202157,0.011996143,2630450,0,0,7.42149E-08
0.202163,0.012742172,2630460,0,0,5.40852E-08
0.20217,0.00271074,2630470,0,0,3.24373E-08
0.202176,0.008101691,2630470,0,0,3.06122E-08
0.202182,0.002102371,2630480,0,0,1.89441E-08
0.202189,0.003310228,2630490,0,0,3.37295E-08
0.202195,0.007932946,2630490,0,0,4.56768E-08
0.202202,0.005117573,2630500,0,0,5.44185E-08
0.202208,0.013021933,2630510,0,0,5.18873E-08
0.202214,0.00427385,2630510,0,0,4.55214E-08
0.202221,0.008732264,2630520,0,0,4.6412E-08
0.202227,0.006738411,2630530,0,0,4.26305E-08
0.202234,0.005441741,2630530,0,0,5.87881E-08
0.20224,0.014154299,2630540,0,0,7.83447E-08
0.202246,0.011960617,2630540,0,0,3.37248E-08
0.202253,-0.002324959,2630550,32, NegativePower,1.20547E-08
0.202259,0.006343193,2630560,0,0,3.75171E-08
0.202266,0.004375984,2630560,0,0,4.881E-08
0.202272,0.011894007,2630570,0,0,7.17637E-08
0.202278,0.012027227,2630580,0,0,6.05663E-08
0.202285,0.005277437,2630580,0,0,3.95912E-08
0.202291,0.007919624,2630590,0,0,5.89499E-08
0.202298,0.008923212,2630600,0,0,4.96892E-08
0.202304,0.007639864,2630600,0,0,2.50969E-08
0.20231,0.000725769,2630610,0,0,2.76478E-08
0.202317,0.007173595,2630610,0,0,1.97548E-08
0.202323,-0.000588664,2630620,32, NegativePower,2.32182E-08
0.20233,0.007222442,2630630,0,0,1.25609E-08
0.202336,-0.003035463,2630630,32, NegativePower,1.31604E-08
0.202342,0.007422272,2630640,0,0,5.2531E-08
0.202349,0.007586576,2630650,0,0,4.91963E-08
0.202355,0.008812196,2630650,0,0,5.52819E-08
0.202362,0.006982647,2630660,0,0,1.21746E-08
0.202368,-0.002924446,2630670,32, NegativePower,9.21713E-09
0.202374,0.005996822,2630670,0,0,5.66497E-08
0.202381,0.010188797,2630680,0,0,3.34897E-08
0.202387,0.000974445,2630690,0,0,1.55559E-08
0.202394,0.003470092,2630690,0,0,3.84721E-08
0.2024,0.009353955,2630700,0,0,5.50313E-08
0.202406,0.008989821,2630700,0,0,6.60994E-08
0.202413,0.009895714,2630710,0,0,5.00489E-08
0.202419,0.006787258,2630720,0,0,4.72621E-08
0.202426,0.006716208,2630720,0,0,4.66651E-08
0.202432,0.008838839,2630730,0,0,3.35164E-08
0.202438,0.002333285,2630740,0,0,4.23663E-08
0.202445,0.009771376,2630740,0,0,6.15857E-08
0.202451,0.0107572,2630750,0,0,6.69853E-08
0.202458,0.008381452,2630760,0,0,5.53777E-08
0.202464,0.010077781,2630760,0,0,6.13326E-08
0.20247,0.010366423,2630770,0,0,6.5944E-08
0.202477,0.008474706,2630780,0,0,5.51246E-08
0.202483,0.009900155,2630780,0,0,6.07528E-08
0.20249,0.007457796,2630790,0,0,4.50132E-08
0.202496,0.00754661,2630790,0,0,2.76014E-08
0.202502,0.001653865,2630800,0,0,2.32027E-08
0.202509,0.004975473,2630810,0,0,6.42768E-08
0.202515,0.016450116,2630810,0,0,7.58599E-08
0.202522,0.005224149,2630820,0,0,3.98443E-08
0.202528,0.008057285,2630830,0,0,5.54443E-08
0.202534,0.010424152,2630830,0,0,5.64321E-08
0.202541,0.005699299,2630840,0,0,3.10518E-08
0.202547,0.004651305,2630850,0,0,1.33489E-08
0.202554,-0.00083734,2630850,32, NegativePower,5.36458E-08
0.20256,0.018719289,2630860,0,0,7.07779E-08
0.202566,0.004873338,2630860,0,0,5.60124E-08
0.202573,0.011130216,2630870,0,0,9.12804E-08
0.202579,0.019296573,2630880,0,0,8.75633E-08
0.202586,0.005721502,2630880,0,0,2.4937E-08
0.202592,0.002590843,2630890,0,0,3.26238E-08
0.202598,0.008283758,2630900,0,0,5.37122E-08
0.202605,0.007062579,2630900,0,0,3.29568E-08
0.202611,0.003923038,2630910,0,0,2.90932E-08
0.202618,0.004389307,2630920,0,0,3.95246E-08
0.202624,0.008785551,2630920,0,0,3.38627E-08
0.20263,0.00250203,2630930,0,0,3.36005E-08
0.202637,0.007098104,2630930,0,0,5.78289E-08
0.202643,0.01217821,2630940,0,0,7.91549E-08
0.20265,0.010437474,2630950,0,0,5.71762E-08
0.202656,0.008621247,2630950,0,0,3.49685E-08
0.202662,0.003034908,2630960,0,0,7.17257E-08
0.202669,0.017458145,2630970,0,0,6.90593E-08
0.202675,0.005561639,2630970,0,0,6.29598E-08
0.202682,0.012426886,2630980,0,0,4.4134E-08
0.202688,0.002284438,2630990,0,0,3.1185E-08
0.202694,0.008110573,2630990,0,0,7.13371E-08
0.202701,0.012271463,2631000,0,0,7.1777E-08
0.202707,0.011654212,2631010,0,0,4.49152E-08
0.202714,0.001178715,2631010,0,0,1.63977E-08
0.20272,0.004287172,2631020,0,0,3.13183E-08
0.202726,0.006152245,2631020,0,0,3.7455E-08
0.202733,0.00454917,2631030,0,0,2.56165E-08
0.202739,0.003989648,2631040,0,0,6.00534E-08
0.202746,0.013168475,2631040,0,0,5.01688E-08
0.202752,0.003554464,2631050,0,0,4.90498E-08
0.202758,0.012795459,2631060,0,0,5.2733E-08
0.202765,0.002271116,2631060,0,0,2.57896E-08
0.202771,0.006325431,2631070,0,0,3.90247E-08
0.202778,0.00482449,2631080,0,0,3.71932E-08
0.202784,0.007573253,2631080,0,0,4.88633E-08
0.20279,0.008714501,2631090,0,0,6.23071E-08
0.202797,0.009087516,2631090,0,0,5.04619E-08
0.202803,0.007733117,2631100,0,0,6.13124E-08
0.20281,0.009784698,2631110,0,0,5.06484E-08
0.202816,0.007098104,2631110,0,0,5.96407E-08
0.202822,0.012782138,2631120,0,0,5.10855E-08
0.202829,0.001813729,2631130,0,0,4.49066E-08
0.202835,0.013155153,2631130,0,0,8.03516E-08
0.202842,0.009802461,2631140,0,0,7.06713E-08
0.202848,0.013754641,2631150,0,0,6.72875E-08
0.202854,0.008674535,2631150,0,0,6.69231E-08
0.202861,0.010446355,2631160,0,0,6.50361E-08
0.202867,0.011232351,2631170,0,0,7.25339E-08
0.202874,0.009491615,2631170,0,0,6.70078E-08
0.20288,0.012844307,2631180,0,0,8.63512E-08
0.202886,0.015939441,2631180,0,0,1.0138E-07
0.202893,0.013026373,2631190,0,0,7.9224E-08
0.202899,0.013381626,2631200,0,0,1.08421E-07
0.202906,0.017595803,2631200,0,0,8.02631E-08
0.202912,0.009158567,2631210,0,0,3.8259E-08
0.202918,0.00359443,2631220,0,0,3.69265E-08
0.202925,0.006956003,2631220,0,0,3.18245E-08
0.202931,0.003652158,2631230,0,0,6.13901E-08
0.202938,0.01388786,2631240,0,0,6.14525E-08
0.202944,0.006596311,2631250,0,0,3.08919E-08
0.20295,0.003701006,2631250,0,0,5.46603E-08
0.202957,0.011916211,2631250,0,0,6.17856E-08
0.202963,0.008678976,2631260,0,0,4.05168E-08
0.20297,0.002897248,2631270,0,0,4.47468E-08
0.202976,0.012018346,2631270,0,0,7.67728E-08
0.202982,0.013572574,2631280,0,0,5.50177E-08
0.202989,0.002146777,2631290,0,0,3.93647E-08
0.202995,0.010974793,2631290,0,0,8.54184E-08
0.203002,0.013430473,2631300,0,0,7.63598E-08
0.203008,0.012022787,2631310,0,0,4.50932E-08
0.203014,0.003008264,2631310,0,0,5.30594E-08
0.203021,0.012151565,2631320,0,0,4.95826E-08
0.203027,0.004375984,2631330,0,0,4.91117E-08
0.203034,0.009655919,2631330,0,0,4.61056E-08
0.20304,0.00571262,2631340,0,0,4.3761E-08
0.203046,0.008874364,2631340,0,0,8.54184E-08
0.203053,0.015530901,2631350,0,0,7.32558E-08
0.203059,0.008887687,2631360,0,0,6.46695E-08
0.203066,0.00958931,2631360,0,0,5.34993E-08
0.203072,0.008243792,2631370,0,0,5.54576E-08
0.203078,0.010242085,2631380,0,0,6.07684E-08
0.203085,0.007120307,2631380,0,0,3.29036E-08
0.203091,0.003847547,2631390,0,0,4.67648E-08
0.203098,0.009513819,2631400,0,0,5.54443E-08
0.203104,0.008967618,2631400,0,0,4.92363E-08
0.20311,0.007444475,2631410,0,0,5.7489E-08
0.203117,0.00898094,2631410,0,0,6.44766E-08
0.203123,0.012511258,2631420,0,0,6.23071E-08
0.20313,0.005290759,2631430,0,0,6.32377E-08
0.203136,0.015788458,2631430,0,0,8.90822E-08
0.203142,0.013905623,2631440,0,0,8.95527E-08
0.203149,0.011680856,2631450,0,0,3.75529E-08
0.203155,0.000836785,2631450,0,0,1.64884E-08
0.203162,0.003874191,2631460,0,0,5.64301E-08
0.203168,0.014935854,2631470,0,0,6.1719E-08
0.203174,0.00563713,2631470,0,0,8.11288E-08
0.203181,0.017542517,2631480,0,0,8.78833E-08
0.203187,0.011751907,2631490,0,0,7.0187E-08
0.203194,0.008301521,2631490,0,0,4.17493E-08
0.2032,0.005614926,2631500,0,0,4.49599E-08
0.203206,0.009371717,2631500,0,0,4.41692E-08
0.203213,0.003248059,2631510,0,0,4.37743E-08
0.203219,0.011343366,2631520,0,0,6.83219E-08
0.203226,0.008177183,2631520,0,0,7.34156E-08
0.203232,0.016294694,2631530,0,0,7.98901E-08
0.203238,0.010335339,2631540,0,0,5.8235E-08
0.203245,0.006303228,2631540,0,0,6.052E-08
0.203251,0.013870098,2631550,0,0,8.94128E-08
0.203258,0.011676416,2631560,0,0,6.04267E-08
0.203264,0.008465825,2631560,0,0,5.26733E-08
0.20327,0.009091957,2631570,0,0,7.20676E-08
0.203277,0.011498789,2631570,0,0,5.37258E-08
0.203283,0.006409803,2631580,0,0,6.99694E-08
0.20329,0.013581455,2631590,0,0,6.9126E-08
0.203296,0.00946053,2631590,0,0,6.34774E-08
0.203302,0.011698619,2631600,0,0,5.0899E-08
0.203309,0.00284396,2631610,0,0,3.31034E-08
0.203315,0.008190504,2631610,0,0,5.56083E-08
0.203322,0.007697592,2631620,0,0,4.93295E-08
0.203328,0.008745586,2631630,0,0,6.84998E-08
0.203334,0.014087689,2631630,0,0,9.27078E-08
0.203341,0.012400242,2631640,0,0,6.72076E-08
0.203347,0.01000229,2631650,0,0,6.7436E-08
0.203354,0.009265142,2631650,0,0,7.43881E-08
0.20336,0.015530901,2631660,0,0,7.96237E-08
0.203366,0.011010318,2631660,0,0,8.61645E-08
0.203373,0.013608099,2631670,0,0,6.22119E-08
0.203379,0.007129189,2631680,0,0,6.15455E-08
0.203386,0.010455237,2631680,0,0,6.27048E-08
0.203392,0.010446355,2631690,0,0,7.39485E-08
0.203398,0.014203146,2631700,0,0,6.27267E-08
0.203405,0.003718768,2631700,0,0,4.04038E-08
0.203411,0.009749173,2631710,0,0,6.57574E-08
0.203418,0.009038669,2631720,0,0,4.36011E-08
0.203424,0.005495029,2631720,0,0,4.04305E-08
0.20343,0.007981794,2631730,0,0,4.38428E-08
0.203437,0.004544729,2631730,0,0,4.04571E-08
0.203443,0.008940974,2631740,0,0,6.33639E-08
0.20345,0.009163007,2631750,0,0,6.6355E-08
0.203456,0.012955323,2631750,0,0,8.53654E-08
0.203462,0.015499816,2631760,0,0,8.72058E-08
0.203469,0.009416124,2631770,0,0,5.66166E-08
0.203475,0.00945609,2631770,0,0,7.70567E-08
0.203482,0.012560105,2631780,0,0,6.30378E-08
0.203488,0.008452503,2631790,0,0,6.33576E-08
0.203494,0.012666681,2631790,0,0,6.41721E-08
0.203501,0.005668214,2631800,0,0,5.43786E-08
0.203507,0.012457971,2631810,0,0,7.47253E-08
0.203514,0.008892127,2631810,0,0,5.94942E-08
0.20352,0.010939267,2631820,0,0,4.12831E-08
0.203526,0.002821757,2631820,0,0,5.80018E-08
0.203533,0.0137502,2631830,0,0,4.28551E-08
0.203539,0.000534821,2631840,0,0,5.36656E-08
0.203546,0.014798194,2631840,0,0,7.4095E-08
0.203552,0.009900155,2631850,0,0,5.47116E-08
0.203558,0.008337046,2631860,0,0,3.64447E-08
0.203565,0.002075727,2631860,0,0,2.34183E-08
0.203571,0.005730383,2631870,0,0,6.75759E-08
0.203578,0.013577014,2631880,0,0,6.22918E-08
0.203584,0.007186917,2631880,0,0,3.77261E-08
0.20359,0.005388453,2631890,0,0,3.91646E-08
0.203597,0.005801434,2631890,0,0,2.16598E-08
0.203603,0.001418511,2631900,0,0,3.8745E-08
0.20361,0.009651478,2631910,0,0,4.31348E-08
0.203616,0.004726796,2631910,0,0,1.97015E-08
0.203622,0.001840373,2631920,0,0,3.803E-08
0.203629,0.009025346,2631930,0,0,4.06436E-08
0.203635,0.004522526,2631930,0,0,5.86857E-08
0.203642,0.012244819,2631940,0,0,7.24564E-08
0.203648,0.01190733,2631950,0,0,4.60523E-08
0.203654,0.003443448,2631950,0,0,6.57108E-08
0.203661,0.015331072,2631960,0,0,5.72827E-08
0.203667,0.003763175,2631970,0,0,4.04391E-08
0.203674,0.007790845,2631970,0,0,3.27304E-08
0.20368,0.00311928,2631980,0,0,3.27837E-08
0.203686,0.007808608,2631980,0,0,5.61679E-08
0.203693,0.008239351,2631990,0,0,7.05114E-08
0.203699,0.015264462,2632000,0,0,6.46384E-08
0.203706,0.003203653,2632000,0,0,1.57982E-08
0.203712,0.002062405,2632010,0,0,3.39027E-08
0.203718,0.009238498,2632020,0,0,6.54466E-08
0.203725,0.00946053,2632020,0,0,7.39219E-08
0.203731,0.01518009,2632030,0,0,6.25402E-08
0.203738,0.002688537,2632040,0,0,4.38942E-08
0.203744,0.011942855,2632040,0,0,5.80421E-08
0.20375,0.007404509,2632050,0,0,4.47754E-08
0.203757,0.005388453,2632050,0,0,2.90402E-08
0.203763,0.004291612,2632060,0,0,2.09335E-08
0.20377,0.00168939,2632070,0,0,-2.89253E-09
0.203776,-0.002653567,2632070,32, NegativePower,2.32451E-08
0.203782,0.010401948,2632080,0,0,7.78649E-08
0.203789,0.01184516,2632090,0,0,3.02258E-08
0.203795,-0.001769877,2632090,32, NegativePower,1.16548E-08
0.203802,0.005099811,2632100,0,0,4.48667E-08
0.203808,0.009855748,2632110,0,0,4.85968E-08
0.203814,0.006343193,2632110,0,0,4.35009E-08
0.203821,0.006085635,2632120,0,0,4.85569E-08
0.203827,0.010099985,2632130,0,0,5.752E-08
0.203834,0.006334312,2632130,0,0,4.91563E-08
0.20384,0.010051137,2632140,0,0,5.44052E-08
0.203846,0.008083928,2632140,0,0,3.95065E-08
0.203853,0.003203653,2632150,0,0,2.34583E-08
0.203859,0.00461578,2632160,0,0,6.05955E-09
0.203866,-0.002884481,2632160,32, NegativePower,1.42395E-08
0.203872,0.007630982,2632170,0,0,6.73275E-08
0.203878,0.014811516,2632180,0,0,5.11322E-08
0.203885,-0.000202327,2632180,32, NegativePower,5.30064E-08
0.203891,0.017871125,2632190,0,0,8.56049E-08
0.203898,0.006587429,2632200,0,0,4.43205E-08
0.203904,0.008186064,2632200,0,0,7.10044E-08
0.20391,0.015482054,2632210,0,0,7.63262E-08
0.203917,0.006325431,2632210,0,0,6.24383E-08
0.203923,0.014487348,2632220,0,0,6.06596E-08
0.20393,0.00284396,2632230,0,0,6.58887E-08
0.203936,0.019118948,2632230,0,0,7.2643E-08
0.203942,0.00509537,2632240,0,0,6.40944E-08
0.203949,0.013217322,2632250,0,0,5.66033E-08
0.203955,0.005650451,2632250,0,0,5.57327E-08
0.203962,0.01027317,2632260,0,0,7.32558E-08
0.203968,0.014145418,2632270,0,0,3.0479E-08
0.203974,-0.003985762,2632270,32, NegativePower,1.17325E-08
0.203981,0.007337899,2632280,0,0,6.46631E-08
0.203987,0.014216469,2632290,0,0,7.75851E-08
0.203994,0.007950709,2632290,0,0,6.53425E-08
0.204,0.013830132,2632300,0,0,9.16134E-08
0.204006,0.016707674,2632300,0,0,1.04038E-07
0.204013,0.013017492,2632310,0,0,5.05418E-08
0.204019,0.003829784,2632320,0,0,3.28855E-08
0.204026,0.005566079,2632320,0,0,3.93514E-08
0.204032,0.00755105,2632330,0,0,5.56974E-08
0.204038,0.011014759,2632340,0,0,8.5807E-08
0.204045,0.013501523,2632340,0,0,6.4037E-08
0.204051,0.007844133,2632350,0,0,5.23445E-08
0.204058,0.007111426,2632360,0,0,4.72913E-08
0.204064,0.008652332,2632360,0,0,4.57326E-08
0.20407,0.00659187,2632370,0,0,6.65812E-08
0.204077,0.012431326,2632370,0,0,6.52226E-08
0.204083,0.009309548,2632380,0,0,6.62237E-08
0.20409,0.009611513,2632390,0,0,7.42682E-08
0.204096,0.015144564,2632390,0,0,6.25449E-08
0.204102,0.005703739,2632400,0,0,5.01064E-08
0.204109,0.008612366,2632410,0,0,3.08786E-08
0.204115,0.001680509,2632410,0,0,4.90495E-08
0.204122,0.012333632,2632420,0,0,4.71714E-08
0.204128,0.00339016,2632430,0,0,4.85702E-08
0.204134,0.012799901,2632430,0,0,6.20428E-08
0.204141,0.004926625,2632440,0,0,3.99376E-08
0.204147,0.008385893,2632450,0,0,2.3669E-08
0.204154,-0.001623336,2632450,32, NegativePower,3.45422E-08
0.20416,0.01313739,2632460,0,0,5.85084E-08
0.204166,0.006365397,2632460,0,0,7.02181E-08
0.204173,0.013696912,2632470,0,0,6.63017E-08
0.204179,0.008403655,2632480,0,0,8.6926E-08
0.204186,0.016432354,2632480,0,0,8.03564E-08
0.204192,0.010353101,2632490,0,0,6.58621E-08
0.204198,0.011600925,2632500,0,0,9.93754E-08
0.204205,0.016792046,2632500,0,0,9.33986E-08
0.204211,0.014340807,2632510,0,0,1.02966E-07
0.204218,0.015077955,2632520,0,0,8.37135E-08
0.204224,0.012826544,2632520,0,0,5.8202E-08
0.20423,0.006574107,2632530,0,0,1.92239E-08
0.204237,-0.001081576,2632540,32, NegativePower,1.43727E-08
0.204243,0.005872484,2632540,0,0,6.24314E-08
0.20425,0.011965058,2632550,0,0,6.81668E-08
0.204256,0.0107572,2632550,0,0,2.73616E-08
0.204262,-0.001636658,2632560,32, NegativePower,9.55656E-09
0.204269,0.004367103,2632570,0,0,3.81124E-08
0.204275,0.008337046,2632570,0,0,2.64199E-08
0.204282,-0.000788493,2632580,32, NegativePower,1.94617E-08
0.204288,0.00727573,2632590,0,0,3.74597E-08
0.204294,0.005210827,2632590,0,0,4.53971E-08
0.204301,0.007759761,2632600,0,0,4.36411E-08
0.204307,0.006787258,2632610,0,0,8.67395E-08
0.204314,0.017995464,2632610,0,0,8.4646E-08
0.20432,0.010219882,2632620,0,0,7.30026E-08
0.204326,0.014114333,2632620,0,0,7.55802E-08
