Meter S/N:, 0639B14R
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 4/1/2015 2:30:08 PM
Units, W
Cursor, 0.0002144, 0.0045728, 4.29385185, -2.81930709
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
0.0002144, 0.273370653390884, 134, 0, 0, 0
0.0002160, 0.140827283263206, 135, 0, 0, 0
0.0002176, -0.300983816385269, 136, 0, 0, 0
0.0002192, 0.185008406639099, 137, 0, 0, 0
0.0002208, 0.317551761865616, 138, 0, 0, 0
0.0002224, 0.45009508728981, 139, 0, 0, 0
0.0002240, -0.212621614336967, 140, 0, 0, 0
0.0002256, -0.656424522399902, 141, 0, 0, 0
0.0002272, -0.477708280086517, 142, 0, 0, 0
0.0002288, -0.521889388561249, 143, 0, 0, 0
0.0002304, -0.919519424438477, 144, 0, 0, 0
0.0002320, 0.0524650737643242, 145, 0, 0, 0
0.0002336, -1.00788164138794, 146, 0, 0, 0
0.0002352, -0.168953135609627, 147, 0, 0, 0
0.0002368, 0.626819550991058, 148, 0, 0, 0
0.0002384, -0.521889388561249, 149, 0, 0, 0
0.0002400, -0.831157207489014, 150, 0, 0, 0
0.0002416, 0.847725093364716, 151, 0, 0, 0
0.0002432, 0.361732870340347, 152, 0, 0, 0
0.0002448, -0.390531003475189, 153, 0, 0, 0
0.0002464, -0.3018998503685, 154, 0, 0, 0
0.0002480, 0.671000599861145, 155, 0, 0, 0
0.0002496, 0.0524650737643242, 156, 0, 0, 0
0.0002512, 0.494276195764542, 157, 0, 0, 0
0.0002528, 1.77552843093872, 158, 0, 0, 0
0.0002544, 1.16051411628723, 159, 0, 0, 0
0.0002560, 1.20117402076721, 160, 0, 0, 0
0.0002575, -0.257584273815155, 161, 0, 0, 0
0.0002592, 0.805989563465118, 162, 0, 0, 0
0.0002608, -0.0800782665610313, 163, 0, 0, 0
0.0002624, 0.407149374485016, 164, 0, 0, 0
0.0002640, -0.656424522399902, 165, 0, 0, 0
0.0002656, 0.717358410358429, 166, 0, 0, 0
0.0002672, 0.00828395877033472, 167, 0, 0, 0
0.0002687, -0.610251605510712, 168, 0, 0, 0
0.0002704, -1.18460607528687, 169, 0, 0, 0
0.0002720, -1.31714940071106, 170, 0, 0, 0
0.0002736, -0.168440490961075, 171, 0, 0, 0
0.0002752, -1.14389586448669, 172, 0, 0, 0
0.0002768, -0.8753382563591, 173, 0, 0, 0
0.0002784, -0.789371192455292, 174, 0, 0, 0
0.0002799, -0.919519424438477, 175, 0, 0, 0
0.0002816, -1.89150381088257, 176, 0, 0, 0
0.0002832, -0.479162156581879, 177, 0, 0, 0
0.0002848, -0.346215426921844, 178, 0, 0, 0
0.0002864, -0.700740039348602, 179, 0, 0, 0
0.0002880, -0.168953135609627, 180, 0, 0, 0
0.0002896, 0.273370653390884, 181, 0, 0, 0
0.0002911, 1.42207956314087, 182, 0, 0, 0
0.0002928, 0.361732870340347, 183, 0, 0, 0
0.0002944, 1.15699291229248, 184, 0, 0, 0
0.0002960, -0.390531003475189, 185, 0, 0, 0
0.0002976, 0.361732870340347, 186, 0, 0, 0
0.0002992, -0.963700532913208, 187, 0, 0, 0
0.0003008, -0.346215426921844, 188, 0, 0, 0
0.0003024, 0.983251869678497, 189, 0, 0, 0
0.0003040, 0.938936233520508, 190, 0, 0, 0
0.0003056, 0.847725093364716, 191, 0, 0, 0
0.0003072, 0.938936233520508, 192, 0, 0, 0
0.0003088, -0.610251605510712, 193, 0, 0, 0
0.0003104, 0.361732870340347, 194, 0, 0, 0
0.0003120, -0.963700532913208, 195, 0, 0, 0
0.0003136, -0.168953135609627, 196, 0, 0, 0
0.0003152, -0.523477733135223, 197, 0, 0, 0
0.0003168, -0.833686828613281, 198, 0, 0, 0
0.0003184, 0.273370653390884, 199, 0, 0, 0
0.0003200, 0.850305080413818, 200, 0, 0, 0
0.0003216, 0.62872725725174, 201, 0, 0, 0
0.0003232, -0.124259375035763, 202, 0, 0, 0
0.0003248, -0.433527171611786, 203, 0, 0, 0
0.0003264, -0.0800782665610313, 204, 0, 0, 0
0.0003280, -1.14042496681213, 205, 0, 0, 0
0.0003296, -1.58223617076874, 206, 0, 0, 0
0.0003311, -1.00788164138794, 207, 0, 0, 0
0.0003328, -0.742794990539551, 208, 0, 0, 0
0.0003344, -0.300983816385269, 209, 0, 0, 0
0.0003360, -0.8753382563591, 210, 0, 0, 0
0.0003376, -0.74053430557251, 211, 0, 0, 0
0.0003392, -0.610251605510712, 212, 0, 0, 0
0.0003408, -0.256802707910538, 213, 0, 0, 0
0.0003423, -0.742794990539551, 214, 0, 0, 0
0.0003440, 1.024449467659, 215, 0, 0, 0
0.0003456, 0.185571476817131, 216, 0, 0, 0
0.0003472, 0.405913978815079, 217, 0, 0, 0
0.0003488, 0.362833797931671, 218, 0, 0, 0
0.0003504, -0.213268712162971, 219, 0, 0, 0
0.0003520, 0.891906201839447, 220, 0, 0, 0
0.0003535, -0.256802707910538, 221, 0, 0, 0
0.0003552, 0.582638382911682, 222, 0, 0, 0
0.0003568, -0.0358971506357193, 223, 0, 0, 0
0.0003584, -0.212621614336967, 224, 0, 0, 0
0.0003600, -0.168440490961075, 225, 0, 0, 0
0.0003616, 0.626819550991058, 226, 0, 0, 0
0.0003632, 1.24535501003265, 227, 0, 0, 0
0.0003647, -0.256802707910538, 228, 0, 0, 0
0.0003664, 1.15699291229248, 229, 0, 0, 0
0.0003680, 0.850305080413818, 230, 0, 0, 0
0.0003696, 0.273370653390884, 231, 0, 0, 0
0.0003712, 0.54009610414505, 232, 0, 0, 0
0.0003728, 0.936087310314178, 233, 0, 0, 0
0.0003744, 0.318518221378326, 234, 0, 0, 0
0.0003760, 0.98026841878891, 235, 0, 0, 0
0.0003776, 1.51044178009033, 236, 0, 0, 0
0.0003792, 1.51044178009033, 237, 0, 0, 0
0.0003808, 1.55462288856506, 238, 0, 0, 0
0.0003824, -0.124637559056282, 239, 0, 0, 0
0.0003840, 1.33371734619141, 240, 0, 0, 0
0.0003856, 0.0969403237104416, 241, 0, 0, 0
0.0003872, 0.185571476817131, 242, 0, 0, 0
0.0003888, 0.805989563465118, 243, 0, 0, 0
0.0003904, -0.479162156581879, 244, 0, 0, 0
0.0003920, -0.389346033334732, 245, 0, 0, 0
0.0003936, 0.715181767940521, 246, 0, 0, 0
0.0003952, 1.24914526939392, 247, 0, 0, 0
0.0003968, 1.20117402076721, 248, 0, 0, 0
0.0003984, -0.0360064022243023, 249, 0, 0, 0
0.0004000, 0.803543984889984, 250, 0, 0, 0
0.0004016, 0.407149374485016, 251, 0, 0, 0
0.0004032, 0.98026841878891, 252, 0, 0, 0
0.0004047, 0.361732870340347, 253, 0, 0, 0
0.0004064, -0.300983816385269, 254, 0, 0, 0
0.0004080, 0.494276195764542, 255, 0, 0, 0
0.0004096, -0.124637559056282, 256, 0, 0, 0
0.0004112, 0.538457334041595, 257, 0, 0, 0
0.0004128, 0.936087310314178, 258, 0, 0, 0
0.0004144, 0.0966461822390556, 259, 0, 0, 0
0.0004160, 0.00828395877033472, 260, 0, 0, 0
0.0004176, 0.0966461822390556, 261, 0, 0, 0
0.0004192, 0.0969403237104416, 262, 0, 0, 0
0.0004208, 0.0526247508823872, 263, 0, 0, 0
0.0004224, -0.0360064022243023, 264, 0, 0, 0
0.0004240, -0.0360064022243023, 265, 0, 0, 0
0.0004256, -0.213268712162971, 266, 0, 0, 0
0.0004272, 0.00828395877033472, 267, 0, 0, 0
0.0004288, 0.141255900263786, 268, 0, 0, 0
0.0004304, 0.0526247508823872, 269, 0, 0, 0
0.0004320, 0.273370653390884, 270, 0, 0, 0
0.0004336, 0.229189515113831, 271, 0, 0, 0
0.0004352, 0.54009610414505, 272, 0, 0, 0
0.0004368, 0.494276195764542, 273, 0, 0, 0
0.0004384, 0.580865144729614, 274, 0, 0, 0
0.0004400, 1.91387891769409, 275, 0, 0, 0
0.0004416, 0.626819550991058, 276, 0, 0, 0
0.0004432, 1.95225286483765, 277, 0, 0, 0
0.0004448, -0.256802707910538, 278, 0, 0, 0
0.0004464, 0.140827283263206, 279, 0, 0, 0
0.0004480, 1.11281180381775, 280, 0, 0, 0
0.0004496, 0.00828395877033472, 281, 0, 0, 0
0.0004512, -0.0360064022243023, 282, 0, 0, 0
0.0004528, 0.715181767940521, 283, 0, 0, 0
0.0004544, 1.11281180381775, 284, 0, 0, 0
0.0004560, 2.21733951568604, 285, 0, 0, 0
0.0004576, 1.95225286483765, 286, 0, 0, 0
0.0004592, 2.40135025978088, 287, 0, 0, 0
0.0004608, 1.59880399703979, 288, 0, 0, 0
