Meter S/N:, 0639B14R
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 4/1/2015 3:24:00 PM
Units, W
Cursor, 2.1286912, 2.1365759, 4158.82080078, 1.26271355
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
2.1286912, 1.1163318157196, 2128692, 32, UnderRange, 0
2.1287424, 0.489763259887695, 2128743, 32, UnderRange, 0
2.1287936, 0.340645402669907, 2128794, 32, UnderRange, 0
2.1288448, 1.19294285774231, 2128845, 32, UnderRange, 0
2.1288960, 0.763373970985413, 2128896, 32, UnderRange, 0
2.1289472, 0.894707143306732, 2128948, 32, UnderRange, 0
2.1289984, 0.660769999027252, 2128999, 32, UnderRange, 0
2.1290496, 1.15600550174713, 2129050, 32, UnderRange, 0
2.1291007, 0.912491858005524, 2129101, 32, UnderRange, 0
2.1291520, 0.264034360647202, 2129152, 32, UnderRange, 0
2.1292032, 0.924804329872131, 2129204, 32, UnderRange, 0
2.1292544, 0.692235171794891, 2129255, 32, UnderRange, 0
2.1293056, 0.818096160888672, 2129306, 32, UnderRange, 0
2.1293568, -0.00957637652754784, 2129357, 32, UnderRange, 0
2.1294080, 0.0684026852250099, 2129408, 32, UnderRange, 0
2.1294592, 0.493867427110672, 2129460, 32, UnderRange, 0
2.1295104, 0.998679280281067, 2129511, 32, UnderRange, 0
2.1295616, 0.939852952957153, 2129562, 32, UnderRange, 0
2.1296128, 0.409048080444336, 2129613, 32, UnderRange, 0
2.1296640, 0.902915477752686, 2129664, 32, UnderRange, 0
2.1297152, 1.05887353420258, 2129716, 32, UnderRange, 0
2.1297664, 0.781158685684204, 2129767, 32, UnderRange, 0
2.1298176, 0.165534511208534, 2129818, 32, UnderRange, 0
2.1298688, 0.0834512859582901, 2129869, 32, UnderRange, 0
2.1299199, 0.287291288375854, 2129920, 32, UnderRange, 0
2.1299712, 0.0656665787100792, 2129972, 32, UnderRange, 0
2.1300224, 0.566374242305756, 2130023, 32, UnderRange, 0
2.1300735, 0.396735608577728, 2130074, 32, UnderRange, 0
2.1301248, 1.00551950931549, 2130125, 32, UnderRange, 0
2.1301760, 0.295499622821808, 2130176, 32, UnderRange, 0
2.1302272, 0.344749540090561, 2130228, 32, UnderRange, 0
2.1302784, 0.759269833564758, 2130279, 32, UnderRange, 0
2.1303296, 1.25724136829376, 2130330, 32, UnderRange, 0
2.1303808, 1.18336641788483, 2130381, 32, UnderRange, 0
2.1304320, 0.655297756195068, 2130432, 32, UnderRange, 0
2.1304832, 1.22030401229858, 2130484, 32, UnderRange, 0
2.1305344, 1.16284573078156, 2130535, 32, UnderRange, 0
2.1305856, 1.19294285774231, 2130586, 32, UnderRange, 0
2.1306368, 1.31743574142456, 2130637, 32, UnderRange, 0
2.1306880, 2862.1572265625, 2130688, 33, TriggerDetected| UnderRange, 0
2.1307392, 7220.6494140625, 2130740, 0, 0, 0
2.1307904, 7357.47119140625, 2130791, 0, 0, 0
2.1308416, 7428.6015625, 2130842, 0, 0, 0
2.1308927, 7451.912109375, 2130893, 0, 0, 0
2.1309440, 7456.23095703125, 2130944, 0, 0, 0
2.1309952, 7457.68115234375, 2130996, 0, 0, 0
2.1310463, 7449.71630859375, 2131047, 0, 0, 0
2.1310976, 7444.724609375, 2131098, 0, 0, 0
2.1311488, 7430.11328125, 2131149, 0, 0, 0
2.1312000, 7419.87744140625, 2131200, 0, 0, 0
2.1312512, 7386.3095703125, 2131252, 0, 0, 0
2.1313024, 7379.42431640625, 2131303, 0, 0, 0
2.1313536, 7351.22900390625, 2131354, 0, 0, 0
2.1314048, 7329.2646484375, 2131405, 0, 0, 0
2.1314560, 7304.4560546875, 2131456, 0, 0, 0
2.1315072, 7296.38525390625, 2131508, 0, 0, 0
2.1315584, 7285.26806640625, 2131559, 0, 0, 0
2.1316096, 7258.0888671875, 2131610, 0, 0, 0
2.1316608, 7231.7880859375, 2131661, 0, 0, 0
2.1317120, 7213.2685546875, 2131712, 0, 0, 0
2.1317632, 7192.9736328125, 2131764, 0, 0, 0
2.1318144, 7170.54443359375, 2131815, 0, 0, 0
2.1318655, 7152.40234375, 2131866, 0, 0, 0
2.1319168, 7140.35009765625, 2131917, 0, 0, 0
2.1319680, 7101.4482421875, 2131968, 0, 0, 0
2.1320191, 7091.29541015625, 2132020, 0, 0, 0
2.1320704, 7072.37255859375, 2132071, 0, 0, 0
2.1321216, 7014.00341796875, 2132122, 0, 0, 0
2.1321728, 7005.76611328125, 2132173, 0, 0, 0
2.1322240, 7015.67236328125, 2132224, 0, 0, 0
2.1322752, 6955.7177734375, 2132276, 0, 0, 0
2.1323264, 6954.1484375, 2132327, 0, 0, 0
2.1323776, 6931.44287109375, 2132378, 0, 0, 0
2.1324288, 6894.8955078125, 2132429, 0, 0, 0
2.1324800, 6862.41748046875, 2132480, 0, 0, 0
2.1325312, 6847.625, 2132532, 0, 0, 0
2.1325824, 6827.0615234375, 2132583, 0, 0, 0
2.1326336, 6739.54736328125, 2132634, 0, 0, 0
2.1326848, 6779.74365234375, 2132685, 0, 0, 0
2.1327360, 6696.8544921875, 2132736, 0, 0, 0
2.1327872, 6677.611328125, 2132788, 0, 0, 0
2.1328383, 6637.2236328125, 2132839, 0, 0, 0
2.1328896, 6629.98291015625, 2132890, 0, 0, 0
2.1329408, 6573.98095703125, 2132941, 0, 0, 0
2.1329920, 6590.21435546875, 2132992, 0, 0, 0
2.1330432, 6546.8076171875, 2133044, 0, 0, 0
2.1330944, 6502.85595703125, 2133095, 0, 0, 0
2.1331456, 6471.7138671875, 2133146, 0, 0, 0
2.1331968, 6428.31396484375, 2133197, 0, 0, 0
2.1332480, 6412.79541015625, 2133248, 0, 0, 0
2.1332992, 6382.68359375, 2133300, 0, 0, 0
2.1333504, 6346.80224609375, 2133351, 0, 0, 0
2.1334016, 6263.390625, 2133402, 0, 0, 0
2.1334528, 6280.37744140625, 2133453, 0, 0, 0
2.1335040, 6187.19287109375, 2133504, 0, 0, 0
2.1335552, 6108.36669921875, 2133556, 0, 0, 0
2.1336064, 6117.14306640625, 2133607, 0, 0, 0
2.1336576, 6034.953125, 2133658, 0, 0, 0
2.1337088, 6052.6064453125, 2133709, 0, 0, 0
2.1337600, 6012.267578125, 2133760, 0, 0, 0
2.1338111, 5921.0244140625, 2133812, 0, 0, 0
2.1338624, 5961.5390625, 2133863, 0, 0, 0
2.1339136, 5780.1435546875, 2133914, 0, 0, 0
2.1339648, 5854.84326171875, 2133965, 0, 0, 0
2.1340160, 5811.287109375, 2134016, 0, 0, 0
2.1340672, 5752.45947265625, 2134068, 0, 0, 0
2.1341184, 5764.64990234375, 2134119, 0, 0, 0
2.1341696, 5687.45361328125, 2134170, 0, 0, 0
