Meter S/N:, 0639B14R
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 4/1/2015 3:23:09 PM
Units, W
Cursor, 1.4396416, 1.4475264, 4158.82080078, 1.26271355
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
1.4440960, 5959.13720703125, 1444096, 0, 0, 0
1.4441472, 5920.0166015625, 1444147, 0, 0, 0
1.4441984, 5799.96240234375, 1444198, 0, 0, 0
1.4442496, 5815.05859375, 1444249, 0, 0, 0
1.4443008, 5840.6318359375, 1444301, 0, 0, 0
1.4443520, 5682.62353515625, 1444352, 0, 0, 0
1.4444032, 5590.11865234375, 1444403, 0, 0, 0
1.4444544, 5535.09814453125, 1444454, 0, 0, 0
1.4445056, 5552.31982421875, 1444505, 0, 0, 0
1.4445568, 5496.93701171875, 1444557, 0, 0, 0
1.4446079, 5454.67431640625, 1444608, 0, 0, 0
1.4446592, 5349.404296875, 1444659, 0, 0, 0
1.4447104, 5264.90087890625, 1444710, 0, 0, 0
1.4447616, 5262.9150390625, 1444761, 0, 0, 0
1.4448128, 5144.64599609375, 1444813, 0, 0, 0
1.4448640, 5003.8359375, 1444864, 0, 0, 0
1.4449152, 5034.943359375, 1444915, 0, 0, 0
1.4449664, 4998.75, 1444966, 0, 0, 0
1.4450175, 4880.53466796875, 1445017, 0, 0, 0
1.4450688, 4871.7177734375, 1445069, 0, 0, 0
1.4451200, 4641.59326171875, 1445120, 0, 0, 0
1.4451712, 4616.45361328125, 1445171, 0, 0, 0
1.4452224, 4544.40380859375, 1445222, 0, 0, 0
1.4452736, 4560.39794921875, 1445273, 0, 0, 0
1.4453248, 4319.3916015625, 1445325, 0, 0, 0
1.4453760, 4278.66455078125, 1445376, 0, 0, 0
1.4454272, 3518.3017578125, 1445427, 0, 0, 0
1.4454784, 103.463966369629, 1445478, 32, UnderRange, 0
1.4455296, 30.3748817443848, 1445529, 32, UnderRange, 0
1.4455808, 22.6600589752197, 1445581, 32, UnderRange, 0
1.4456320, 20.2874298095703, 1445632, 32, UnderRange, 0
1.4456832, 18.6914958953857, 1445683, 32, UnderRange, 0
1.4457344, 16.6687908172607, 1445734, 32, UnderRange, 0
1.4457856, 15.5956869125366, 1445785, 32, UnderRange, 0
1.4458368, 13.7884254455566, 1445837, 32, UnderRange, 0
1.4458880, 13.2203121185303, 1445888, 32, UnderRange, 0
1.4459392, 12.9403715133667, 1445939, 32, UnderRange, 0
1.4459903, 11.7725820541382, 1445990, 32, UnderRange, 0
1.4460416, 11.6929912567139, 1446041, 32, UnderRange, 0
1.4460928, 10.7914199829102, 1446093, 32, UnderRange, 0
1.4461440, 10.6500768661499, 1446144, 32, UnderRange, 0
1.4461952, 10.4812889099121, 1446195, 32, UnderRange, 0
1.4462464, 10.1354808807373, 1446246, 32, UnderRange, 0
1.4462976, 9.87063503265381, 1446297, 32, UnderRange, 0
1.4463488, 9.97080993652344, 1446349, 32, UnderRange, 0
1.4464000, 9.27644920349121, 1446400, 32, UnderRange, 0
1.4464512, 8.66030597686768, 1446451, 32, UnderRange, 0
1.4465024, 9.19548606872559, 1446502, 32, UnderRange, 0
1.4465536, 8.03318500518799, 1446553, 32, UnderRange, 0
1.4466048, 7.84518623352051, 1446605, 32, UnderRange, 0
1.4466560, 7.55564069747925, 1446656, 32, UnderRange, 0
1.4467072, 7.32647371292114, 1446707, 32, UnderRange, 0
1.4467584, 7.32647371292114, 1446758, 32, UnderRange, 0
1.4468096, 7.5199613571167, 1446809, 32, UnderRange, 0
1.4468608, 6.67465209960938, 1446861, 32, UnderRange, 0
1.4469120, 6.10791015625, 1446912, 32, UnderRange, 0
1.4469631, 6.94910335540771, 1446963, 32, UnderRange, 0
