Meter S/N:, 0639B14R
Sensor, Thermo, Single, ENB075, PM-Pro150 HD
Date, 4/1/2015 3:30:02 PM
Units, W
Cursor, 2.2038015, 2.2103552, 4158.82080078, 1.26271355
Timestamp, Measurement, Sequence, Flags, FlagsInterpreted, Period
2.2038015, 2.6059136390686, 2218701, 32, UnderRange, 0
2.2038528, 1.88685166835785, 2218752, 32, UnderRange, 0
2.2039040, 2.73216128349304, 2218803, 32, UnderRange, 0
2.2039551, 2.32048463821411, 2218855, 32, UnderRange, 0
2.2040064, 1.89508521556854, 2218906, 32, UnderRange, 0
2.2040576, 1.89920198917389, 2218957, 32, UnderRange, 0
2.2041088, 2.15306925773621, 2219008, 32, UnderRange, 0
2.2041600, 2.55376791954041, 2219059, 32, UnderRange, 0
2.2042112, 2.55514025688171, 2219111, 32, UnderRange, 0
2.2042624, 2.35204648971558, 2219162, 32, UnderRange, 0
2.2043136, 2.05426669120789, 2219213, 32, UnderRange, 0
2.2043648, 1.99525988101959, 2219264, 32, UnderRange, 0
2.2044160, 1.87861812114716, 2219315, 32, UnderRange, 0
2.2044672, 2.25873279571533, 2219367, 32, UnderRange, 0
2.2045184, 2.22168207168579, 2219418, 32, UnderRange, 0
2.2045696, 2.16267490386963, 2219469, 32, UnderRange, 0
2.2046208, 1.4738028049469, 2219520, 32, UnderRange, 0
2.2046720, 2.79116821289063, 2219571, 32, UnderRange, 0
2.2047232, 2.5194616317749, 2219623, 32, UnderRange, 0
2.2047743, 2.75548958778381, 2219674, 32, UnderRange, 0
2.2048256, 2.4137978553772, 2219725, 32, UnderRange, 0
2.2048768, 2.77881789207459, 2219776, 32, UnderRange, 0
2.2049280, 2.32185673713684, 2219827, 32, UnderRange, 0
2.2049792, 2.02270483970642, 2219879, 32, UnderRange, 0
2.2050304, 1.71394741535187, 2219930, 32, UnderRange, 0
2.2050816, 2.1091570854187, 2219981, 32, UnderRange, 0
2.2051328, 2.53043961524963, 2220032, 32, UnderRange, 0
2.2051840, 1.98977088928223, 2220083, 32, UnderRange, 0
2.2052352, 2.77607321739197, 2220135, 32, UnderRange, 0
2.2052864, 4478.3115234375, 2220186, 1, TriggerDetected, 0
2.2053376, 7662.5400390625, 2220237, 0, 0, 0
2.2053888, 7790.90771484375, 2220288, 0, 0, 0
2.2054400, 7840.130859375, 2220339, 0, 0, 0
2.2054912, 7868.91015625, 2220391, 0, 0, 0
2.2055424, 7862.4599609375, 2220442, 0, 0, 0
2.2055936, 7861.61181640625, 2220493, 0, 0, 0
2.2056448, 7870.36962890625, 2220544, 0, 0, 0
2.2056960, 7834.2646484375, 2220595, 0, 0, 0
2.2057471, 7832.365234375, 2220647, 0, 0, 0
2.2057984, 7801.658203125, 2220698, 0, 0, 0
2.2058496, 7794.85302734375, 2220749, 0, 0, 0
2.2059008, 7754.42236328125, 2220800, 0, 0, 0
2.2059520, 7752.82666015625, 2220851, 0, 0, 0
2.2060032, 7726.42578125, 2220903, 0, 0, 0
2.2060544, 7707.1650390625, 2220954, 0, 0, 0
2.2061056, 7671.712890625, 2221005, 0, 0, 0
2.2061568, 7676.52099609375, 2221056, 0, 0, 0
2.2062080, 7642.7822265625, 2221107, 0, 0, 0
2.2062592, 7625.11767578125, 2221159, 0, 0, 0
2.2063104, 7607.6748046875, 2221210, 0, 0, 0
2.2063616, 7571.169921875, 2221261, 0, 0, 0
2.2064128, 7568.26220703125, 2221312, 0, 0, 0
2.2064640, 7550.5048828125, 2221363, 0, 0, 0
2.2065152, 7516.9111328125, 2221415, 0, 0, 0
2.2065664, 7498.2705078125, 2221466, 0, 0, 0
2.2066176, 7459.208984375, 2221517, 0, 0, 0
2.2066688, 7421.94580078125, 2221568, 0, 0, 0
2.2067199, 7430.69873046875, 2221619, 0, 0, 0
2.2067712, 7408.0654296875, 2221671, 0, 0, 0
2.2068224, 7370.18798828125, 2221722, 0, 0, 0
2.2068736, 7356.27880859375, 2221773, 0, 0, 0
2.2069248, 7323.28076171875, 2221824, 0, 0, 0
2.2069760, 7307.912109375, 2221875, 0, 0, 0
2.2070272, 7264.28173828125, 2221927, 0, 0, 0
2.2070784, 7257.5146484375, 2221978, 0, 0, 0
2.2071296, 7210.9736328125, 2222029, 0, 0, 0
2.2071808, 7201.623046875, 2222080, 0, 0, 0
2.2072320, 7161.69580078125, 2222131, 0, 0, 0
2.2072832, 7137.52490234375, 2222183, 0, 0, 0
2.2073344, 7134.70751953125, 2222234, 0, 0, 0
2.2073856, 7112.8505859375, 2222285, 0, 0, 0
2.2074368, 7086.4990234375, 2222336, 0, 0, 0
2.2074880, 7046.87353515625, 2222387, 0, 0, 0
2.2075391, 7008.4326171875, 2222439, 0, 0, 0
2.2075904, 7003.8505859375, 2222490, 0, 0, 0
2.2076416, 6966.119140625, 2222541, 0, 0, 0
2.2076927, 6922.66943359375, 2222592, 0, 0, 0
2.2077440, 6907.0751953125, 2222643, 0, 0, 0
2.2077952, 6894.05078125, 2222695, 0, 0, 0
2.2078464, 6858.98193359375, 2222746, 0, 0, 0
2.2078976, 6840.0791015625, 2222797, 0, 0, 0
2.2079488, 6782.380859375, 2222848, 0, 0, 0
2.2080000, 6781.2177734375, 2222899, 0, 0, 0
2.2080512, 6761.02587890625, 2222951, 0, 0, 0
2.2081024, 6714.38427734375, 2223002, 0, 0, 0
2.2081536, 6700.70556640625, 2223053, 0, 0, 0
2.2082048, 6679.78125, 2223104, 0, 0, 0
2.2082560, 6674.033203125, 2223155, 0, 0, 0
2.2083072, 6614.271484375, 2223207, 0, 0, 0
2.2083584, 6571.9541015625, 2223258, 0, 0, 0
2.2084096, 6503.6455078125, 2223309, 0, 0, 0
2.2084608, 6496.455078125, 2223360, 0, 0, 0
2.2085119, 6447.95263671875, 2223411, 0, 0, 0
2.2085632, 6484.41796875, 2223463, 0, 0, 0
2.2086144, 6447.693359375, 2223514, 0, 0, 0
2.2086655, 6360.20947265625, 2223565, 0, 0, 0
2.2087168, 6365.99072265625, 2223616, 0, 0, 0
2.2087680, 6342.06298828125, 2223667, 0, 0, 0
2.2088192, 6295.345703125, 2223719, 0, 0, 0
2.2088704, 6312.09814453125, 2223770, 0, 0, 0
2.2089216, 3636.25830078125, 2223821, 0, 0, 0
2.2089728, 88.6669387817383, 2223872, 32, UnderRange, 0
2.2090240, 47.48828125, 2223923, 32, UnderRange, 0
2.2090752, 37.8948440551758, 2223975, 32, UnderRange, 0
2.2091264, 32.8449401855469, 2224026, 32, UnderRange, 0
2.2091776, 28.7762050628662, 2224077, 32, UnderRange, 0
2.2092288, 26.1606845855713, 2224128, 32, UnderRange, 0
