Meter S/N:	REV_DA_16
Sensor	Thermo	Single	0781D14R	PM-Pro 150F HD
Date	3/16/2015 10:45:41 PM
Units	W
Timestamp	Measurement	Sequence	Flags	FlagsInterpreted	Period
0.0006223	1.7875	0	0	0	0
0.0006240	1.56294	0	0	0	0
0.0006256	1.37557	0	0	0	0
0.0006272	1.22148	0	0	0	0
0.0006288	1.07361	0	0	0	0
0.0006304	0.937372	0	0	0	0
0.0006320	0.82468	0	0	0	0
0.0006336	0.726581	0	0	0	0
0.0006352	0.64535	0	0	0	0
0.0006368	0.570559	0	0	0	0
0.0006384	0.513785	0	0	0	0
0.0006400	0.461934	0	0	0	0
0.0006416	0.413273	0	0	0	0
0.0006432	0.350779	0	0	0	0
0.0006447	0.319707	0	0	0	0
0.0006464	0.274043	0	0	0	0
0.0006480	0.240636	0	0	0	0
0.0006496	0.224662	0	0	0	0
0.0006512	0.202598	0	0	0	0
0.0006528	0.184621	0	0	0	0
0.0006544	0.169464	0	0	0	0
0.0006560	0.155183	0	0	0	0
0.0006576	0.127107	0	0	0	0
0.0006592	0.103215	0	0	0	0
0.0006608	0.10197	0	0	0	0
0.0006623	0.0949847	0	0	0	0
0.0006640	0.0818515	0	0	0	0
0.0006656	0.0746721	0	0	0	0
0.0006672	0.0566749	0	0	0	0
0.0006688	0.048367	0	0	0	0
0.0006704	0.0382301	0	0	0	0
0.0006720	0.0392419	0	0	0	0
0.0006736	0.0401758	0	0	0	0
0.0006752	0.0319068	0	0	0	0
0.0006768	0.0227428	0	0	0	0
0.0006784	0.0234043	0	0	0	0
0.0006800	0.00680794	0	0	0	0
0.0006816	0.0208166	0	0	0	0
0.0006832	0.0191433	0	0	0	0
0.0006847	0.0214003	0	0	0	0
0.0006864	0.0189293	0	0	0	0
0.0006880	0.0197076	0	0	0	0
0.0006896	0.0224509	0	0	0	0
0.0006912	0.0145322	0	0	0	0
0.0006928	0.0133842	0	0	0	0
0.0006944	0.00626316	0	0	0	0
0.0006960	0.00908435	0	0	0	0
0.0006976	0.332179	0	0	0	0
0.0006992	0.826528	0	0	0	0
0.0007008	1.27025	0	1	TriggerDetected	0
0.0007024	1.72604	0	0	0	0
0.0007040	2.17412	0	0	0	0
0.0007056	2.60643	0	0	0	0
0.0007071	3.05227	0	0	0	0
0.0007088	3.3478	0	0	0	0
0.0007104	3.41284	0	0	0	0
0.0007120	3.34587	0	0	0	0
0.0007136	3.14839	0	0	0	0
0.0007152	2.90839	0	0	0	0
0.0007168	2.64032	0	0	0	0
0.0007184	2.37575	0	0	0	0
0.0007200	2.11996	0	0	0	0
0.0007216	1.87994	0	0	0	0
0.0007232	1.66864	0	0	0	0
0.0007248	1.46727	0	0	0	0
0.0007264	1.29924	0	0	0	0
0.0007280	1.14091	0	0	0	0
0.0007295	1.00761	0	0	0	0
0.0007312	0.888303	0	0	0	0
0.0007328	0.766758	0	0	0	0
0.0007344	0.677492	0	0	0	0
0.0007360	0.60276	0	0	0	0
0.0007376	0.548009	0	0	0	0
0.0007392	0.476565	0	0	0	0
0.0007408	0.417553	0	0	0	0
0.0007424	0.379477	0	0	0	0
0.0007440	0.348697	0	0	0	0
0.0007456	0.299861	0	0	0	0
0.0007471	0.271416	0	0	0	0
0.0007488	0.230538	0	0	0	0
0.0007504	0.21902	0	0	0	0
0.0007520	0.195925	0	0	0	0
0.0007536	0.170028	0	0	0	0
0.0007552	0.172071	0	0	0	0
0.0007568	0.149307	0	0	0	0
0.0007584	0.105452	0	0	0	0
0.0007600	0.0989927	0	0	0	0
0.0007616	0.0908015	0	0	0	0
0.0007632	0.0737966	0	0	0	0
0.0007648	0.0738355	0	0	0	0
0.0007664	0.070489	0	0	0	0
0.0007680	0.0490285	0	0	0	0
0.0007695	0.0334244	0	0	0	0
0.0007712	0.0410513	0	0	0	0
0.0007728	0.0355841	0	0	0	0
0.0007744	0.0380161	0	0	0	0
0.0007760	0.0382107	0	0	0	0
0.0007776	0.0155634	0	0	0	0
0.0007792	0.0238518	0	0	0	0
0.0007808	0.0194936	0	0	0	0
0.0007824	0.0199605	0	0	0	0
0.0007840	0.0163611	0	0	0	0
0.0007856	0.0183651	0	0	0	0
0.0007872	0.000718065	0	0	0	0
0.0007888	0.015291	0	0	0	0
0.0007904	0.0205637	0	0	0	0
0.0007919	0.0185596	0	0	0	0
0.0007936	0.0208944	0	0	0	0
0.0007952	-0.00782333	0	32	UnderRange	0
0.0007968	0.0839529	0	0	0	0
0.0007984	0.592526	0	0	0	0
0.0008000	1.04964	0	1	TriggerDetected	0
0.0008016	1.51286	0	0	0	0
0.0008032	1.95592	0	0	0	0
0.0008048	2.40349	0	0	0	0
0.0008064	2.82444	0	0	0	0
0.0008080	3.22298	0	0	0	0
0.0008095	3.40698	0	0	0	0
0.0008112	3.38249	0	0	0	0
0.0008128	3.25989	0	0	0	0
0.0008144	3.02132	0	0	0	0
0.0008160	2.75817	0	0	0	0
0.0008176	2.52179	0	0	0	0
0.0008192	2.24821	0	0	0	0
0.0008208	2.00997	0	0	0	0
0.0008224	1.79513	0	0	0	0
0.0008240	1.57903	0	0	0	0
0.0008256	1.3844	0	0	0	0
0.0008272	1.2255	0	0	0	0
0.0008288	1.06756	0	0	0	0
0.0008304	0.946225	0	0	0	0
0.0008320	0.827832	0	0	0	0
0.0008336	0.736795	0	0	0	0
0.0008352	0.652938	0	0	0	0
0.0008368	0.578906	0	0	0	0
0.0008384	0.501858	0	0	0	0
0.0008400	0.457575	0	0	0	0
0.0008416	0.401444	0	0	0	0
0.0008432	0.364768	0	0	0	0
0.0008448	0.316769	0	0	0	0
0.0008464	0.295231	0	0	0	0
0.0008480	0.259976	0	0	0	0
0.0008496	0.224195	0	0	0	0
0.0008512	0.207482	0	0	0	0
0.0008528	0.186839	0	0	0	0
0.0008544	0.159502	0	0	0	0
0.0008560	0.144715	0	0	0	0
0.0008576	0.125745	0	0	0	0
0.0008592	0.107943	0	0	0	0
0.0008608	0.103857	0	0	0	0
0.0008624	0.0913268	0	0	0	0
0.0008640	0.0663642	0	0	0	0
0.0008656	0.0658972	0	0	0	0
0.0008672	0.0615585	0	0	0	0
0.0008688	0.0560134	0	0	0	0
0.0008704	0.053056	0	0	0	0
0.0008720	0.0471217	0	0	0	0
0.0008736	0.0431721	0	0	0	0
0.0008752	0.0209333	0	0	0	0
