Pulse Count:, 4
Overall Duration: 1.917920e-002
Overall Duration Start: 1.000000e-003
Overall Duration Stop: 2.017920e-002

Measurement, Pulses...
Index, Width, Height, Energy, PeakPower, RiseTime, FallTime, RiseStartTime, MiddleStartTime, RiseStopTime, FallStartTime, MiddleStopTime, FallStopTime, EnergyStartTime, PeakTime, EnergyStopTime
1, 6.288000e-004, 3.225052e+004, 1.416677e+001, 3.225052e+004, 0.000000e+000, 2.240000e-005, 0.0010000, 0.0010000, 0.0010000, 0.0016064, 0.0016160, 0.0016288, 0.0010000, 0.0012512, 0.0016272
2, 8.096000e-004, 2.735912e+004, 1.408997e+001, 2.735912e+004, 1.600000e-006, 2.080000e-005, 0.0070880, 0.0070880, 0.0070896, 0.0078768, 0.0078864, 0.0078976, 0.0070880, 0.0074560, 0.0078960
3, 8.672000e-004, 2.728881e+004, 1.407659e+001, 2.728881e+004, 1.600000e-006, 1.600000e-005, 0.0131184, 0.0131200, 0.0131200, 0.0139696, 0.0139776, 0.0139856, 0.0078992, 0.0134208, 0.0139840
4, 1.068800e-003, 2.335424e+004, 1.385107e+001, 2.335424e+004, 1.600000e-006, 1.920000e-005, 0.0191104, 0.0191104, 0.0191120, 0.0201600, 0.0201679, 0.0201792, 0.0191104, 0.0198799, 0.0201776
Mean, 8.436000e-004, 2.756317e+004, 1.404610e+001, 2.756317e+004, 1.200000e-006, 1.960000e-005

Analysis Thresholds
Threshold, Percent, Watts
Maximum, 100%, 32250.517578125
Upper, 22.77%, 7343.44285253906
Middle, 11.2%, 3612.05796875
Lower, 3%, 967.51552734375
Minimum, -0.00545563702595654%, -1.75947117805481
EnergyBaseline, 0%, 0
